age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
35,Government,HS-grad,Married,Blue-Collar,White,Male,22,0.188
17,Government,HS-grad,Married,Blue-Collar,White,Male,44,0.17
35,Government,School,Divorced,Blue-Collar,White,Male,40,0.078
48,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0.282
90,Government,HS-grad,Married,Blue-Collar,White,Male,49,0.225
61,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,14,0.399
39,Other/Unknown,Masters,Married,White-Collar,White,Male,30,0.149
61,Other/Unknown,Some-college,Divorced,Professional,White,Female,30,0.297
90,Other/Unknown,Doctorate,Married,Other/Unknown,White,Male,31,0.135
62,Self-Employed,Some-college,Married,Other/Unknown,White,Male,41,0.245
63,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,23,0.151
29,Self-Employed,HS-grad,Married,Other/Unknown,White,Male,40,0.118
63,Government,School,Married,Blue-Collar,White,Male,40,0.131
90,Self-Employed,HS-grad,Separated,Blue-Collar,White,Male,40,0.206
62,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,58,0.193
29,Other/Unknown,School,Single,Blue-Collar,Other,Male,27,0.181
17,Self-Employed,School,Single,Sales,Other,Male,40,0.083
29,Government,School,Single,Blue-Collar,Other,Male,52,0.187
29,Private,School,Divorced,Service,White,Male,40,0.286
90,Government,School,Single,Blue-Collar,Other,Male,40,0.188
41,Self-Employed,HS-grad,Married,White-Collar,White,Male,33,0.092
17,Self-Employed,HS-grad,Married,White-Collar,White,Male,55,0.08
41,Government,HS-grad,Divorced,Service,White,Male,51,0.094
66,Self-Employed,Some-college,Married,White-Collar,White,Male,50,0.236
90,Self-Employed,HS-grad,Married,White-Collar,White,Male,64,0.144
59,Self-Employed,Assoc,Divorced,Professional,White,Male,33,0.133
28,Government,Doctorate,Divorced,Professional,White,Male,50,0.041
59,Self-Employed,School,Married,Service,White,Male,49,0.051
90,Self-Employed,Assoc,Divorced,Professional,White,Male,51,0.128
59,Self-Employed,Assoc,Divorced,Professional,White,Male,69,0.159
61,Government,School,Single,Service,White,Male,35,0.114
17,Other/Unknown,School,Single,Service,White,Male,49,0.148
61,Private,School,Single,Professional,White,Female,48,0.406
62,Private,Doctorate,Divorced,Service,Other,Male,48,0.261
90,Self-Employed,School,Single,Service,White,Male,56,0.082
47,Government,HS-grad,Married,Service,White,Male,23,0.135
17,Government,HS-grad,Married,Blue-Collar,White,Male,41,0.166
48,Self-Employed,HS-grad,Divorced,Service,White,Male,40,0.056
67,Government,Some-college,Married,Service,White,Male,40,0.261
90,Government,HS-grad,Married,Service,White,Male,52,0.162
22,Government,HS-grad,Single,Blue-Collar,Other,Male,23,0.249
36,Government,HS-grad,Single,Sales,Other,Male,40,0.264
17,Government,Prof-school,Divorced,Blue-Collar,Other,Male,42,0.257
22,Self-Employed,HS-grad,Single,Blue-Collar,White,Female,40,0.099
90,Government,HS-grad,Single,Blue-Collar,Other,Male,43,0.277
35,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,45,0.148
35,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Male,59,0.271
19,Private,School,Married,Service,White,Male,60,0.37
36,Government,HS-grad,Divorced,Blue-Collar,White,Male,69,0.163
90,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,62,0.19
46,Self-Employed,Masters,Married,White-Collar,White,Male,39,0.075
27,Self-Employed,Masters,Married,Professional,White,Female,55,0.026
46,Government,Masters,Married,White-Collar,White,Male,58,0.12
55,Private,Doctorate,Divorced,White-Collar,White,Male,55,0.246
90,Private,Masters,Married,White-Collar,White,Male,64,0.445
25,Government,Bachelors,Married,Professional,White,Female,22,0.165
21,Government,HS-grad,Married,Professional,Other,Male,38,0.208
25,Self-Employed,Bachelors,Divorced,Other/Unknown,White,Female,38,0.104
26,Government,Bachelors,Married,Professional,White,Female,55,0.231
90,Government,Bachelors,Married,Professional,White,Female,38,0.287
51,Government,Bachelors,Married,Professional,White,Female,24,0.205
17,Government,HS-grad,Married,Professional,White,Female,40,0.051
51,Self-Employed,Bachelors,Divorced,Service,White,Female,41,0.083
57,Government,School,Married,Professional,Other,Female,40,0.075
90,Government,Bachelors,Married,Professional,White,Female,45,0.308
52,Self-Employed,School,Married,White-Collar,White,Male,32,0.053
48,Self-Employed,HS-grad,Married,Other/Unknown,White,Male,51,0.148
52,Government,School,Divorced,White-Collar,White,Male,50,0.056
87,Self-Employed,School,Married,White-Collar,White,Male,48,0.066
90,Self-Employed,School,Married,White-Collar,White,Male,71,0.08
45,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,34,0.241
90,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,51,0.252
45,Government,HS-grad,Single,White-Collar,Other,Male,50,0.277
17,Self-Employed,Bachelors,Divorced,White-Collar,White,Female,50,0.123
45,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,67,0.306
43,Government,HS-grad,Divorced,Service,Other,Female,24,0.092
17,Government,Doctorate,Divorced,Service,Other,Female,42,0.021
43,Self-Employed,HS-grad,Married,Service,White,Female,40,0.029
59,Government,Prof-school,Divorced,White-Collar,Other,Female,40,0.316
90,Government,HS-grad,Divorced,Service,Other,Female,49,0.134
37,Private,Masters,Married,Professional,White,Male,29,0.397
39,Other/Unknown,Masters,Married,Professional,White,Female,45,0.126
17,Self-Employed,Masters,Married,Service,White,Male,46,0.063
37,Private,Doctorate,Divorced,Professional,Other,Male,45,0.247
90,Private,Masters,Married,Professional,White,Male,47,0.33
17,Private,School,Single,Sales,White,Female,4,0.294
17,Other/Unknown,School,Single,Other/Unknown,White,Male,20,0.161
17,Private,School,Married,Sales,Other,Female,20,0.348
17,Private,School,Single,Sales,White,Female,33,0.379
90,Self-Employed,School,Single,Sales,White,Female,20,0.037
39,Government,HS-grad,Separated,White-Collar,White,Female,18,0.124
17,Government,Prof-school,Separated,White-Collar,White,Female,35,0.148
39,Self-Employed,HS-grad,Married,Service,White,Female,35,0.026
46,Government,HS-grad,Separated,Sales,Other,Female,34,0.218
90,Government,HS-grad,Separated,White-Collar,White,Female,39,0.197
51,Private,School,Married,Blue-Collar,White,Male,24,0.435
50,Other/Unknown,Doctorate,Married,White-Collar,White,Male,40,0.136
17,Government,School,Married,Blue-Collar,White,Male,40,0.117
50,Private,School,Divorced,Blue-Collar,Other,Male,40,0.411
90,Self-Employed,School,Married,Blue-Collar,White,Male,46,0.097
56,Self-Employed,Some-college,Married,White-Collar,White,Female,33,0.171
17,Self-Employed,Some-college,Married,White-Collar,White,Female,50,0.111
56,Government,Some-college,Married,Service,White,Female,50,0.246
63,Self-Employed,Prof-school,Married,White-Collar,Other,Female,50,0.197
90,Self-Employed,Some-college,Married,White-Collar,White,Female,60,0.217
64,Government,HS-grad,Widowed,White-Collar,White,Female,22,0.225
17,Government,HS-grad,Widowed,White-Collar,White,Female,39,0.103
64,Self-Employed,Masters,Widowed,Service,White,Female,37,0.058
90,Government,HS-grad,Widowed,White-Collar,Other,Female,38,0.39
66,Government,HS-grad,Widowed,White-Collar,White,Female,53,0.277
33,Government,Some-college,Married,Service,White,Male,23,0.256
17,Government,Some-college,Married,Service,Other,Female,40,0.339
33,Self-Employed,Some-college,Divorced,White-Collar,White,Male,40,0.168
50,Government,Doctorate,Married,Service,White,Male,39,0.07
90,Government,Some-college,Married,Service,White,Male,46,0.251
57,Self-Employed,School,Married,Blue-Collar,White,Male,23,0.08
58,Other/Unknown,School,Married,White-Collar,Other,Male,40,0.139
17,Government,School,Married,Blue-Collar,White,Male,40,0.117
57,Private,Doctorate,Divorced,Blue-Collar,White,Female,40,0.233
90,Self-Employed,School,Married,Blue-Collar,White,Male,46,0.097
30,Government,Bachelors,Married,Service,White,Male,25,0.277
25,Government,HS-grad,Married,Other/Unknown,Other,Male,41,0.231
30,Government,Bachelors,Married,Service,White,Male,56,0.345
30,Self-Employed,Bachelors,Divorced,Service,White,Female,40,0.074
90,Government,Bachelors,Married,Service,White,Male,40,0.319
58,Self-Employed,Some-college,Married,Blue-Collar,White,Female,24,0.264
58,Self-Employed,Some-college,Married,White-Collar,White,Male,40,0.225
52,Self-Employed,HS-grad,Married,Blue-Collar,Other,Female,40,0.105
90,Self-Employed,Some-college,Divorced,Blue-Collar,White,Female,41,0.212
58,Self-Employed,Some-college,Married,Blue-Collar,White,Female,57,0.318
48,Private,School,Married,Blue-Collar,White,Male,16,0.416
48,Private,Doctorate,Married,Service,White,Male,32,0.33
44,Other/Unknown,School,Married,Blue-Collar,Other,Female,32,0.132
51,Government,School,Single,Blue-Collar,White,Male,32,0.173
