age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
38.0,Private,Bachelors,Divorced,Service,White,Female,8.0,0.344
38.0,Private,Bachelors,Divorced,Service,White,Female,40.0,0.35
37.0,Other/Unknown,Bachelors,Divorced,Service,White,Male,25.0,0.116
29.0,Private,Doctorate,Married,Blue-Collar,White,Female,25.0,0.282
71.0,Private,Bachelors,Divorced,Service,Other,Female,23.0,0.3
51.0,Other/Unknown,HS-grad,Married,Blue-Collar,White,Male,22.0,0.148
27.0,Private,Assoc,Married,Service,White,Male,38.0,0.158
52.0,Other/Unknown,HS-grad,Married,Blue-Collar,White,Female,39.0,0.204
53.0,Private,Some-college,Divorced,Blue-Collar,Other,Male,38.0,0.245
90.0,Private,HS-grad,Married,Blue-Collar,White,Male,41.0,0.323
37.0,Private,Some-college,Single,Service,Other,Male,15.0,0.322
37.0,Private,Some-college,Single,White-Collar,Other,Female,30.0,0.323
30.0,Other/Unknown,Some-college,Married,Service,White,Male,33.0,0.089
83.0,Private,Some-college,Single,Service,Other,Male,31.0,0.289
38.0,Private,Some-college,Single,Service,Other,Male,47.0,0.359
30.0,Private,Doctorate,Divorced,Service,White,Female,24.0,0.198
36.0,Private,Assoc,Divorced,Service,White,Female,41.0,0.174
43.0,Other/Unknown,HS-grad,Divorced,Service,Other,Male,40.0,0.115
44.0,Other/Unknown,HS-grad,Married,White-Collar,White,Female,40.0,0.133
70.0,Private,School,Divorced,Service,White,Female,50.0,0.199
54.0,Government,Some-college,Married,White-Collar,White,Male,23.0,0.283
29.0,Private,Some-college,Divorced,White-Collar,White,Male,40.0,0.24
54.0,Other/Unknown,Some-college,Married,Blue-Collar,Other,Female,39.0,0.058
89.0,Government,Assoc,Married,White-Collar,White,Male,40.0,0.134
54.0,Government,Some-college,Married,White-Collar,White,Male,56.0,0.288
32.0,Other/Unknown,HS-grad,Married,Blue-Collar,White,Male,29.0,0.151
29.0,Private,Assoc,Married,Blue-Collar,White,Male,45.0,0.163
17.0,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Female,43.0,0.146
72.0,Private,HS-grad,Married,White-Collar,White,Male,47.0,0.267
33.0,Other/Unknown,HS-grad,Married,Blue-Collar,White,Male,60.0,0.179
61.0,Private,School,Married,Service,Other,Male,25.0,0.25
89.0,Other/Unknown,School,Married,Service,White,Male,42.0,0.058
27.0,Private,School,Married,White-Collar,Other,Male,42.0,0.278
62.0,Private,Doctorate,Married,Service,Other,Female,42.0,0.265
63.0,Private,School,Married,Service,Other,Male,59.0,0.273
33.0,Private,Assoc,Married,Blue-Collar,Other,Male,21.0,0.145
34.0,Private,Assoc,Married,Blue-Collar,White,Female,40.0,0.153
17.0,Private,Assoc,Married,Blue-Collar,Other,Male,42.0,0.172
33.0,Other/Unknown,Assoc,Divorced,White-Collar,Other,Male,39.0,0.011
46.0,Private,Assoc,Married,Blue-Collar,Other,Male,58.0,0.161
30.0,Private,Assoc,Married,Blue-Collar,White,Male,22.0,0.153
17.0,Private,Assoc,Married,Blue-Collar,Other,Female,39.0,0.129
23.0,Private,Assoc,Married,Blue-Collar,White,Male,46.0,0.167
30.0,Other/Unknown,Assoc,Divorced,White-Collar,White,Male,39.0,0.031
46.0,Private,Assoc,Married,Blue-Collar,White,Male,62.0,0.164
39.0,Self-Employed,Some-college,Married,White-Collar,White,Male,26.0,0.3
42.0,Private,Some-college,Married,Blue-Collar,White,Male,38.0,0.283
17.0,Self-Employed,Some-college,Separated,Service,White,Male,41.0,0.49
77.0,Self-Employed,Assoc,Married,Blue-Collar,White,Male,40.0,0.277
