age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
37,Self-Employed,HS-grad,Married,Sales,White,Male,45,0
37,Private,Assoc,Married,Sales,White,Male,45,0
37,Private,HS-grad,Married,White-Collar,White,Male,45,0
37,Private,Assoc,Married,Blue-Collar,White,Male,45,0
37,Private,Bachelors,Married,Blue-Collar,White,Male,45,0
26,Private,School,Married,Blue-Collar,White,Male,55,0
26,Private,HS-grad,Married,Sales,White,Male,55,0
26,Private,Bachelors,Married,Blue-Collar,White,Male,58,0
17,Private,School,Married,Professional,White,Female,56,0
17,Private,Masters,Married,Blue-Collar,White,Female,55,0
27,Private,Some-college,Single,Blue-Collar,White,Male,48,0
29,Private,Bachelors,Married,Blue-Collar,White,Male,48,0
29,Private,Assoc,Married,Blue-Collar,White,Male,48,0
27,Private,Assoc,Married,Blue-Collar,White,Male,50,0
27,Private,Bachelors,Married,Blue-Collar,White,Male,50,0
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,0
17,Government,Some-college,Single,Other/Unknown,White,Male,40,0
17,Other/Unknown,Assoc,Single,Other/Unknown,Other,Male,40,0
17,Other/Unknown,Assoc,Divorced,Other/Unknown,White,Male,40,0
35,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
35,Private,Assoc,Married,Blue-Collar,White,Male,40,0
35,Private,Assoc,Divorced,Service,White,Male,40,0
35,Private,Assoc,Divorced,Sales,White,Male,40,0
35,Government,Doctorate,Divorced,Blue-Collar,White,Male,40,0
46,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
46,Private,Assoc,Married,White-Collar,Other,Male,40,0
46,Private,Assoc,Married,Blue-Collar,White,Male,40,0
46,Private,Assoc,Married,Service,Other,Female,40,0
46,Private,Bachelors,Divorced,Blue-Collar,White,Male,40,0
22,Private,Bachelors,Single,White-Collar,Other,Female,40,0
22,Private,Bachelors,Single,Sales,White,Female,40,0
22,Private,Assoc,Single,White-Collar,Other,Female,40,0
22,Private,School,Single,White-Collar,White,Female,40,0
22,Private,Bachelors,Single,White-Collar,White,Female,40,0
50,Self-Employed,HS-grad,Married,Sales,White,Male,50,0
50,Private,Bachelors,Married,Blue-Collar,White,Male,50,0
50,Private,HS-grad,Married,White-Collar,White,Male,50,0
50,Private,Assoc,Married,Blue-Collar,White,Male,50,0
17,Government,HS-grad,Married,Blue-Collar,White,Male,50,0
31,Private,Assoc,Married,Blue-Collar,Other,Male,40,0
31,Private,Bachelors,Married,Service,Other,Male,40,0
31,Private,Assoc,Married,White-Collar,Other,Male,40,0
31,Private,Assoc,Married,Blue-Collar,White,Male,40,0
31,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
18,Private,Some-college,Single,Service,White,Male,20,0
18,Private,School,Single,Service,White,Female,20,0
18,Private,School,Single,Sales,White,Female,20,0
18,Other/Unknown,Some-college,Single,Service,White,Male,20,0
18,Private,Some-college,Single,Service,White,Female,20,0
51,Private,Assoc,Married,Blue-Collar,White,Male,50,0
51,Private,Assoc,Married,Sales,White,Male,50,0
51,Private,School,Married,Blue-Collar,White,Male,50,0
51,Private,HS-grad,Married,White-Collar,White,Male,50,0
51,Private,Bachelors,Married,Blue-Collar,White,Male,50,0
43,Government,School,Married,White-Collar,White,Male,40,0
43,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
43,Private,Assoc,Married,Sales,White,Male,40,0
43,Private,Assoc,Married,Service,White,Male,40,0
43,Private,Assoc,Married,Blue-Collar,White,Male,40,0
75,Other/Unknown,School,Widowed,Other/Unknown,Other,Female,1,0
72,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,2,0
72,Other/Unknown,Some-college,Widowed,Other/Unknown,Other,Female,4,0
79,Other/Unknown,Assoc,Married,Other/Unknown,White,Female,2,0
74,Other/Unknown,Some-college,Widowed,Other/Unknown,White,Female,3,0
59,Private,Assoc,Married,Blue-Collar,White,Male,20,0
59,Private,School,Married,White-Collar,White,Female,20,0
58,Private,School,Married,Service,White,Male,20,0
61,Self-Employed,HS-grad,Married,White-Collar,White,Male,20,0
56,Self-Employed,School,Divorced,Sales,White,Male,20,0
18,Private,Some-college,Single,Service,White,Female,20,0
18,Private,School,Single,Service,White,Female,20,0
18,Private,Some-college,Single,Service,White,Male,20,0
18,Private,Some-college,Single,Sales,White,Female,20,0
18,Private,School,Single,Sales,White,Female,20,0
59,Private,School,Married,Service,White,Male,40,0
59,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
59,Private,Assoc,Married,Service,White,Male,40,0
59,Private,Assoc,Married,Other/Unknown,White,Male,40,0
59,Private,School,Married,Blue-Collar,White,Male,40,0
36,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
36,Private,Bachelors,Divorced,Blue-Collar,White,Female,40,0
36,Private,Assoc,Divorced,Professional,White,Male,40,0
36,Private,Assoc,Married,Blue-Collar,White,Male,40,0
17,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
56,Government,HS-grad,Married,Blue-Collar,White,Male,40,0
56,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
56,Private,Assoc,Married,Sales,White,Male,40,0
56,Private,Assoc,Married,Service,White,Male,40,0
22,Private,Some-college,Single,Service,White,Male,30,0
22,Private,Some-college,Single,Service,Other,Female,30,0
22,Private,HS-grad,Single,White-Collar,Other,Female,30,0
22,Private,Some-college,Single,White-Collar,Other,Male,30,0
22,Self-Employed,Some-college,Single,Blue-Collar,Other,Male,30,0
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Female,20,0
20,Private,Some-college,Single,White-Collar,White,Female,18,0
20,Private,Some-college,Single,Service,White,Female,18,0
20,Private,Some-college,Single,Professional,White,Female,18,0
17,Private,Some-college,Single,Other/Unknown,White,Female,18,0
34,Private,School,Divorced,Blue-Collar,White,Male,43,0
34,Private,Assoc,Married,Blue-Collar,White,Male,44,0
34,Private,HS-grad,Married,White-Collar,White,Male,45,0
35,Private,HS-grad,Married,Sales,White,Male,44,0
33,Private,HS-grad,Married,Sales,White,Male,44,0
42,Private,School,Married,Blue-Collar,White,Male,60,0
42,Private,Bachelors,Married,Blue-Collar,White,Male,60,0
42,Private,HS-grad,Married,Sales,White,Male,60,0
41,Private,Assoc,Married,Blue-Collar,Other,Male,60,0
17,Private,Assoc,Married,Blue-Collar,Other,Male,60,0
24,Private,HS-grad,Married,Blue-Collar,White,Female,36,0
24,Other/Unknown,Masters,Divorced,Other/Unknown,White,Female,37,0
23,Other/Unknown,Some-college,Single,Other/Unknown,White,Female,35,0
17,Self-Employed,Assoc,Single,Other/Unknown,White,Female,36,0
24,Private,Some-college,Single,Sales,White,Female,35,0
26,Private,HS-grad,Divorced,Blue-Collar,White,Female,48,0
25,Private,HS-grad,Married,Sales,White,Male,48,0
17,Government,HS-grad,Married,Blue-Collar,White,Male,48,0
26,Private,School,Single,Blue-Collar,White,Female,48,0
26,Private,Doctorate,Widowed,Blue-Collar,Other,Male,48,0
31,Private,Some-college,Single,Blue-Collar,White,Female,60,0
31,Private,Bachelors,Single,Blue-Collar,White,Female,60,0
30,Private,Bachelors,Single,Sales,White,Female,60,0
31,Private,Assoc,Married,Sales,White,Male,60,0
31,Government,Some-college,Single,White-Collar,White,Female,60,0
26,Private,Bachelors,Single,White-Collar,White,Female,40,0
26,Private,Bachelors,Single,Sales,White,Female,40,0
26,Private,Bachelors,Single,Sales,Other,Female,40,0
26,Government,Bachelors,Single,Sales,White,Female,40,0
26,Private,Bachelors,Single,White-Collar,Other,Female,40,0
45,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
45,Government,HS-grad,Divorced,Blue-Collar,White,Male,40,0
45,Private,Bachelors,Divorced,Blue-Collar,White,Male,40,0
45,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
45,Government,Assoc,Divorced,Blue-Collar,White,Male,40,0
39,Government,Assoc,Married,Blue-Collar,White,Male,40,0
39,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
39,Private,Assoc,Married,Blue-Collar,White,Male,40,0
39,Government,Assoc,Separated,White-Collar,White,Male,40,0
31,Private,HS-grad,Married,Professional,White,Male,55,0
31,Private,HS-grad,Married,Blue-Collar,White,Female,55,0
32,Private,HS-grad,Married,White-Collar,White,Male,55,0
30,Private,School,Married,Blue-Collar,White,Male,55,0
32,Private,HS-grad,Married,Sales,White,Male,55,0
62,Private,School,Married,Blue-Collar,White,Male,24,0
62,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,25,0
61,Self-Employed,HS-grad,Divorced,Sales,White,Male,25,0
61,Private,Some-college,Divorced,Blue-Collar,White,Female,25,0
61,Private,HS-grad,Divorced,Service,White,Female,25,0
47,Private,School,Married,Blue-Collar,White,Male,46,0
48,Private,HS-grad,Married,White-Collar,White,Male,45,0
48,Private,Assoc,Married,Blue-Collar,White,Male,45,0
48,Private,Bachelors,Married,Blue-Collar,White,Male,45,0
47,Private,School,Married,Blue-Collar,White,Male,45,0
43,Private,Bachelors,Married,Blue-Collar,White,Male,50,0
43,Private,Assoc,Married,Sales,White,Male,50,0
42,Private,Assoc,Married,Blue-Collar,White,Male,50,0
43,Private,HS-grad,Married,White-Collar,White,Male,50,0
44,Private,Bachelors,Married,Blue-Collar,White,Male,50,0
19,Private,Some-college,Single,White-Collar,White,Female,40,0
19,Private,Some-college,Single,Sales,White,Female,40,0
19,Private,Some-college,Single,Professional,White,Female,40,0
19,Private,Some-college,Single,Service,White,Female,40,0
19,Private,Some-college,Single,Blue-Collar,White,Male,40,0
17,Private,School,Single,Sales,Other,Female,12,0
17,Private,School,Single,Sales,White,Female,12,0
17,Private,School,Single,Service,White,Female,12,0
17,Private,School,Single,Other/Unknown,White,Female,12,0
17,Private,School,Single,White-Collar,White,Female,12,0
36,Private,Some-college,Single,Sales,White,Female,35,0
36,Government,HS-grad,Single,White-Collar,Other,Female,36,0
35,Private,Some-college,Single,Sales,White,Male,36,0
35,Private,Some-college,Divorced,Sales,White,Female,36,0
36,Private,Some-college,Single,White-Collar,White,Female,35,0
19,Private,Some-college,Single,Blue-Collar,White,Male,32,0
22,Private,Some-college,Single,Blue-Collar,White,Male,32,0
20,Private,Some-college,Single,Service,White,Female,32,0
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,32,0
21,Private,Some-college,Single,Service,White,Male,32,0
29,Self-Employed,HS-grad,Married,Professional,White,Male,65,0
29,Private,Masters,Single,Sales,White,Male,65,0
29,Other/Unknown,Some-college,Married,Blue-Collar,White,Male,65,0
30,Self-Employed,HS-grad,Married,White-Collar,White,Male,65,0
28,Private,Prof-school,Single,Blue-Collar,White,Male,65,0
32,Private,Assoc,Married,Blue-Collar,White,Male,40,0
32,Private,Bachelors,Separated,Blue-Collar,White,Male,40,0
32,Government,Assoc,Married,Blue-Collar,White,Male,40,0
32,Private,Some-college,Divorced,White-Collar,White,Male,40,0
32,Private,Assoc,Divorced,Service,White,Male,40,0
26,Private,Some-college,Single,Professional,White,Female,40,0
26,Private,Bachelors,Single,White-Collar,White,Female,40,0
26,Private,Bachelors,Single,Sales,White,Female,40,0
26,Private,Assoc,Separated,Service,White,Female,40,0
26,Private,Bachelors,Widowed,White-Collar,White,Female,40,0
47,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
47,Private,Assoc,Married,Blue-Collar,White,Male,40,0
47,Government,Assoc,Separated,White-Collar,White,Male,40,0
