sex,age,priors_count,race,c_charge_degree,twoyearrecid
Male,19.8,0.0,African-American,F,0.354
Male,31.7,0.0,Caucasian,F,0.399
Male,42.8,3.2,African-American,F,0.34
Male,65.8,2.7,Caucasian,F,0.37
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,African-American,F,0.357
Male,32.1,0.0,African-American,F,0.336
Male,47.6,0.0,African-American,F,0.316
Male,68.8,0.0,African-American,F,0.293
Male,80.0,2.9,African-American,F,0.296
Male,27.9,0.0,African-American,F,0.342
Female,37.1,1.7,African-American,F,0.411
Male,48.1,0.0,Caucasian,F,0.375
Female,64.5,0.0,African-American,F,0.354
Male,80.0,1.0,African-American,F,0.286
Male,18.0,0.0,African-American,F,0.357
Male,34.7,0.0,African-American,M,0.425
Male,59.9,0.0,African-American,F,0.303
Male,42.3,3.8,African-American,F,0.344
Male,80.0,1.9,African-American,F,0.291
Male,18.0,0.0,African-American,F,0.357
Male,27.2,0.0,Caucasian,F,0.405
Male,45.3,0.0,African-American,F,0.319
Male,63.9,0.0,Caucasian,F,0.353
Male,80.0,0.0,African-American,F,0.281
Male,25.0,0.0,African-American,F,0.346
Male,38.0,0.0,Caucasian,F,0.39
Male,46.2,3.4,African-American,F,0.337
Male,67.7,3.0,Caucasian,F,0.37
Male,80.0,0.0,African-American,F,0.281
Male,36.5,0.0,African-American,F,0.33
Male,32.7,11.3,African-American,F,0.395
Male,64.1,4.7,African-American,F,0.324
Male,45.8,16.0,African-American,F,0.399
Male,80.0,13.6,African-American,F,0.357
Male,21.9,0.0,Caucasian,M,0.482
Male,26.1,1.1,African-American,F,0.351
Male,49.3,0.0,Caucasian,M,0.426
Male,78.1,1.0,Caucasian,M,0.389
Male,80.0,0.0,African-American,F,0.281
Male,41.8,0.0,African-American,F,0.323
Male,18.0,0.0,African-American,F,0.357
Male,27.3,4.5,African-American,F,0.371
Male,65.8,0.0,African-American,F,0.296
Male,80.0,3.2,African-American,F,0.298
Male,21.9,0.0,Caucasian,F,0.412
Male,39.1,0.0,African-American,F,0.326
Male,67.0,0.0,Caucasian,F,0.348
Male,46.4,2.1,Caucasian,F,0.394
Male,80.0,2.1,African-American,F,0.292
Male,22.6,0.0,African-American,F,0.35
Male,39.7,4.1,Caucasian,F,0.42
Male,22.9,10.2,African-American,F,0.401
Male,63.8,9.5,African-American,F,0.352
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,African-American,F,0.357
Male,36.3,0.0,African-American,F,0.33
Female,46.3,0.0,African-American,F,0.385
Female,64.3,0.0,African-American,F,0.355
Male,80.0,0.0,African-American,F,0.281
Male,19.0,0.0,Caucasian,F,0.416
Male,31.5,0.0,African-American,F,0.337
Male,68.0,0.0,African-American,F,0.294
Male,41.4,0.0,Caucasian,M,0.438
Male,80.0,0.0,Caucasian,M,0.378
Male,24.1,0.0,African-American,F,0.348
Female,40.1,0.0,African-American,F,0.395
Male,44.7,5.6,African-American,F,0.352
Female,70.8,5.2,African-American,F,0.374
Male,80.0,0.0,African-American,F,0.281
Male,37.1,0.0,African-American,F,0.329
Male,40.0,15.5,African-American,F,0.403
Male,35.8,24.5,African-American,F,0.438
Male,52.1,28.7,African-American,F,0.436
Male,80.0,26.2,African-American,F,0.402
Male,21.9,0.0,African-American,F,0.351
Male,47.6,0.0,African-American,F,0.316
Male,32.9,4.9,African-American,F,0.365
Male,67.1,5.1,African-American,M,0.392
Male,80.0,0.0,African-American,F,0.281
Male,33.4,0.0,African-American,F,0.334
Male,18.0,0.0,African-American,F,0.357
Male,59.8,0.0,African-American,F,0.303
Male,41.9,3.9,African-American,F,0.345
Male,80.0,2.1,African-American,F,0.292
Male,28.7,0.0,Caucasian,F,0.403
Male,18.0,0.0,African-American,F,0.357
Male,40.7,0.0,African-American,F,0.324
Male,60.6,0.0,African-American,F,0.302
Male,80.0,0.7,African-American,F,0.285
Male,24.9,0.0,African-American,F,0.346
Male,51.5,0.0,African-American,F,0.312
Male,72.6,0.0,African-American,F,0.289
Male,41.0,3.5,African-American,F,0.344
Male,80.0,4.4,African-American,F,0.304
Male,43.7,0.0,African-American,F,0.321
Male,55.1,0.0,Caucasian,M,0.416
Male,62.9,0.0,African-American,F,0.299
Male,80.0,0.0,Caucasian,M,0.378
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,Caucasian,F,0.418
Male,26.7,0.0,African-American,F,0.344
Male,44.7,0.0,Caucasian,F,0.38
Male,56.4,0.0,African-American,F,0.306
Male,80.0,0.0,African-American,F,0.281
Male,36.9,0.0,African-American,F,0.329
Male,35.0,0.0,Caucasian,M,0.448
Male,54.8,1.9,Caucasian,M,0.432
Male,80.0,0.0,Caucasian,M,0.378
Male,71.7,1.8,African-American,F,0.299
Male,29.2,0.0,African-American,F,0.34
Male,50.9,0.0,African-American,F,0.313
Male,61.5,2.9,African-American,F,0.317
Male,80.0,0.0,African-American,F,0.281
Male,80.0,7.1,African-American,F,0.319
Male,32.8,0.0,African-American,F,0.335
Male,46.9,0.0,Caucasian,M,0.429
Male,56.1,0.0,African-American,F,0.307
Male,78.0,0.0,Caucasian,M,0.381
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,Caucasian,F,0.418
Male,31.2,0.0,African-American,F,0.337
Male,45.2,0.0,Caucasian,F,0.379
Male,58.5,0.0,African-American,F,0.304
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,African-American,F,0.357
Male,35.7,0.0,African-American,F,0.331
Male,60.3,0.0,African-American,F,0.302
Male,44.6,4.5,African-American,F,0.345
Male,80.0,1.3,African-American,F,0.288
Male,38.7,0.0,African-American,F,0.326
Female,52.7,0.0,African-American,F,0.374
Male,59.8,2.8,African-American,F,0.318
Female,80.0,0.0,African-American,F,0.33
Male,80.0,5.1,African-American,F,0.308
Male,23.0,0.0,African-American,F,0.349
Male,18.0,3.9,African-American,F,0.381
Male,39.0,0.0,African-American,F,0.326
Male,60.6,0.0,African-American,F,0.302
Male,80.0,1.3,African-American,F,0.288
Male,38.8,0.0,African-American,F,0.326
Male,43.7,5.9,African-American,F,0.355
Male,70.3,0.0,African-American,F,0.291
Male,58.2,9.3,African-American,F,0.357
Male,80.0,5.9,African-American,F,0.313
Male,57.0,0.0,African-American,F,0.306
Male,58.4,0.0,Caucasian,M,0.411
Female,80.0,0.0,Caucasian,M,0.397
Male,71.5,3.6,Caucasian,M,0.42
Male,80.0,2.3,African-American,F,0.293
Male,61.1,0.0,African-American,F,0.301
Male,73.2,0.0,Caucasian,M,0.388
Female,80.0,2.1,Caucasian,M,0.411
Male,60.4,3.4,Caucasian,M,0.436
Male,80.0,3.0,African-American,F,0.297
Male,22.4,0.0,African-American,F,0.35
Male,44.0,0.0,African-American,F,0.32
Male,62.4,0.0,African-American,F,0.3
Male,80.0,0.0,African-American,F,0.281
Male,80.0,5.2,African-American,F,0.309
Male,18.0,0.0,African-American,F,0.357
Male,33.2,0.0,African-American,F,0.334
Male,47.4,0.0,African-American,F,0.316
Male,66.0,0.0,African-American,F,0.296
Male,80.0,2.2,African-American,F,0.293
Male,18.0,0.0,African-American,F,0.357
Male,35.7,0.0,African-American,F,0.331
Male,60.3,0.0,African-American,F,0.302
Male,44.6,4.5,African-American,F,0.345
Male,80.0,1.3,African-American,F,0.288
Male,18.0,0.0,African-American,F,0.357
Male,35.8,0.0,African-American,F,0.331
Male,60.1,0.0,African-American,F,0.302
Male,44.6,4.3,African-American,F,0.344
Male,80.0,1.7,African-American,F,0.29
Male,36.3,0.0,African-American,F,0.33
Male,48.9,0.0,Caucasian,F,0.374
Male,53.3,4.4,African-American,F,0.335
Male,75.6,0.0,Caucasian,F,0.336
Male,80.0,2.9,African-American,F,0.296
Male,19.0,0.0,African-American,F,0.355
Male,28.9,4.0,African-American,F,0.365
Male,60.2,0.0,African-American,F,0.302
Male,47.4,6.3,African-American,F,0.352
Male,80.0,3.8,African-American,F,0.301
Male,31.2,0.0,African-American,F,0.337
Male,33.5,0.0,Caucasian,M,0.451
Male,80.0,0.0,Caucasian,M,0.378
Male,50.9,4.3,Caucasian,M,0.458
Male,68.1,3.3,African-American,F,0.312
Male,18.0,0.0,African-American,F,0.357
Male,31.9,0.0,African-American,F,0.336
Male,57.3,0.0,African-American,F,0.305
Male,47.8,0.0,African-American,M,0.395
Male,80.0,0.0,African-American,F,0.281
Male,23.7,0.0,African-American,F,0.348
Male,23.9,5.4,Caucasian,F,0.454
Male,61.6,0.0,African-American,F,0.301
Male,37.9,8.8,African-American,F,0.379
Male,80.0,8.4,African-American,F,0.327
Male,22.1,0.0,African-American,F,0.351
Male,18.0,4.4,African-American,F,0.383
Male,38.6,0.0,African-American,F,0.327
Male,60.8,0.0,African-American,F,0.302
Male,80.0,1.3,African-American,F,0.288
Male,54.4,0.0,African-American,F,0.309
Male,55.0,14.0,African-American,F,0.382
Male,78.7,6.6,African-American,F,0.318
Male,53.0,22.4,African-American,F,0.414
Male,80.0,20.8,African-American,F,0.389
Male,27.3,0.0,African-American,F,0.343
Male,34.1,5.0,African-American,F,0.364
Male,62.8,0.0,African-American,F,0.299
Male,52.9,7.4,African-American,F,0.352
Male,80.0,4.7,African-American,F,0.306
Male,31.4,0.0,African-American,F,0.337
Male,55.0,0.0,African-American,F,0.308
Male,41.3,7.9,African-American,F,0.371
Male,68.2,3.8,African-American,F,0.314
Male,80.0,8.4,African-American,F,0.327
Male,18.0,0.0,African-American,F,0.357
Male,42.5,0.0,African-American,F,0.322
Male,60.4,3.1,African-American,F,0.319
Male,25.6,5.7,African-American,F,0.38
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,African-American,F,0.357
Male,34.6,0.0,African-American,M,0.425
Male,59.8,0.0,African-American,F,0.303
Male,42.2,3.8,African-American,F,0.344
Male,80.0,1.8,African-American,F,0.291
Male,35.7,0.0,Caucasian,M,0.447
Male,49.0,0.0,African-American,F,0.315
Female,47.4,0.0,Caucasian,M,0.447
Female,80.0,0.0,Caucasian,M,0.397
Male,65.5,0.0,Caucasian,M,0.4
Male,20.5,0.0,African-American,F,0.353
Male,33.5,1.1,African-American,F,0.341
Male,51.5,0.0,African-American,M,0.388
Male,59.7,2.8,African-American,F,0.318
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,African-American,F,0.357
Male,29.6,0.0,Caucasian,F,0.402
Male,42.2,1.9,African-American,F,0.333
Male,64.0,1.8,Caucasian,F,0.366
Male,80.0,0.0,African-American,F,0.281
Male,18.0,0.0,Caucasian,F,0.418
Male,24.2,0.0,African-American,F,0.347
Male,39.3,0.0,African-American,F,0.326
Male,59.4,0.0,African-American,F,0.303
Male,80.0,0.0,African-American,F,0.281
Male,31.9,0.0,African-American,F,0.336
Male,46.5,4.4,Caucasian,F,0.412
Male,32.2,10.1,African-American,F,0.392
Male,69.6,9.5,African-American,F,0.345
