sex,age,priors_count,race,c_charge_degree,twoyearrecid
Male,18.0,1.5,Caucasian,F,0.371
Male,36.5,4.3,Caucasian,F,0.364
Male,46.0,8.9,Caucasian,F,0.36
Male,67.9,3.7,Caucasian,F,0.369
Male,37.4,16.9,Caucasian,F,0.349
Male,18.0,14.0,African-American,F,0.365
Female,31.6,10.4,African-American,F,0.296
Female,54.4,14.8,African-American,F,0.281
Male,30.0,18.5,African-American,F,0.361
Female,32.3,23.9,African-American,F,0.266
Female,30.5,2.2,African-American,F,0.316
Male,40.2,1.7,Caucasian,F,0.367
Male,18.0,0.0,African-American,F,0.385
Male,24.2,7.2,African-American,F,0.379
Female,22.8,14.5,African-American,F,0.292
Male,18.0,0.0,African-American,F,0.385
Female,31.4,1.2,African-American,F,0.318
Male,41.2,1.1,Caucasian,F,0.367
Male,23.7,7.0,African-American,F,0.379
Female,25.0,12.9,African-American,F,0.294
Female,30.5,0.0,African-American,F,0.321
Male,18.0,0.9,African-American,F,0.384
Male,40.1,1.3,Caucasian,F,0.367
Male,21.0,7.9,African-American,F,0.375
Female,21.3,14.3,African-American,F,0.293
Male,18.0,0.0,African-American,F,0.385
Female,32.1,4.6,African-American,F,0.309
Male,34.4,0.0,African-American,F,0.396
Male,53.8,0.0,Caucasian,F,0.371
Male,30.1,10.7,African-American,F,0.378
Male,18.5,7.8,African-American,F,0.374
Female,65.5,7.0,African-American,F,0.3
Male,48.7,5.6,African-American,F,0.403
Female,41.8,10.0,African-American,F,0.294
Female,48.1,18.9,African-American,F,0.274
Male,18.0,0.0,African-American,F,0.385
Female,42.4,5.6,African-American,F,0.304
Male,22.4,5.1,African-American,F,0.38
Male,29.4,11.0,African-American,F,0.377
Female,23.9,17.0,African-American,F,0.286
Male,28.2,0.0,Caucasian,F,0.371
Female,20.7,2.6,African-American,F,0.322
Female,39.9,0.0,African-American,F,0.318
Female,55.0,5.9,African-American,F,0.301
Female,28.2,13.0,African-American,F,0.292
Male,18.0,0.0,African-American,F,0.385
Female,33.1,0.0,African-American,F,0.32
Male,26.2,5.7,African-American,F,0.382
Male,42.9,0.0,Caucasian,F,0.368
Female,26.6,13.1,African-American,F,0.293
Female,21.1,0.0,African-American,F,0.328
Male,24.2,2.4,African-American,F,0.385
Male,38.8,1.1,Caucasian,F,0.368
Male,28.6,8.7,African-American,F,0.38
Female,23.1,14.0,African-American,F,0.293
Male,18.0,0.8,Caucasian,F,0.372
Male,35.4,3.9,Caucasian,F,0.365
Male,43.7,8.8,Caucasian,F,0.359
Male,68.3,3.5,Caucasian,F,0.369
Male,35.5,16.5,Caucasian,F,0.35
Male,22.7,15.4,African-American,F,0.366
Female,31.2,10.9,African-American,F,0.295
Female,57.6,14.9,African-American,F,0.281
Female,37.5,19.0,African-American,F,0.275
Female,30.7,27.9,African-American,F,0.26
Male,19.1,0.0,African-American,F,0.386
Female,44.8,1.6,African-American,F,0.314
Male,43.0,0.0,Caucasian,F,0.368
Male,72.5,0.0,Caucasian,F,0.37
Male,42.2,8.3,African-American,F,0.392
Male,18.0,0.0,Caucasian,F,0.373
Male,33.9,3.2,Caucasian,F,0.366
Male,57.8,0.9,Caucasian,F,0.371
Male,18.0,8.0,Caucasian,F,0.363
Male,21.4,16.8,Caucasian,F,0.352
Female,21.3,0.0,African-American,F,0.328
Female,57.7,2.0,African-American,F,0.312
Female,34.2,4.8,African-American,F,0.308
Female,20.0,10.1,African-American,F,0.304
Female,21.7,19.8,African-American,F,0.281
Female,21.2,0.0,African-American,F,0.328
Female,57.7,1.7,African-American,F,0.312
Female,34.3,5.0,African-American,F,0.308
Female,19.7,9.9,African-American,F,0.305
Female,22.0,19.8,African-American,F,0.28
Female,31.4,1.9,African-American,F,0.316
Male,41.7,2.2,Caucasian,F,0.366
Male,18.0,3.2,African-American,F,0.38
Male,25.7,8.8,African-American,F,0.378
Female,26.4,15.3,African-American,F,0.288
Male,18.0,0.3,Caucasian,F,0.373
Male,25.9,7.2,Caucasian,F,0.363
Male,41.3,3.8,Caucasian,F,0.364
Male,55.6,8.7,Caucasian,F,0.366
Male,33.3,15.5,Caucasian,F,0.351
Female,29.8,0.0,African-American,F,0.321
Male,18.0,1.1,African-American,F,0.383
Male,39.5,0.8,Caucasian,F,0.368
Male,21.6,8.0,African-American,F,0.376
Female,22.3,13.8,African-American,F,0.294
Male,21.1,2.5,Caucasian,F,0.369
Male,74.2,2.1,Caucasian,F,0.369
Male,44.3,0.0,Caucasian,F,0.369
Male,51.7,6.4,Caucasian,F,0.366
Male,48.2,14.4,Caucasian,F,0.356
Male,30.7,5.1,African-American,F,0.386
Female,47.3,10.3,African-American,F,0.291
Male,18.0,10.0,African-American,F,0.37
Male,33.7,14.1,African-American,F,0.374
Female,31.1,20.3,African-American,F,0.274
Male,18.0,0.0,African-American,F,0.385
Female,21.0,5.8,African-American,F,0.313
Male,31.0,3.5,African-American,F,0.389
Male,42.6,0.0,Caucasian,F,0.368
Male,21.3,14.6,African-American,F,0.366
Male,18.0,0.0,Caucasian,F,0.373
Male,27.9,3.7,Caucasian,F,0.367
Male,43.1,4.7,Caucasian,F,0.363
Male,57.9,7.9,Caucasian,F,0.368
Male,29.5,13.4,Caucasian,F,0.354
Male,18.0,0.0,Caucasian,F,0.373
Male,58.7,1.5,Caucasian,F,0.37
Male,26.3,2.5,Caucasian,F,0.368
Male,40.8,7.1,Caucasian,F,0.36
Male,26.7,14.2,Caucasian,F,0.354
Male,18.0,1.5,African-American,F,0.382
Female,46.5,1.9,African-American,F,0.313
Male,35.0,0.0,Caucasian,F,0.37
Male,36.0,7.0,African-American,F,0.388
Female,35.7,13.8,African-American,F,0.287
Male,27.3,1.7,Caucasian,F,0.369
Male,44.4,0.0,Caucasian,F,0.369
Male,56.2,0.0,Caucasian,F,0.371
Male,80.0,0.0,Caucasian,F,0.37
Male,54.2,8.9,Caucasian,F,0.365
Male,18.0,2.7,African-American,F,0.38
Female,45.6,1.3,African-American,F,0.314
Male,36.1,0.2,Caucasian,F,0.369
Male,32.8,7.1,African-American,F,0.385
Female,36.0,13.3,African-American,F,0.288
Male,18.0,1.4,African-American,F,0.383
Female,35.5,0.0,African-American,F,0.319
Male,42.5,0.7,Caucasian,F,0.367
Male,32.7,6.6,African-American,F,0.386
Female,34.7,13.6,African-American,F,0.288
Male,18.0,0.0,African-American,F,0.385
Male,36.4,5.0,African-American,F,0.391
Male,42.6,0.0,Caucasian,F,0.368
Female,53.6,0.0,African-American,F,0.317
Female,42.2,10.8,African-American,F,0.292
Male,18.0,0.0,Caucasian,F,0.373
Male,22.2,7.4,Caucasian,F,0.363
Male,39.1,4.5,Caucasian,F,0.363
Male,52.4,9.4,Caucasian,F,0.364
Male,28.9,15.8,Caucasian,F,0.352
Male,18.0,0.0,African-American,F,0.385
Female,31.3,3.7,African-American,F,0.312
Male,34.9,0.0,African-American,F,0.397
Male,55.9,0.0,Caucasian,F,0.371
Male,27.8,9.7,African-American,F,0.378
Male,19.1,2.0,Caucasian,F,0.37
Male,72.6,2.0,Caucasian,F,0.369
Male,43.7,0.0,Caucasian,F,0.368
Male,49.4,6.4,Caucasian,F,0.365
Male,42.3,13.4,Caucasian,F,0.354
Male,43.4,0.0,Caucasian,F,0.368
Female,31.6,4.4,African-American,F,0.31
Female,47.5,0.0,African-American,F,0.318
Female,73.1,1.4,African-American,F,0.314
Female,46.5,12.9,African-American,F,0.286
Female,30.6,1.2,African-American,F,0.318
