sex,age,priors_count,race,c_charge_degree,twoyearrecid
Male,47.0,0.0,Caucasian,M,0
Female,47.0,0.0,Caucasian,M,0
Male,48.0,0.0,Caucasian,M,0
Male,46.0,0.0,Caucasian,M,0
Male,47.0,1.0,Caucasian,M,0
Female,22.0,0.0,Caucasian,M,0
Female,22.0,0.0,African-American,M,0
Female,23.0,0.0,Caucasian,M,0
Female,18.0,0.0,Caucasian,M,0
Female,22.0,1.0,Caucasian,M,0
Male,21.0,4.0,Caucasian,M,0
Female,23.0,4.0,Caucasian,M,0
Female,21.0,3.0,Caucasian,M,0
Female,21.0,3.0,African-American,F,0
Female,18.0,3.0,African-American,M,0
Female,43.0,0.0,African-American,M,0
Female,43.0,0.0,African-American,F,0
Female,43.0,0.0,Caucasian,M,0
Female,44.0,0.0,African-American,M,0
Female,42.0,0.0,African-American,M,0
Female,31.0,0.0,African-American,F,0
Female,31.0,0.0,African-American,M,0
Female,32.0,0.0,African-American,F,0
Female,30.0,0.0,African-American,F,0
Female,31.0,1.0,African-American,F,0
Female,42.0,4.0,Caucasian,M,0
Female,28.4,5.0,Caucasian,M,0
Female,42.0,0.0,Caucasian,M,0
Male,41.0,5.0,Caucasian,M,0
Female,42.0,15.0,Caucasian,M,0
Male,26.0,1.0,Caucasian,F,0
Male,26.0,1.0,Caucasian,M,0
Male,26.0,0.0,Caucasian,F,0
Male,18.0,1.0,Caucasian,F,0
Female,30.0,4.0,African-American,F,0
Female,31.0,4.0,African-American,F,0
Female,28.0,4.0,African-American,F,0
Female,30.0,3.0,African-American,F,0
Female,30.0,2.0,African-American,F,0
Male,25.0,2.0,Caucasian,M,0
Female,25.0,2.0,Caucasian,M,0
Male,26.0,2.0,Caucasian,M,0
Male,24.0,2.0,Caucasian,M,0
Male,25.0,1.0,Caucasian,M,0
Male,33.0,1.0,Caucasian,F,0
Male,33.0,1.0,Caucasian,M,0
Male,33.0,0.0,Caucasian,F,0
Male,18.0,1.0,Caucasian,F,0
Female,30.0,0.0,African-American,M,0
Female,30.0,0.0,Caucasian,M,0
Female,30.0,0.0,African-American,F,0
Female,31.0,0.0,African-American,M,0
Female,29.0,0.0,African-American,M,0
Male,63.0,0.0,Caucasian,M,0
Male,63.0,0.0,Caucasian,F,0
Male,60.0,0.0,Caucasian,M,0
Male,67.0,0.0,Caucasian,M,0
Male,59.0,0.0,Caucasian,M,0
Male,30.0,1.0,Caucasian,M,0
Male,31.0,1.0,Caucasian,M,0
Male,30.0,0.0,Caucasian,M,0
Male,18.0,1.0,Caucasian,M,0
Female,23.0,3.0,African-American,F,0
Female,24.0,4.0,African-American,F,0
Female,24.0,2.0,African-American,F,0
Female,18.0,3.0,African-American,F,0
Female,26.0,1.0,African-American,F,0
Female,26.0,1.0,African-American,M,0
Female,25.0,1.0,African-American,F,0
Female,27.0,1.0,African-American,F,0
Female,26.0,0.0,African-American,F,0
Male,29.0,1.0,Caucasian,M,0
Male,18.0,1.0,Caucasian,F,0
Female,29.0,1.0,Caucasian,M,0
Female,29.0,1.0,African-American,F,0
Male,30.0,1.0,Caucasian,M,0
Female,33.0,3.0,African-American,F,0
Female,34.0,3.0,African-American,M,0
Female,31.0,3.0,African-American,M,0
Female,18.0,3.0,African-American,M,0
Male,27.0,0.0,Caucasian,F,0
Male,27.0,0.0,Caucasian,M,0
Male,27.0,1.0,Caucasian,F,0
Male,18.0,0.0,Caucasian,F,0
Female,56.0,0.0,Caucasian,M,0
Female,54.7,0.0,Caucasian,M,0
Female,58.0,1.0,Caucasian,M,0
Female,44.2,0.0,Caucasian,M,0
Female,18.0,0.0,Caucasian,M,0
Male,44.0,4.0,Caucasian,F,0
Male,44.0,4.0,Caucasian,M,0
Male,44.0,0.0,Caucasian,F,0
Male,18.0,4.0,Caucasian,F,0
Male,66.0,1.0,Caucasian,M,0
Male,65.0,1.0,Caucasian,M,0
Male,78.0,1.0,Caucasian,M,0
Female,65.0,1.0,Caucasian,M,0
Male,69.0,0.0,Caucasian,M,0
Male,22.0,0.0,Caucasian,F,0
Male,21.0,0.0,Caucasian,F,0
Male,18.0,0.0,Caucasian,F,0
Male,26.3,0.0,Caucasian,F,0
Male,22.0,1.0,Caucasian,F,0
Female,26.0,1.0,African-American,F,0
Female,26.0,1.0,African-American,M,0
Female,27.0,1.0,African-American,F,0
Female,25.0,1.0,African-American,F,0
Female,26.0,0.0,African-American,F,0
Male,26.0,2.0,Caucasian,F,0
Male,26.0,2.0,Caucasian,M,0
Male,26.0,3.0,Caucasian,F,0
Male,18.0,2.0,Caucasian,F,0
Male,26.0,0.0,Caucasian,F,0
Male,26.0,0.0,Caucasian,M,0
Male,21.9,0.0,Caucasian,F,0
Female,26.0,0.0,African-American,F,0
Male,27.0,0.0,Caucasian,M,0
Male,25.0,0.0,Caucasian,M,0
Male,68.0,7.0,Caucasian,M,0
Male,55.9,11.0,Caucasian,F,0
Male,69.0,6.0,Caucasian,M,0
Male,70.0,11.0,Caucasian,M,0
Male,18.0,1.0,Caucasian,F,0
Female,29.0,5.0,African-American,F,0
Female,29.0,5.0,African-American,M,0
Female,28.0,5.0,African-American,F,0
Female,18.0,5.0,African-American,F,0
Female,29.0,3.0,African-American,F,0
Female,30.0,8.0,African-American,F,0
Female,27.0,8.0,African-American,F,0
Female,30.0,10.0,African-American,F,0
Female,18.0,8.0,African-American,F,0
Male,22.0,5.0,Caucasian,M,0
Male,21.0,5.0,Caucasian,M,0
Male,23.0,5.0,Caucasian,M,0
Male,24.0,5.0,Caucasian,M,0
Male,22.0,6.0,Caucasian,M,0
Male,29.0,0.0,Caucasian,F,0
Male,29.0,0.0,Caucasian,M,0
Male,18.0,0.0,Caucasian,F,0
Female,29.0,0.0,Caucasian,M,0
Male,25.0,5.0,Caucasian,M,0
Male,24.0,5.0,Caucasian,M,0
Male,26.0,5.0,Caucasian,M,0
Male,27.0,5.0,Caucasian,M,0
Male,23.0,5.0,Caucasian,M,0
Female,42.0,2.0,African-American,F,0
Female,41.0,2.0,African-American,M,0
Female,43.5,2.0,African-American,M,0
Female,42.0,4.0,African-American,M,0
Female,42.0,0.0,African-American,M,0
Female,26.0,5.0,African-American,F,0
Female,25.3,5.0,African-American,F,0
Female,25.0,5.0,African-American,F,0
Female,28.0,5.0,African-American,F,0
Female,26.0,4.0,African-American,F,0
Female,58.0,1.0,Caucasian,M,0
Male,58.0,1.0,Caucasian,M,0
Female,37.9,1.0,Caucasian,M,0
Female,18.0,1.0,Caucasian,M,0
Male,40.0,0.0,Caucasian,M,0
Female,39.0,0.0,Caucasian,M,0
Female,36.1,0.0,Caucasian,M,0
Female,27.0,0.0,Caucasian,M,0
Female,18.0,0.0,Caucasian,M,0
Male,25.0,0.0,Caucasian,M,0
Male,25.0,0.0,Caucasian,F,0
Female,25.0,0.0,Caucasian,M,0
Male,18.8,0.0,Caucasian,M,0
Male,18.0,0.0,Caucasian,M,0
