status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
... < 0 DM,28,critical account/ other credits existing (not at this bank),furniture/equipment,2621,A61,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,0.284
... < 0 DM,36,existing credits paid back duly till now,car (used),8094,A61,4 <= ... < 7 years,4,male : divorced/separated,none,2,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,0.258
0 <= ... < 200 DM,37,existing credits paid back duly till now,furniture/equipment,5309,A65,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,44,stores,rent,1,skilled employee / official,1,none,yes,0.184
... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,retraining,5119,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,29,bank,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.098
... < 0 DM,60,existing credits paid back duly till now,furniture/equipment,5229,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0.254
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),retraining,960,A65,... < 1 year,4,male : single,none,4,real estate,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0.076
0 <= ... < 200 DM,4,critical account/ other credits existing (not at this bank),radio/television,276,A61,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,19,none,own,2,skilled employee / official,1,none,yes,0.252
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,2366,A61,... < 1 year,4,male : married/widowed,guarantor,4,real estate,23,bank,own,4,skilled employee / official,1,none,yes,0.234
... >= 200 DM / salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),radio/television,881,A61,... < 1 year,4,male : single,guarantor,4,unknown / no property,27,none,own,4,skilled employee / official,1,none,yes,0.402
0 <= ... < 200 DM,53,critical account/ other credits existing (not at this bank),radio/television,736,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.283
no checking account,7,critical account/ other credits existing (not at this bank),repairs,907,A61,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,22,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0.098
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5620,A61,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,2,skilled employee / official,1,none,no,0.307
no checking account,24,critical account/ other credits existing (not at this bank),repairs,2087,A61,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.114
no checking account,34,critical account/ other credits existing (not at this bank),repairs,1965,A61,1 <= ... < 4 years,4,male : divorced/separated,none,4,real estate,40,none,own,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.129
no checking account,60,critical account/ other credits existing (not at this bank),repairs,2035,A61,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,75,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.157
... < 0 DM,8,delay in paying off in the past,radio/television,1070,A61,... < 1 year,4,male : married/widowed,none,4,real estate,22,stores,own,1,skilled employee / official,1,none,yes,0.291
