status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
0 <= ... < 200 DM,10.0,existing credits paid back duly till now,car (new),3387.0,A61,... < 1 year,1.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.745
... < 0 DM,15.0,existing credits paid back duly till now,car (new),323.0,A61,unemployed,3.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",23.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.741
... < 0 DM,15.0,existing credits paid back duly till now,car (new),2233.0,A65,unemployed,1.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,24.0,none,rent,2.0,skilled employee / official,1.0,none,yes,0.715
... < 0 DM,34.0,existing credits paid back duly till now,furniture/equipment,2609.0,A61,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",23.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.753
... < 0 DM,14.0,existing credits paid back duly till now,car (new),2505.0,A61,unemployed,1.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",60.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.733
... < 0 DM,16.0,existing credits paid back duly till now,radio/television,2750.0,A61,... < 1 year,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.746
... < 0 DM,36.0,existing credits paid back duly till now,education,276.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",29.0,none,for free,2.0,skilled employee / official,1.0,none,no,0.767
0 <= ... < 200 DM,36.0,all credits at this bank paid back duly,radio/television,2307.0,A65,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",31.0,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.747
... < 0 DM,35.0,existing credits paid back duly till now,radio/television,1952.0,A65,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",33.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.758
... < 0 DM,42.0,existing credits paid back duly till now,radio/television,2390.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.736
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,furniture/equipment,3899.0,A65,... < 1 year,2.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",30.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.737
0 <= ... < 200 DM,21.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,4 <= ... < 7 years,2.0,male : single,guarantor,3.0,"if not A121/A122 : car or other, not in attribute 6",35.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.688
0 <= ... < 200 DM,21.0,delay in paying off in the past,retraining,4056.0,A65,4 <= ... < 7 years,2.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,for free,1.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.802
0 <= ... < 200 DM,21.0,existing credits paid back duly till now,furniture/equipment,3966.0,A65,4 <= ... < 7 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,59.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.743
0 <= ... < 200 DM,41.0,existing credits paid back duly till now,furniture/equipment,6983.0,A65,4 <= ... < 7 years,2.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",35.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.666
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,furniture/equipment,339.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,24.0,none,own,1.0,unskilled - resident,1.0,none,yes,0.763
... < 0 DM,4.0,delay in paying off in the past,education,1187.0,A61,4 <= ... < 7 years,4.0,male : single,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,21.0,none,for free,2.0,unskilled - resident,1.0,none,yes,0.803
... < 0 DM,28.0,existing credits paid back duly till now,furniture/equipment,276.0,A61,1 <= ... < 4 years,4.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,20.0,none,rent,4.0,unskilled - resident,1.0,none,yes,0.746
... < 0 DM,12.0,existing credits paid back duly till now,furniture/equipment,1614.0,A61,1 <= ... < 4 years,4.0,male : single,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,21.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.732
... < 0 DM,12.0,existing credits paid back duly till now,furniture/equipment,736.0,A61,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,50.0,none,for free,1.0,unskilled - resident,1.0,none,yes,0.762
0 <= ... < 200 DM,11.0,critical account/ other credits existing (not at this bank),furniture/equipment,276.0,A64,.. >= 7 years,2.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,37.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.665
0 <= ... < 200 DM,19.0,all credits at this bank paid back duly,furniture/equipment,6221.0,A63,.. >= 7 years,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,36.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.765
0 <= ... < 200 DM,18.0,critical account/ other credits existing (not at this bank),retraining,3645.0,A61,.. >= 7 years,3.0,female : divorced/separated/married,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,37.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.718
no checking account,18.0,existing credits paid back duly till now,car (new),3622.0,A61,... < 1 year,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,37.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.733
