status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,A65,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",51,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,A61,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,car (used),3378,A65,1 <= ... < 4 years,2,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,3777,A64,1 <= ... < 4 years,4,male : single,none,4,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,delay in paying off in the past,furniture/equipment,4151,A62,1 <= ... < 4 years,2,male : single,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),business,4139,A62,1 <= ... < 4 years,3,male : single,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,30,delay in paying off in the past,business,4272,A62,1 <= ... < 4 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,unskilled - resident,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,A61,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,A65,4 <= ... < 7 years,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,A62,.. >= 7 years,4,male : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,0
no checking account,36,existing credits paid back duly till now,car (new),3079,A65,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,8,critical account/ other credits existing (not at this bank),car (new),2957,A64,4 <= ... < 7 years,4,male : single,none,4,real estate,39,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,radio/television,2957,A61,... < 1 year,4,male : divorced/separated,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,car (used),9277,A65,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,42,existing credits paid back duly till now,radio/television,7166,A65,4 <= ... < 7 years,2,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,29,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,60,existing credits paid back duly till now,car (new),10366,A61,.. >= 7 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,A65,.. >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,0
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,A61,1 <= ... < 4 years,1,male : single,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,A61,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,A62,.. >= 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,41,stores,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,A65,... < 1 year,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,yes,0
