employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,loan_status
10,11,123687.6,A,18.1,debt,MORTGAGE,VA,0.404
10,16,4080.0,A,33.8,debt,MORTGAGE,VA,0.409
10,15,279750.4,A,25.0,debt,MORTGAGE,VA,0.406
10,44,138122.5,A,23.4,purchase,MORTGAGE,VA,0.364
10,11,164723.0,A,57.1,debt,MORTGAGE,VA,0.43
10,11,98973.7,B,11.4,purchase,MORTGAGE,VA,0.415
10,44,36635.1,A,11.3,purchase,MORTGAGE,VA,0.365
10,16,4080.0,A,21.7,debt,MORTGAGE,VA,0.403
10,40,4080.0,A,44.6,purchase,MORTGAGE,VT,0.385
10,11,34740.9,A,57.1,purchase,MORTGAGE,VT,0.392
10,17,4080.0,A,20.7,debt,MORTGAGE,VA,0.403
10,10,97739.5,A,52.3,debt,MORTGAGE,VA,0.426
10,12,156368.2,A,20.2,purchase,MORTGAGE,VA,0.389
10,36,77803.0,A,57.1,purchase,MORTGAGE,VT,0.38
10,44,4080.0,A,19.9,purchase,MORTGAGE,VA,0.363
10,19,4080.0,A,9.9,debt,MORTGAGE,VA,0.403
10,4,58068.4,B,13.6,purchase,MORTGAGE,VA,0.417
10,4,111042.3,A,57.1,debt,MORTGAGE,VA,0.433
10,44,57213.7,A,9.4,purchase,MORTGAGE,VA,0.366
10,38,4080.0,A,48.4,purchase,MORTGAGE,VT,0.383
10,18,4080.0,A,22.3,debt,MORTGAGE,VA,0.404
10,18,196478.1,A,25.5,purchase,MORTGAGE,VT,0.399
10,44,84059.1,A,22.5,purchase,MORTGAGE,VA,0.364
10,38,94670.8,A,48.2,purchase,MORTGAGE,VT,0.384
10,18,52669.7,A,57.1,purchase,MORTGAGE,VT,0.387
10,16,4080.0,A,10.8,debt,MORTGAGE,VA,0.402
10,44,95225.1,A,10.8,purchase,MORTGAGE,VA,0.366
10,17,69964.2,A,57.1,debt,MORTGAGE,VA,0.429
10,13,120673.0,A,31.6,debt,MORTGAGE,VA,0.409
10,21,251534.9,A,9.7,debt,MORTGAGE,VA,0.405
10,8,37370.3,B,21.5,purchase,MORTGAGE,VA,0.419
10,9,4080.0,A,46.6,debt,MORTGAGE,VA,0.421
10,44,25460.1,A,23.1,purchase,MORTGAGE,VA,0.363
10,28,54618.3,A,57.1,purchase,MORTGAGE,VA,0.38
10,16,176978.1,A,23.6,debt,MORTGAGE,VA,0.405
0,6,19748.2,A,31.6,purchase,RENT,VT,0.395
0,11,318300.5,A,46.6,purchase,RENT,VT,0.379
0,11,86218.7,A,54.3,purchase,RENT,VT,0.375
0,26,4080.0,A,57.1,purchase,RENT,VT,0.374
0,2,194399.2,A,57.1,purchase,RENT,VT,0.371
10,6,63137.4,A,11.7,debt,MORTGAGE,VA,0.403
10,20,216477.3,A,12.6,debt,MORTGAGE,VA,0.404
10,44,28497.5,A,15.6,purchase,MORTGAGE,VA,0.364
10,13,4080.0,A,33.2,debt,MORTGAGE,VA,0.409
10,6,112301.7,A,57.1,debt,MORTGAGE,VA,0.432
0,13,4080.0,B,14.6,purchase,MORTGAGE,VT,0.401
10,44,100021.4,A,11.4,purchase,MORTGAGE,VA,0.366
0,31,94805.6,A,57.1,purchase,MORTGAGE,VT,0.356
10,11,60054.8,A,30.3,debt,MORTGAGE,VA,0.409
10,42,4080.0,A,41.2,purchase,MORTGAGE,VA,0.365
10,6,84425.9,B,18.5,purchase,MORTGAGE,VA,0.418
10,18,235339.6,A,19.4,debt,MORTGAGE,VA,0.404
10,13,4080.0,A,35.0,debt,MORTGAGE,VA,0.411
10,44,70963.4,A,19.6,purchase,MORTGAGE,VA,0.364
10,6,179729.9,A,57.1,debt,MORTGAGE,VA,0.432
10,10,4080.0,A,12.8,debt,MORTGAGE,VA,0.401
10,16,159184.7,A,21.2,debt,MORTGAGE,VA,0.404
10,10,73210.4,A,48.5,debt,MORTGAGE,VA,0.423
10,39,73012.7,A,54.0,purchase,MORTGAGE,VT,0.382
10,34,7411.4,A,11.2,debt,MORTGAGE,VA,0.409
10,16,4080.0,A,10.8,debt,MORTGAGE,VA,0.402
10,44,95225.1,A,10.8,purchase,MORTGAGE,VA,0.366
10,17,69964.2,A,57.1,debt,MORTGAGE,VA,0.429
10,13,120673.0,A,31.6,debt,MORTGAGE,VA,0.409
10,21,251534.9,A,9.7,debt,MORTGAGE,VA,0.405
0,44,11390.4,A,14.2,purchase,MORTGAGE,VT,0.377
10,4,95545.2,B,14.2,purchase,MORTGAGE,VA,0.417
10,17,4080.0,A,22.9,purchase,MORTGAGE,VA,0.384
10,4,27842.0,A,57.1,debt,MORTGAGE,VA,0.433
10,41,37879.2,A,43.6,purchase,MORTGAGE,VT,0.386
10,11,98973.7,B,11.4,purchase,MORTGAGE,VA,0.415
10,44,36635.1,A,11.3,purchase,MORTGAGE,VA,0.365
10,16,4080.0,A,21.7,debt,MORTGAGE,VA,0.403
10,40,4080.0,A,44.6,purchase,MORTGAGE,VT,0.385
10,11,34740.9,A,57.1,purchase,MORTGAGE,VT,0.392
10,11,4080.0,A,14.2,debt,MORTGAGE,VA,0.401
10,26,137271.2,A,5.4,debt,MORTGAGE,VA,0.406
10,12,70106.0,A,57.1,debt,MORTGAGE,VA,0.43
10,44,59272.6,A,22.3,purchase,MORTGAGE,VA,0.363
10,11,182050.6,A,35.0,debt,MORTGAGE,VA,0.412
10,8,4080.0,A,10.7,debt,MORTGAGE,VA,0.401
10,17,178859.2,A,11.7,debt,MORTGAGE,VA,0.403
10,23,98272.1,A,32.6,debt,MORTGAGE,VA,0.407
10,7,39841.4,A,57.1,debt,MORTGAGE,VA,0.432
10,44,73928.4,A,10.9,purchase,MORTGAGE,VA,0.366
10,11,98973.7,B,11.4,purchase,MORTGAGE,VA,0.415
10,44,36635.1,A,11.3,purchase,MORTGAGE,VA,0.365
10,16,4080.0,A,21.7,debt,MORTGAGE,VA,0.403
10,40,4080.0,A,44.6,purchase,MORTGAGE,VT,0.385
10,11,34740.9,A,57.1,purchase,MORTGAGE,VT,0.392
10,12,4080.0,A,11.5,debt,MORTGAGE,VA,0.4
10,7,42977.4,B,10.5,purchase,MORTGAGE,VA,0.415
10,17,155076.7,A,27.7,debt,MORTGAGE,VA,0.406
10,44,107672.0,A,9.3,purchase,MORTGAGE,VA,0.367
10,7,8143.5,A,57.1,debt,MORTGAGE,VA,0.432
0,13,83088.2,B,8.5,purchase,MORTGAGE,VT,0.403
0,16,4080.0,A,57.1,purchase,MORTGAGE,VT,0.364
0,44,4080.0,A,15.8,purchase,MORTGAGE,VT,0.376
10,44,79785.3,A,37.7,purchase,MORTGAGE,VA,0.364
10,19,41549.8,A,8.1,debt,MORTGAGE,VA,0.403
10,6,35034.0,B,12.7,purchase,MORTGAGE,VA,0.416
10,16,207818.5,A,12.7,debt,MORTGAGE,VA,0.403
10,23,4080.0,A,14.6,debt,MORTGAGE,VA,0.405
10,44,4080.0,A,30.0,purchase,MORTGAGE,VA,0.363
10,6,71038.3,A,57.1,debt,MORTGAGE,VA,0.432
10,16,4080.0,A,11.1,purchase,MORTGAGE,VA,0.388
10,36,100876.8,A,6.3,purchase,MORTGAGE,VA,0.377
10,17,198881.0,A,8.9,purchase,MORTGAGE,VA,0.39
10,44,34072.2,A,33.6,purchase,MORTGAGE,VA,0.363
10,17,64531.7,A,57.1,purchase,MORTGAGE,VA,0.391
10,8,114465.2,B,17.2,purchase,MORTGAGE,VA,0.418
10,20,4080.0,A,17.8,debt,MORTGAGE,VA,0.404
10,14,201723.6,A,28.3,debt,MORTGAGE,VA,0.408
10,9,10072.9,A,57.1,debt,MORTGAGE,VA,0.431
10,44,88020.2,A,28.6,purchase,MORTGAGE,VA,0.364
10,11,252799.5,A,22.0,debt,MORTGAGE,VA,0.406
10,44,150501.4,A,24.4,purchase,MORTGAGE,VA,0.364
10,21,122283.0,A,14.0,debt,MORTGAGE,VA,0.405
10,11,4080.0,A,33.1,debt,MORTGAGE,VA,0.41
10,11,118004.6,A,57.1,debt,MORTGAGE,VA,0.43
0,9,38573.7,A,32.0,purchase,RENT,VT,0.394
0,8,414425.9,A,53.8,purchase,RENT,VT,0.372
0,9,169856.4,A,57.1,purchase,RENT,VT,0.371
0,27,67579.6,A,57.1,purchase,RENT,VT,0.374
0,2,4080.0,A,57.1,purchase,RENT,VT,0.373
10,19,4080.0,A,9.9,debt,MORTGAGE,VA,0.403
10,4,58068.4,B,13.6,purchase,MORTGAGE,VA,0.417
10,4,111042.3,A,57.1,debt,MORTGAGE,VA,0.433
10,44,57213.7,A,9.4,purchase,MORTGAGE,VA,0.366
10,38,4080.0,A,48.4,purchase,MORTGAGE,VT,0.383
10,7,125707.7,B,14.3,purchase,MORTGAGE,VA,0.417
10,15,4080.0,A,19.4,purchase,MORTGAGE,VA,0.387
10,35,106074.3,A,57.1,purchase,MORTGAGE,VT,0.379
10,44,121225.4,A,14.5,purchase,MORTGAGE,VA,0.365
10,6,129778.9,A,49.8,debt,MORTGAGE,VA,0.425
10,6,4080.0,B,11.2,purchase,MORTGAGE,VA,0.416
10,6,197727.6,A,23.0,purchase,MORTGAGE,VT,0.408
10,44,34921.0,A,28.5,purchase,MORTGAGE,VA,0.363
10,7,40375.1,A,57.1,debt,MORTGAGE,VA,0.432
10,23,109518.6,A,10.6,debt,MORTGAGE,VA,0.405
