employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,loan_status
1.0,7.0,31338.0,B,10.5,debt,MORTGAGE,NY,0.98
1.0,7.0,85019.7,A,36.0,educational,OTHER,NY,0.971
0.0,2.0,4080.0,B,41.0,debt,MORTGAGE,NY,0.986
4.0,19.0,91255.3,B,53.0,debt,MORTGAGE,NY,0.99
1.0,8.0,240710.2,B,37.6,debt,MORTGAGE,NY,0.986
4.0,2.0,50256.6,B,3.5,debt,MORTGAGE,MI,0.985
10.0,9.0,4080.0,B,16.4,debt,MORTGAGE,MI,0.992
10.0,21.0,77591.2,B,32.1,debt,MORTGAGE,MI,0.993
10.0,4.0,137932.4,B,10.1,debt,MORTGAGE,MI,0.991
10.0,10.0,289272.6,B,18.3,debt,MORTGAGE,MI,0.992
1.0,8.0,55306.3,A,4.8,educational,MORTGAGE,AK,0.996
1.0,7.0,22918.6,C,36.9,debt,RENT,NY,0.83
6.0,28.0,4080.0,C,4.6,debt,RENT,NY,0.796
0.0,2.0,4080.0,C,3.0,debt,RENT,NY,0.77
1.0,8.0,249613.7,C,3.6,debt,RENT,NY,0.774
3.0,4.0,65947.5,A,10.0,debt,OTHER,AK,0.733
4.0,8.0,4080.0,B,15.1,small_business,MORTGAGE,MA,0.991
0.0,2.0,26658.9,B,3.0,small_business,MORTGAGE,MA,0.988
6.0,19.0,113987.8,B,30.1,small_business,MORTGAGE,MA,0.993
3.0,5.0,213079.3,B,11.6,small_business,MORTGAGE,MA,0.99
2.0,6.0,107327.6,A,13.9,debt,MORTGAGE,AK,0.967
3.0,9.0,4080.0,D,11.5,purchase,RENT,NJ,0.976
0.0,2.0,111656.0,D,3.0,purchase,RENT,NJ,0.97
5.0,19.0,53820.0,D,29.1,purchase,RENT,NJ,0.981
2.0,6.0,248334.9,D,15.0,purchase,RENT,NJ,0.975
3.0,7.0,85695.9,A,13.2,educational,OTHER,NJ,0.988
10.0,7.0,4080.0,D,15.9,debt,MORTGAGE,NJ,0.997
10.0,2.0,130497.3,D,3.0,debt,MORTGAGE,NJ,0.997
10.0,20.0,123979.0,D,30.0,debt,MORTGAGE,NJ,0.998
