employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,loan_status
2,8,38000.0,E,10.5,debt,RENT,NV,0
2,3,34560.0,E,10.1,purchase,RENT,NV,0
5,20,36000.0,B,15.2,small_business,RENT,MO,0
4,6,38004.0,B,7.4,educational,RENT,HI,0
4,6,39000.0,E,10.6,debt,RENT,AK,0
8,6,60000.0,E,10.7,small_business,MORTGAGE,OH,0
3,19,60000.0,E,9.2,small_business,RENT,FL,0
8,8,60000.0,E,16.7,purchase,OWN,PA,0
3,3,60000.0,E,5.6,small_business,RENT,IL,0
10,7,60000.0,F,11.6,small_business,RENT,NC,0
10,16,92000.0,E,15.5,debt,MORTGAGE,OR,0
8,11,98000.0,E,12.3,debt,MORTGAGE,AZ,0
6,10,98000.0,E,13.5,debt,MORTGAGE,AZ,0
10,14,95000.0,E,13.4,purchase,MORTGAGE,MO,0
5,10,98000.0,E,11.2,debt,MORTGAGE,AZ,0
2,6,30000.0,A,5.1,debt,RENT,OK,0
2,9,30000.0,A,8.3,debt,RENT,OK,0
7,6,32000.0,E,8.0,debt,RENT,MO,0
4,6,33804.0,D,4.3,purchase,RENT,MO,0
4,6,32108.0,E,4.2,educational,RENT,MO,0
1,11,75000.0,G,12.4,purchase,RENT,NC,0
4,11,75000.0,G,3.0,small_business,RENT,NC,0
2,12,73500.0,F,8.0,small_business,RENT,CA,0
1,9,75000.0,E,15.4,purchase,RENT,NV,0
1,15,74500.0,A,12.0,purchase,RENT,AR,0
0,2,4080.0,E,14.4,purchase,RENT,NV,0
0,2,4080.0,E,14.4,purchase,OWN,PA,0
0,2,104000.0,E,14.4,purchase,OWN,PA,0
0,2,120000.0,E,3.0,purchase,RENT,NV,0
0,2,4080.0,E,3.0,purchase,RENT,NV,0
10,6,86945.0,E,17.4,small_business,MORTGAGE,IL,0
10,4,98260.0,C,23.1,small_business,MORTGAGE,MO,0
10,3,90000.0,F,16.2,small_business,RENT,HI,0
10,16,92000.0,E,15.5,debt,MORTGAGE,OR,0
10,8,90000.0,E,17.3,debt,RENT,NV,0
4,7,36996.0,E,18.1,debt,RENT,MO,0
8,6,36000.0,E,28.5,debt,RENT,MO,0
5,20,36000.0,B,15.2,small_business,RENT,MO,0
3,8,36000.0,E,8.5,debt,MORTGAGE,AZ,0
6,17,36000.0,E,22.4,debt,OWN,MD,0
10,6,48000.0,E,12.6,debt,OWN,WI,0
10,6,48000.0,D,17.6,debt,OWN,WA,0
10,6,48000.0,E,13.2,debt,RENT,MO,0
10,12,47900.0,E,15.2,debt,MORTGAGE,OR,0
10,13,50000.0,G,22.3,small_business,OWN,AZ,0
2,10,65000.0,E,17.7,debt,MORTGAGE,OR,0
2,6,68000.0,C,18.6,debt,MORTGAGE,VT,0
1,11,70000.0,E,10.1,small_business,RENT,IL,0
1,11,4080.0,E,10.1,small_business,RENT,IL,0
10,10,68000.0,E,19.2,debt,MORTGAGE,AZ,0
10,7,60000.0,F,11.6,small_business,RENT,NC,0
10,12,56000.0,C,12.2,debt,MORTGAGE,OK,0
10,16,59000.0,E,11.4,debt,OWN,AK,0
8,6,60000.0,E,10.7,small_business,MORTGAGE,OH,0
10,14,56000.0,B,32.1,small_business,OWN,CT,0
3,3,36000.0,G,4.1,purchase,RENT,MA,0
3,5,34800.0,C,9.8,purchase,MORTGAGE,AR,0
4,6,33804.0,D,4.3,purchase,RENT,MO,0
2,3,34560.0,E,10.1,purchase,RENT,NV,0
3,3,31200.0,E,5.6,small_business,RENT,FL,0
1,9,40000.0,F,3.8,debt,RENT,OH,0
2,13,40000.0,G,3.0,debt,RENT,NJ,0
2,8,38000.0,E,10.5,debt,RENT,NV,0
0,2,42000.0,E,12.4,debt,RENT,MO,0
1,2,39996.0,E,3.3,debt,RENT,MO,0
3,15,80000.0,E,10.3,debt,MORTGAGE,OR,0
3,8,80000.0,E,11.0,debt,MORTGAGE,AZ,0
