age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
17.0,Self-Employed,Some-college,Single,Sales,White,Female,1.0,0.833
24.0,Self-Employed,HS-grad,Widowed,Blue-Collar,Other,Male,26.0,0.746
45.0,Self-Employed,Prof-school,Single,Professional,White,Male,50.0,0.843
60.0,Self-Employed,Some-college,Single,Other/Unknown,White,Male,82.0,0.764
90.0,Self-Employed,Bachelors,Widowed,Sales,Other,Female,99.0,0.876
20.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,1.0,0.03
53.0,Other/Unknown,Assoc,Married,Sales,Other,Male,30.0,0.032
90.0,Self-Employed,School,Divorced,White-Collar,White,Male,60.0,0.276
17.0,Other/Unknown,HS-grad,Separated,Sales,White,Male,83.0,0.242
90.0,Other/Unknown,Assoc,Married,Professional,Other,Female,99.0,0.048
17.0,Other/Unknown,Doctorate,Married,White-Collar,Other,Male,1.0,0.033
37.0,Private,Assoc,Separated,Blue-Collar,White,Female,19.0,0.183
48.0,Other/Unknown,HS-grad,Single,Service,Other,Male,40.0,0.183
71.0,Private,Assoc,Single,White-Collar,White,Female,66.0,0.134
90.0,Other/Unknown,Assoc,Married,Service,White,Female,99.0,0.083
17.0,Private,Prof-school,Widowed,Other/Unknown,White,Female,1.0,0.822
17.0,Private,HS-grad,Single,Sales,Other,Male,29.0,0.734
46.0,Private,Prof-school,Separated,Other/Unknown,Other,Male,55.0,0.87
54.0,Self-Employed,Bachelors,Separated,Sales,White,Male,85.0,0.71
90.0,Private,HS-grad,Widowed,Other/Unknown,Other,Female,99.0,0.811
45.0,Self-Employed,Prof-school,Single,Other/Unknown,Other,Male,1.0,0.919
17.0,Self-Employed,Prof-school,Widowed,Blue-Collar,White,Male,38.0,0.83
17.0,Self-Employed,HS-grad,Separated,Blue-Collar,Other,Female,71.0,0.772
35.0,Government,Bachelors,Single,Other/Unknown,White,Female,99.0,0.78
90.0,Self-Employed,Prof-school,Separated,Sales,Other,Male,99.0,0.906
17.0,Other/Unknown,School,Divorced,White-Collar,White,Male,1.0,0.029
17.0,Private,Assoc,Separated,Service,White,Male,42.0,0.177
90.0,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Male,23.0,0.106
24.0,Other/Unknown,Assoc,Single,Blue-Collar,Other,Female,75.0,0.043
90.0,Other/Unknown,HS-grad,Divorced,White-Collar,White,Male,99.0,0.139
17.0,Self-Employed,Prof-school,Widowed,Other/Unknown,White,Female,1.0,0.868
24.0,Private,HS-grad,Separated,Sales,Other,Male,24.0,0.659
57.0,Government,Prof-school,Divorced,Other/Unknown,White,Male,40.0,0.811
65.0,Government,Prof-school,Single,Other/Unknown,White,Male,80.0,0.859
90.0,Private,HS-grad,Widowed,Sales,Other,Female,99.0,0.801
17.0,Other/Unknown,School,Divorced,Sales,Other,Male,1.0,0.058
77.0,Government,Some-college,Married,Service,White,Male,16.0,0.349
80.0,Other/Unknown,HS-grad,Separated,Blue-Collar,Other,Male,67.0,0.163
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,43.0,0.031
90.0,Other/Unknown,Assoc,Married,Service,White,Male,99.0,0.051
28.0,Self-Employed,Prof-school,Separated,Blue-Collar,White,Female,1.0,0.851
17.0,Private,Prof-school,Single,Sales,Other,Male,33.0,0.854
72.0,Self-Employed,HS-grad,Widowed,Other/Unknown,White,Male,60.0,0.825
17.0,Private,Prof-school,Separated,Other/Unknown,Other,Female,83.0,0.904
90.0,Self-Employed,Bachelors,Single,Blue-Collar,Other,Male,99.0,0.811
17.0,Other/Unknown,School,Single,Sales,Other,Male,1.0,0.138
78.0,Other/Unknown,Some-college,Married,Service,White,Male,16.0,0.086
65.0,Other/Unknown,HS-grad,Separated,Professional,Other,Male,69.0,0.225
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,44.0,0.031
17.0,Government,Masters,Divorced,Service,Other,Female,1.0,0.369
47.0,Other/Unknown,Assoc,Single,Professional,Other,Male,17.0,0.054
60.0,Other/Unknown,Doctorate,Divorced,White-Collar,White,Female,37.0,0.04
86.0,Other/Unknown,Some-college,Single,Professional,Other,Female,64.0,0.119
90.0,Other/Unknown,Some-college,Married,Service,White,Male,99.0,0.095
21.0,Other/Unknown,Doctorate,Separated,Blue-Collar,White,Female,1.0,0.173
78.0,Other/Unknown,Some-college,Married,Service,White,Male,18.0,0.086
76.0,Other/Unknown,HS-grad,Separated,Professional,Other,Male,68.0,0.213
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,46.0,0.031
17.0,Other/Unknown,Assoc,Divorced,Professional,Other,Male,1.0,0.029
17.0,Other/Unknown,Doctorate,Married,White-Collar,White,Female,30.0,0.064
34.0,Private,Assoc,Separated,Service,Other,Male,47.0,0.158
55.0,Other/Unknown,Bachelors,Single,Professional,White,Female,72.0,0.304
90.0,Other/Unknown,Assoc,Divorced,White-Collar,White,Female,99.0,0.033
17.0,Government,Prof-school,Single,Other/Unknown,White,Female,1.0,0.905
90.0,Government,School,Widowed,Other/Unknown,White,Male,41.0,0.696
17.0,Government,HS-grad,Divorced,Sales,Other,Male,28.0,0.801
20.0,Government,HS-grad,Widowed,Other/Unknown,White,Male,80.0,0.848
90.0,Government,Prof-school,Married,Sales,Other,Female,99.0,0.843
17.0,Other/Unknown,Masters,Married,Service,White,Male,1.0,0.108
44.0,Private,Assoc,Single,Professional,Other,Male,27.0,0.247
