sex,age,priors_count,race,c_charge_degree,twoyearrecid
Male,41.3,5.9,Caucasian,F,0.361
Male,55.9,19.1,Caucasian,F,0.356
Male,34.6,32.3,Caucasian,F,0.324
Female,18.0,36.8,African-American,F,0.243
Male,74.8,38.0,Caucasian,F,0.322
Female,18.0,5.1,Caucasian,M,0.752
Male,36.4,0.0,African-American,M,0.802
Male,80.0,5.4,African-American,M,0.799
Male,22.9,16.5,African-American,M,0.774
Male,36.1,33.9,African-American,M,0.754
Male,18.0,7.4,African-American,F,0.374
Female,33.6,22.0,African-American,F,0.269
Female,18.0,38.0,African-American,F,0.241
Male,50.3,38.0,Caucasian,F,0.314
Female,80.0,26.0,African-American,F,0.262
Male,37.2,22.9,Caucasian,F,0.342
Male,41.4,7.1,Caucasian,F,0.36
Male,53.2,38.0,Caucasian,F,0.315
Male,76.2,0.0,Caucasian,F,0.369
Female,18.0,28.9,African-American,F,0.264
Male,28.6,1.9,Caucasian,F,0.369
Male,39.5,14.6,Caucasian,F,0.351
Female,18.0,38.0,Caucasian,F,0.363
Male,62.8,38.0,Caucasian,F,0.317
Female,38.9,23.3,African-American,F,0.266
Male,39.7,13.2,Caucasian,F,0.353
Male,47.2,31.3,Caucasian,F,0.329
Male,70.3,1.0,Caucasian,F,0.369
Male,78.5,38.0,Caucasian,F,0.324
Female,33.3,22.1,African-American,F,0.269
Male,19.2,0.1,Caucasian,F,0.373
Male,39.7,31.0,Caucasian,F,0.327
Male,76.4,38.0,Caucasian,F,0.323
Male,18.0,8.7,Caucasian,F,0.362
Male,35.7,26.6,Caucasian,F,0.337
Female,18.0,31.6,African-American,F,0.257
Male,76.9,9.7,Caucasian,F,0.367
Male,55.0,38.0,Caucasian,F,0.315
Male,22.9,4.9,Caucasian,F,0.366
Male,38.3,19.2,Caucasian,F,0.346
Female,18.7,26.6,African-American,F,0.269
Male,75.9,0.8,Caucasian,F,0.369
Male,46.0,38.0,Caucasian,F,0.313
Male,24.1,2.0,Caucasian,F,0.369
Male,35.6,20.5,Caucasian,F,0.345
Female,18.0,28.4,African-American,F,0.266
Male,76.4,4.8,Caucasian,F,0.368
Male,49.0,38.0,Caucasian,F,0.314
Male,37.2,9.1,Caucasian,F,0.358
Male,38.2,23.3,Caucasian,F,0.342
Female,18.0,26.8,African-American,F,0.269
Male,68.5,38.0,Caucasian,F,0.319
Female,22.6,38.0,Caucasian,F,0.364
Male,18.0,3.6,African-American,F,0.379
Female,33.8,17.2,African-American,F,0.28
Female,18.0,31.4,African-American,F,0.257
Female,72.0,21.9,African-American,F,0.269
Female,80.0,38.0,African-American,F,0.238
Male,18.0,13.1,Caucasian,F,0.357
Male,37.6,22.2,Caucasian,F,0.342
Male,48.6,33.9,Caucasian,F,0.323
Female,18.0,37.0,African-American,F,0.243
Male,79.4,38.0,Caucasian,F,0.324
Male,18.0,4.7,African-American,F,0.378
Female,34.8,17.3,African-American,F,0.279
Female,18.0,32.9,African-American,F,0.253
Female,72.9,22.0,African-American,F,0.269
Male,38.4,17.3,Caucasian,F,0.348
Male,59.8,2.0,Caucasian,F,0.37
Male,78.8,30.0,Caucasian,F,0.34
Male,57.6,38.0,Caucasian,F,0.316
Male,39.6,13.2,Caucasian,F,0.353
Male,47.1,31.3,Caucasian,F,0.329
Male,70.5,0.9,Caucasian,F,0.369
Male,79.2,38.0,Caucasian,F,0.324
Female,35.4,16.8,African-American,F,0.28
