status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,4.0,all credits at this bank paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.015
... < 0 DM,16.0,existing credits paid back duly till now,repairs,276.0,A64,1 <= ... < 4 years,3.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",22.0,none,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.276
... >= 200 DM / salary assignments for at least 1 year,33.0,critical account/ other credits existing (not at this bank),domestic appliances,5078.0,A62,.. >= 7 years,4.0,male : single,none,1.0,real estate,40.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.124
... < 0 DM,49.0,all credits at this bank paid back duly,car (new),9456.0,A65,1 <= ... < 4 years,4.0,female : divorced/separated/married,co-applicant,3.0,if not A121 : building society savings agreement/ life insurance,59.0,stores,own,2.0,unskilled - resident,2.0,none,yes,0.242
... < 0 DM,60.0,all credits at this bank paid back duly,car (new),15945.0,A62,unemployed,4.0,male : single,none,4.0,real estate,75.0,bank,own,3.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.085
no checking account,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A64,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,4.0,skilled employee / official,1.0,none,yes,0.779
no checking account,14.0,all credits at this bank paid back duly,car (new),2906.0,A65,.. >= 7 years,2.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",38.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.761
0 <= ... < 200 DM,32.0,existing credits paid back duly till now,car (new),6754.0,A63,... < 1 year,2.0,male : divorced/separated,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,49.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.863
no checking account,47.0,delay in paying off in the past,furniture/equipment,12773.0,A61,.. >= 7 years,3.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.728
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,54.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.838
... < 0 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.018
... >= 200 DM / salary assignments for at least 1 year,13.0,existing credits paid back duly till now,repairs,465.0,A64,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,26.0,bank,for free,1.0,unskilled - resident,2.0,none,no,0.178
