employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,loan_status
3.0,2.0,321322.2,A,3.0,debt,OTHER,SC,0.539
9.0,13.0,4080.0,E,16.0,purchase,MORTGAGE,SC,0.984
10.0,34.0,550889.2,E,44.0,purchase,MORTGAGE,SC,0.988
10.0,17.0,1177479.1,E,21.5,purchase,MORTGAGE,SC,0.985
10.0,36.0,1909239.2,E,46.4,purchase,MORTGAGE,SC,0.988
0.0,2.0,4080.0,C,3.0,debt,OTHER,TN,0.381
0.0,32.0,4080.0,C,3.0,debt,OTHER,TN,0.402
0.0,2.0,199401.6,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,437083.4,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,769072.6,C,3.0,debt,OTHER,TN,0.393
0.0,2.0,334898.6,A,3.0,debt,OTHER,AK,0.697
0.0,12.0,4080.0,B,16.1,purchase,MORTGAGE,TX,0.99
5.0,30.0,629525.8,B,38.2,purchase,MORTGAGE,TX,0.994
1.0,6.0,1224725.4,B,8.5,purchase,MORTGAGE,TX,0.989
6.0,32.0,1884906.4,B,41.3,purchase,MORTGAGE,TX,0.994
2.0,2.0,324340.0,A,3.0,educational,OTHER,AK,0.959
9.0,14.0,4080.0,D,11.9,debt,MORTGAGE,IL,0.989
10.0,35.0,567163.4,D,38.8,debt,MORTGAGE,IL,0.991
10.0,17.0,1190462.4,D,16.2,debt,MORTGAGE,IL,0.989
10.0,37.0,1912907.6,D,41.5,debt,MORTGAGE,IL,0.991
0.0,2.0,4080.0,A,3.0,debt,OTHER,AK,0.696
10.0,2.0,4080.0,C,3.0,purchase,MORTGAGE,VA,0.988
9.0,22.0,496983.4,C,27.3,purchase,MORTGAGE,VA,0.99
0.0,5.0,1081762.8,C,5.3,purchase,MORTGAGE,VA,0.98
9.0,24.0,1783480.2,C,29.8,purchase,MORTGAGE,VA,0.99
0.0,2.0,330260.8,A,5.3,educational,MORTGAGE,AK,0.995
10.0,12.0,4080.0,D,3.0,debt,RENT,CO,0.889
10.0,27.0,636404.8,D,31.4,debt,RENT,CO,0.907
10.0,2.0,1232320.0,D,8.5,debt,RENT,CO,0.888
10.0,29.0,1910666.4,D,34.6,debt,RENT,CO,0.906
1.0,4.0,329286.4,B,3.0,debt,MORTGAGE,AK,0.954
10.0,2.0,4080.0,A,16.3,purchase,RENT,OR,0.893
10.0,23.0,637541.3,A,37.9,purchase,RENT,OR,0.909
10.0,5.0,1232167.0,A,3.0,purchase,RENT,OR,0.877
10.0,25.0,1903412.4,A,41.2,purchase,RENT,OR,0.907
0.0,3.0,301471.6,E,3.0,purchase,OTHER,AR,0.977
5.0,2.0,4080.0,A,27.7,debt,RENT,CA,0.81
6.0,21.0,661234.4,A,33.9,debt,RENT,CA,0.823
0.0,4.0,1225956.1,A,3.0,debt,RENT,CA,0.728
