age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
17.0,Private,Prof-school,Separated,Other/Unknown,White,Female,1.0,0.815
17.0,Private,School,Single,Sales,Other,Male,30.0,0.591
17.0,Private,HS-grad,Widowed,Other/Unknown,White,Male,78.0,0.79
84.0,Self-Employed,Prof-school,Separated,Blue-Collar,White,Female,43.0,0.855
90.0,Private,Prof-school,Separated,Blue-Collar,Other,Male,99.0,0.773
17.0,Other/Unknown,Assoc,Divorced,Service,White,Male,1.0,0.084
38.0,Other/Unknown,Assoc,Married,White-Collar,Other,Female,21.0,0.017
58.0,Private,Assoc,Married,White-Collar,White,Male,50.0,0.11
77.0,Other/Unknown,Doctorate,Separated,Service,Other,Female,72.0,0.132
90.0,Private,Assoc,Married,White-Collar,White,Male,99.0,0.115
17.0,Private,Assoc,Married,White-Collar,Other,Male,1.0,0.116
90.0,Other/Unknown,Doctorate,Separated,Blue-Collar,Other,Male,50.0,0.094
56.0,Other/Unknown,Masters,Single,Professional,White,Female,26.0,0.198
17.0,Private,School,Married,Service,White,Male,72.0,0.221
90.0,Other/Unknown,Masters,Married,Professional,White,Male,99.0,0.111
17.0,Private,Assoc,Divorced,Service,White,Male,1.0,0.253
27.0,Other/Unknown,Assoc,Married,White-Collar,Other,Female,22.0,0.017
44.0,Private,Assoc,Married,White-Collar,White,Male,49.0,0.116
64.0,Other/Unknown,School,Separated,Service,Other,Female,74.0,0.084
17.0,Other/Unknown,Some-college,Separated,Service,Other,Male,1.0,0.045
47.0,Government,Assoc,Married,Sales,White,Male,28.0,0.355
63.0,Other/Unknown,School,Divorced,Professional,Other,Male,60.0,0.048
90.0,Other/Unknown,Assoc,Separated,White-Collar,White,Male,81.0,0.035
17.0,Other/Unknown,Assoc,Married,Professional,White,Male,99.0,0.078
17.0,Government,Prof-school,Divorced,Sales,Other,Male,1.0,0.864
27.0,Government,Bachelors,Separated,Other/Unknown,White,Female,22.0,0.853
40.0,Government,Prof-school,Widowed,White-Collar,Other,Female,44.0,0.828
44.0,Government,Some-college,Divorced,Sales,White,Female,76.0,0.715
90.0,Government,Prof-school,Widowed,Other/Unknown,Other,Female,99.0,0.947
17.0,Government,HS-grad,Single,Other/Unknown,White,Female,1.0,0.878
35.0,Government,Prof-school,Widowed,Blue-Collar,Other,Male,19.0,0.869
55.0,Self-Employed,Prof-school,Separated,Other/Unknown,Other,Male,44.0,0.914
73.0,Government,HS-grad,Widowed,Other/Unknown,White,Female,73.0,0.826
90.0,Government,Prof-school,Single,Blue-Collar,Other,Male,99.0,0.848
17.0,Government,Prof-school,Widowed,Other/Unknown,White,Female,1.0,0.894
26.0,Private,HS-grad,Single,Sales,Other,Female,23.0,0.749
57.0,Private,Prof-school,Widowed,Other/Unknown,Other,Male,44.0,0.882
66.0,Self-Employed,Prof-school,Separated,Sales,White,Male,75.0,0.836
87.0,Private,Prof-school,Widowed,Other/Unknown,Other,Female,99.0,0.901
17.0,Government,Prof-school,Separated,Other/Unknown,White,Male,1.0,0.858
17.0,Self-Employed,Bachelors,Single,Blue-Collar,Other,Female,24.0,0.767
28.0,Private,HS-grad,Widowed,Sales,White,Male,46.0,0.688
46.0,Self-Employed,HS-grad,Separated,Blue-Collar,White,Male,77.0,0.737
90.0,Private,Prof-school,Single,Other/Unknown,Other,Female,99.0,0.873
