sex,age,priors_count,race,c_charge_degree,twoyearrecid
Male,24.8,4.1,Caucasian,F,0.367
Female,50.4,16.4,African-American,F,0.278
Female,18.6,26.5,African-American,F,0.269
Female,28.7,38.0,African-American,F,0.238
Female,80.0,29.9,African-American,F,0.254
Male,18.0,0.0,African-American,M,0.796
Female,30.7,0.0,Caucasian,M,0.76
Female,80.0,0.0,Caucasian,M,0.77
Male,62.6,0.0,African-American,M,0.805
Male,31.0,18.4,African-American,M,0.778
Female,32.6,14.3,African-American,F,0.287
Female,80.0,27.3,African-American,F,0.259
Female,49.0,21.9,African-American,F,0.268
Female,18.0,32.0,African-American,F,0.256
Female,55.5,38.0,African-American,F,0.237
Female,18.0,0.0,African-American,M,0.695
Male,34.9,0.0,Caucasian,M,0.733
Female,59.2,0.0,African-American,M,0.685
Male,80.0,0.0,Caucasian,M,0.753
Male,52.0,19.3,Caucasian,M,0.73
Male,26.9,1.0,Caucasian,F,0.37
Male,33.9,23.2,Caucasian,F,0.342
Male,76.5,5.0,Caucasian,F,0.368
Female,18.0,38.0,Caucasian,F,0.363
Male,61.8,38.0,Caucasian,F,0.317
Male,35.4,0.0,Caucasian,M,0.733
Female,59.7,0.0,African-American,M,0.685
Male,58.9,19.9,Caucasian,M,0.733
Male,29.9,2.0,Caucasian,F,0.368
Male,38.7,17.1,Caucasian,F,0.348
Male,34.0,33.5,Caucasian,F,0.322
Female,18.0,38.0,African-American,F,0.241
Male,74.8,38.0,Caucasian,F,0.322
Female,18.0,4.0,Caucasian,M,0.752
Male,36.7,0.0,African-American,M,0.802
Male,80.0,3.9,African-American,M,0.801
Male,51.2,14.3,African-American,M,0.79
Male,36.9,30.1,African-American,M,0.762
Female,44.2,9.8,African-American,F,0.293
Female,24.2,24.9,African-American,F,0.269
Female,68.5,21.5,African-American,F,0.269
Female,80.0,38.0,African-American,F,0.238
Male,48.7,0.0,African-American,M,0.804
Female,61.8,7.2,Caucasian,M,0.764
Male,71.0,15.7,African-American,M,0.786
Male,77.6,34.4,African-American,M,0.756
Male,18.0,0.0,Caucasian,M,0.725
Female,34.5,0.0,African-American,M,0.694
Male,62.2,0.0,African-American,M,0.805
Male,28.4,17.5,African-American,M,0.777
Female,18.0,6.0,Caucasian,M,0.751
Male,40.0,0.0,African-American,M,0.803
Male,80.0,6.5,African-American,M,0.797
Male,26.4,16.7,African-American,M,0.777
Male,40.7,34.0,African-American,M,0.756
Female,18.0,0.0,Caucasian,M,0.755
Male,31.6,0.0,African-American,M,0.801
Female,60.9,0.0,Caucasian,M,0.769
Male,80.0,0.0,African-American,M,0.805
Male,26.1,18.8,Caucasian,M,0.718
Female,33.9,0.0,African-American,M,0.694
Male,64.7,0.0,African-American,M,0.805
Male,20.4,17.2,African-American,M,0.771
Female,29.6,0.0,Caucasian,M,0.759
Male,62.7,0.0,African-American,M,0.805
Male,23.8,20.3,African-American,M,0.769
Female,52.7,10.9,African-American,F,0.288
Male,18.0,15.0,African-American,F,0.364
Female,22.5,25.4,African-American,F,0.269
Female,32.4,38.0,African-American,F,0.237
Female,80.0,28.2,African-American,F,0.257
Male,18.0,2.4,African-American,M,0.792
Female,38.1,0.0,Caucasian,M,0.762
Female,80.0,1.8,African-American,M,0.67
Female,21.7,13.6,African-American,M,0.682
Female,41.8,27.2,Caucasian,M,0.742
Female,24.1,18.4,African-American,F,0.282
Female,50.6,25.8,African-American,F,0.261
Female,18.0,35.5,African-American,F,0.246
Female,57.5,7.7,African-American,F,0.296
Female,28.0,0.0,Caucasian,M,0.758
Female,18.0,6.4,African-American,M,0.688
Female,80.0,1.1,Caucasian,M,0.769
Male,29.0,16.6,Caucasian,M,0.721
Female,42.1,30.4,Caucasian,M,0.737
Female,32.7,14.2,African-American,F,0.287
Female,49.1,22.0,African-American,F,0.268
Female,18.0,31.9,African-American,F,0.256
Female,55.4,38.0,African-American,F,0.237
Male,18.0,2.0,African-American,M,0.793
Female,38.0,0.0,Caucasian,M,0.762
Male,49.6,7.4,African-American,M,0.797
Male,67.4,16.3,Caucasian,M,0.739
Male,80.0,32.6,Caucasian,M,0.736
Male,29.9,1.0,Caucasian,F,0.37
Male,34.3,23.5,Caucasian,F,0.341
Male,76.8,5.7,Caucasian,F,0.368
Male,18.0,2.7,African-American,M,0.792
Female,41.5,0.0,Caucasian,M,0.764
Male,54.5,13.5,African-American,M,0.791
Male,41.6,31.3,African-American,M,0.762
Male,18.9,16.6,African-American,F,0.362
Female,36.2,21.7,African-American,F,0.269
Female,79.7,23.5,African-American,F,0.267
Male,37.0,0.0,African-American,M,0.802
Female,58.2,0.0,Caucasian,M,0.768
Male,39.0,20.2,Caucasian,M,0.724
Male,26.0,5.3,Caucasian,F,0.365
Male,37.7,20.6,Caucasian,F,0.344
Female,18.0,27.0,African-American,F,0.268
Male,75.8,0.0,Caucasian,F,0.369
Male,49.5,38.0,Caucasian,F,0.314
Male,18.0,13.1,Caucasian,F,0.357
Male,37.5,22.2,Caucasian,F,0.342
Male,48.4,34.0,Caucasian,F,0.323
Female,18.0,37.2,African-American,F,0.242
Male,79.2,38.0,Caucasian,F,0.324
Female,58.4,0.0,African-American,M,0.686
Male,34.2,0.0,Caucasian,M,0.732
Male,46.6,19.2,Caucasian,M,0.728
Male,64.6,0.0,African-American,M,0.805
Male,19.2,17.3,African-American,M,0.77
Female,80.0,1.9,African-American,M,0.67
Male,38.2,5.1,African-American,M,0.798
Male,18.0,17.5,African-American,M,0.768
Male,31.0,34.5,African-American,M,0.751
Female,50.6,0.0,African-American,M,0.691
Male,25.8,19.2,Caucasian,M,0.718
Male,39.1,1.2,Caucasian,F,0.368
Female,21.4,25.6,African-American,F,0.269
Female,61.9,18.3,African-American,F,0.274
Female,39.1,34.9,African-American,F,0.244
Female,18.0,5.1,Caucasian,M,0.752
Male,35.4,0.0,African-American,M,0.802
Male,80.0,3.2,African-American,M,0.802
Male,52.6,14.7,African-American,M,0.79
Male,38.1,31.9,African-American,M,0.759
Male,23.1,10.0,Caucasian,F,0.36
Female,53.6,17.7,African-American,F,0.276
Female,18.0,26.7,African-American,F,0.269
Female,28.8,38.0,African-American,F,0.238
Female,80.0,30.7,African-American,F,0.252
Female,38.0,0.0,African-American,M,0.694
Female,64.5,0.0,Caucasian,M,0.77
Female,47.9,18.8,Caucasian,M,0.753
Male,42.6,3.0,Caucasian,F,0.365
Male,37.7,20.3,Caucasian,F,0.345
Male,78.9,29.9,Caucasian,F,0.34
Male,58.9,38.0,Caucasian,F,0.316
Male,26.1,3.1,Caucasian,F,0.368
Female,50.2,16.1,African-American,F,0.279
Female,19.0,26.4,African-American,F,0.269
Female,28.9,38.0,African-American,F,0.238
Female,80.0,30.1,African-American,F,0.254
Female,34.4,0.0,Caucasian,M,0.761
Male,63.4,0.0,African-American,M,0.805
Female,47.8,19.1,Caucasian,M,0.753
Male,18.0,2.0,African-American,F,0.381
Female,18.0,28.6,African-American,F,0.265
Female,41.6,38.0,African-American,F,0.237
Male,22.1,17.8,African-American,F,0.36
Female,74.2,22.3,African-American,F,0.268
Female,45.6,2.9,Caucasian,M,0.764
Male,29.5,14.0,Caucasian,M,0.723
Male,45.2,28.7,Caucasian,M,0.722
Male,18.0,6.0,African-American,F,0.376
Female,39.1,17.4,African-American,F,0.278
Female,18.0,31.7,African-American,F,0.256
Female,75.3,22.2,African-American,F,0.269
Female,18.0,2.2,African-American,M,0.692
Female,50.0,0.0,Caucasian,M,0.767
Male,80.0,1.1,African-American,M,0.805
Male,44.5,13.5,African-American,M,0.79
Female,50.5,27.6,Caucasian,M,0.745
Male,31.0,4.9,African-American,M,0.796
Female,47.3,9.7,Caucasian,M,0.759
Male,53.6,18.9,African-American,M,0.785
Male,76.7,32.6,African-American,M,0.759
Male,33.5,0.0,African-American,M,0.801
Female,62.9,0.0,Caucasian,M,0.769
Male,34.2,19.1,Caucasian,M,0.722
Female,35.2,0.0,Caucasian,M,0.761
Male,63.5,0.0,African-American,M,0.805
Male,42.7,19.2,African-American,M,0.784
Male,18.0,5.0,African-American,F,0.377
Female,58.0,14.6,African-American,F,0.282
Female,28.3,23.6,African-American,F,0.269
Female,47.6,32.6,African-American,F,0.25
Female,61.0,0.0,Caucasian,M,0.769
Male,28.9,19.2,Caucasian,M,0.719
Male,24.8,8.2,Caucasian,F,0.362
Male,18.0,34.3,Caucasian,F,0.329
Female,25.1,38.0,African-American,F,0.239
Male,38.3,19.5,Caucasian,F,0.345
Male,63.4,38.0,Caucasian,F,0.318
Female,18.0,5.4,Caucasian,M,0.752
Male,39.6,0.0,African-American,M,0.803
Female,80.0,1.7,Caucasian,M,0.769
Male,33.8,15.4,African-American,M,0.785
Male,58.9,26.1,Caucasian,M,0.73
Male,39.1,1.1,Caucasian,F,0.368
Female,21.4,25.7,African-American,F,0.269
Female,62.2,18.3,African-American,F,0.274
Female,39.1,34.8,African-American,F,0.244
Male,18.0,2.2,Caucasian,M,0.723
Male,49.2,0.0,African-American,M,0.804
Female,80.0,1.0,Caucasian,M,0.769
Female,33.2,12.1,Caucasian,M,0.754
Male,32.5,28.4,Caucasian,M,0.716
Male,25.5,1.0,Caucasian,F,0.37
Female,49.3,15.6,African-American,F,0.28
Female,19.4,26.1,African-American,F,0.269
Male,18.0,2.6,Caucasian,M,0.723
Male,49.0,0.0,African-American,M,0.804
Female,34.7,12.1,Caucasian,M,0.754
Male,23.3,2.0,Caucasian,F,0.37
Female,48.6,15.8,African-American,F,0.279
Female,18.6,26.4,African-American,F,0.269
Female,80.0,29.6,African-American,F,0.255
Female,33.8,0.0,African-American,M,0.694
Male,62.0,0.0,African-American,M,0.805
Male,22.6,18.1,African-American,M,0.771
Female,56.2,8.5,African-American,F,0.294
Female,18.6,15.4,African-American,F,0.292
Female,62.4,29.9,African-American,F,0.254
Female,29.2,25.5,African-American,F,0.265
Female,57.3,0.0,Caucasian,M,0.768
Male,41.3,0.0,African-American,M,0.803
Male,53.9,19.1,Caucasian,M,0.731
Male,18.0,12.1,African-American,F,0.367
Female,33.4,21.4,African-American,F,0.271
Female,75.7,23.0,African-American,F,0.267
Female,80.0,36.8,African-American,F,0.241
Male,80.0,0.6,African-American,M,0.805
Male,36.2,5.1,African-American,M,0.797
Female,18.0,16.3,African-American,M,0.681
Male,26.1,33.6,African-American,M,0.748
Male,18.0,3.1,African-American,F,0.38
Female,21.1,25.7,African-American,F,0.269
Female,31.0,38.0,African-American,F,0.238
Male,39.1,15.4,Caucasian,F,0.35
Female,80.0,27.4,African-American,F,0.259
Male,37.7,0.0,African-American,M,0.802
Female,56.6,0.0,Caucasian,M,0.768
Male,41.0,19.6,Caucasian,M,0.725
Male,21.3,2.0,Caucasian,F,0.37
Female,47.4,15.5,African-American,F,0.28
Female,18.5,26.4,African-American,F,0.269
Female,29.1,38.0,African-American,F,0.238
Female,80.0,29.2,African-American,F,0.255
Male,42.6,2.0,Caucasian,F,0.366
Male,43.9,18.3,Caucasian,F,0.35
Male,33.4,33.5,Caucasian,F,0.322
Female,44.1,38.0,African-American,F,0.237
Male,78.6,38.0,Caucasian,F,0.324
Female,59.1,0.0,African-American,M,0.685
Male,58.8,19.8,Caucasian,M,0.733
Male,18.0,2.9,Caucasian,F,0.37
Male,28.4,25.0,Caucasian,F,0.341
Female,18.0,31.6,African-American,F,0.257
Male,40.1,12.2,Caucasian,F,0.354
Male,53.9,38.0,Caucasian,F,0.315
Male,32.0,4.0,Caucasian,F,0.365
Female,63.1,19.1,African-American,F,0.273
Female,19.8,26.1,African-American,F,0.269
Female,32.0,36.4,African-American,F,0.241
Male,30.0,2.1,Caucasian,F,0.368
Female,61.8,18.3,African-American,F,0.274
Female,20.6,25.8,African-American,F,0.269
Female,30.1,37.0,African-American,F,0.24
Male,18.0,3.4,Caucasian,M,0.723
Female,33.2,0.0,African-American,M,0.694
Male,53.1,6.5,African-American,M,0.798
Female,55.0,16.4,Caucasian,M,0.757
Male,76.7,26.1,African-American,M,0.769
Male,23.1,2.0,Caucasian,F,0.37
Female,18.8,26.5,African-American,F,0.269
Female,34.0,4.0,African-American,M,0.69
Male,47.7,8.8,African-American,M,0.795
Male,61.4,20.5,African-American,M,0.781
Male,79.7,35.0,African-American,M,0.755
Male,18.0,1.0,African-American,F,0.383
Male,24.7,17.0,African-American,F,0.362
Female,18.0,26.6,African-American,F,0.269
Female,25.9,38.0,African-American,F,0.239
Female,80.0,35.4,African-American,F,0.244
Female,34.1,0.0,Caucasian,M,0.761
Male,63.3,0.0,African-American,M,0.805
Female,44.0,19.5,Caucasian,M,0.752
Male,19.5,4.4,African-American,F,0.379
Female,51.8,17.1,African-American,F,0.277
Female,80.0,30.8,African-American,F,0.252
Male,32.3,0.0,African-American,M,0.801
Male,31.8,19.4,Caucasian,M,0.721
Male,18.0,8.2,African-American,M,0.783
Male,30.6,0.0,Caucasian,M,0.731
Female,65.0,0.0,Caucasian,M,0.77
Male,73.3,11.9,Caucasian,M,0.744
Male,80.0,27.9,African-American,M,0.766
Male,30.0,8.2,Caucasian,F,0.361
Male,36.6,25.1,Caucasian,F,0.339
Male,75.3,1.0,Caucasian,F,0.369
Male,64.3,38.0,Caucasian,F,0.318
Female,42.2,6.7,Caucasian,M,0.76
Male,48.1,12.2,African-American,M,0.792
Female,72.2,17.1,Caucasian,M,0.761
Female,80.0,34.2,Caucasian,M,0.745
Male,40.9,9.0,Caucasian,F,0.358
Female,30.0,18.3,African-American,F,0.279
Female,69.6,22.5,African-American,F,0.267
Female,18.0,33.5,African-American,F,0.251
Male,18.0,2.1,African-American,M,0.793
Male,80.0,0.9,African-American,M,0.805
Male,36.5,15.0,African-American,M,0.787
Male,28.9,33.6,African-American,M,0.751
Male,18.0,3.0,Caucasian,F,0.369
Male,28.3,25.0,Caucasian,F,0.341
Male,40.0,12.2,Caucasian,F,0.354
Male,54.0,38.0,Caucasian,F,0.315
Female,34.1,11.8,Caucasian,M,0.754
Male,47.9,0.0,Caucasian,M,0.738
Female,80.0,0.0,African-American,M,0.671
Female,37.2,29.6,Caucasian,M,0.736
Male,18.0,8.2,African-American,F,0.373
Female,43.0,17.3,African-American,F,0.277
Female,19.6,31.7,African-American,F,0.256
Female,77.1,22.4,African-American,F,0.269
Male,34.1,4.0,Caucasian,F,0.365
Female,62.5,18.7,African-American,F,0.274
Female,20.8,25.8,African-American,F,0.269
Female,34.0,36.0,African-American,F,0.242
Male,30.4,0.0,African-American,M,0.8
Female,62.5,0.0,Caucasian,M,0.769
Male,27.3,20.1,African-American,M,0.772
Male,43.1,0.0,Caucasian,F,0.368
Female,60.5,16.3,African-American,F,0.278
Female,24.4,24.8,African-American,F,0.269
Female,49.5,32.7,African-American,F,0.25
Female,34.9,0.0,Caucasian,M,0.761
Female,61.2,0.0,African-American,M,0.684
Male,51.3,18.2,Caucasian,M,0.73
Male,29.1,5.0,Caucasian,F,0.365
Female,62.6,19.4,African-American,F,0.272
Female,19.1,26.4,African-American,F,0.269
Female,28.9,36.8,African-American,F,0.241
Male,30.9,0.0,African-American,M,0.801
Female,62.2,0.0,Caucasian,M,0.769
Male,24.2,18.7,Caucasian,M,0.718
Male,25.9,2.0,Caucasian,F,0.369
Male,39.8,14.1,Caucasian,F,0.352
Male,65.9,38.0,Caucasian,F,0.318
Female,38.7,22.8,African-American,F,0.267
Female,58.1,0.0,African-American,M,0.686
Male,31.8,0.0,Caucasian,M,0.731
