status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A61,unemployed,1.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.026
... < 0 DM,11.0,critical account/ other credits existing (not at this bank),others,708.0,A64,4 <= ... < 7 years,1.0,male : single,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.182
no checking account,27.0,critical account/ other credits existing (not at this bank),repairs,5259.0,A62,unemployed,2.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,34.0,bank,own,2.0,skilled employee / official,1.0,none,yes,0.146
no checking account,47.0,no credits taken/ all credits paid back duly,car (used),11089.0,A61,4 <= ... < 7 years,3.0,male : married/widowed,none,3.0,if not A121 : building society savings agreement/ life insurance,52.0,stores,own,2.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.123
... >= 200 DM / salary assignments for at least 1 year,60.0,critical account/ other credits existing (not at this bank),car (new),15945.0,A61,4 <= ... < 7 years,4.0,male : single,co-applicant,4.0,real estate,75.0,bank,own,4.0,unskilled - resident,2.0,none,no,0.063
... < 0 DM,4.0,delay in paying off in the past,business,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.851
0 <= ... < 200 DM,4.0,delay in paying off in the past,education,276.0,A65,4 <= ... < 7 years,4.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",24.0,none,for free,1.0,skilled employee / official,1.0,none,no,0.857
0 <= ... < 200 DM,18.0,all credits at this bank paid back duly,car (new),2966.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,59.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.871
... < 0 DM,39.0,delay in paying off in the past,furniture/equipment,8107.0,A65,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.82
0 <= ... < 200 DM,60.0,delay in paying off in the past,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.856
... < 0 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,real estate,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.015
... >= 200 DM / salary assignments for at least 1 year,7.0,critical account/ other credits existing (not at this bank),business,1436.0,A61,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,unknown / no property,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.204
no checking account,23.0,delay in paying off in the past,radio/television,5204.0,A65,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,1.0,real estate,28.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.059
0 <= ... < 200 DM,42.0,existing credits paid back duly till now,car (used),10117.0,A65,1 <= ... < 4 years,3.0,male : married/widowed,co-applicant,1.0,unknown / no property,47.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.119
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A62,1 <= ... < 4 years,4.0,male : married/widowed,none,4.0,real estate,75.0,bank,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.036
... < 0 DM,11.0,no credits taken/ all credits paid back duly,radio/television,2202.0,A62,.. >= 7 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",yes,0.026
no checking account,4.0,critical account/ other credits existing (not at this bank),business,276.0,A61,unemployed,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",31.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.1
no checking account,29.0,critical account/ other credits existing (not at this bank),business,7107.0,A61,unemployed,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",59.0,stores,own,3.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.1
no checking account,60.0,existing credits paid back duly till now,business,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.247
... >= 200 DM / salary assignments for at least 1 year,48.0,critical account/ other credits existing (not at this bank),business,12248.0,A61,unemployed,3.0,male : married/widowed,co-applicant,4.0,unknown / no property,73.0,bank,own,2.0,unskilled - resident,2.0,none,no,0.027
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : divorced/separated,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.067
... < 0 DM,7.0,critical account/ other credits existing (not at this bank),domestic appliances,276.0,A63,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.246
... < 0 DM,30.0,existing credits paid back duly till now,car (used),6552.0,A62,1 <= ... < 4 years,3.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.043
... >= 200 DM / salary assignments for at least 1 year,48.0,existing credits paid back duly till now,domestic appliances,10781.0,A65,unemployed,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",47.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.134
... < 0 DM,60.0,critical account/ other credits existing (not at this bank),domestic appliances,15945.0,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,75.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.068
... < 0 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,male : married/widowed,guarantor,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.028
... >= 200 DM / salary assignments for at least 1 year,6.0,critical account/ other credits existing (not at this bank),radio/television,642.0,A61,.. >= 7 years,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.273
no checking account,26.0,no credits taken/ all credits paid back duly,radio/television,8165.0,A62,unemployed,1.0,male : single,co-applicant,2.0,if not A121 : building society savings agreement/ life insurance,19.0,bank,rent,1.0,skilled employee / official,2.0,none,yes,0.073
no checking account,41.0,existing credits paid back duly till now,car (used),10646.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,none,3.0,"if not A121/A122 : car or other, not in attribute 6",45.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.284
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,radio/television,15945.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,unknown / no property,75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.036
no checking account,4.0,critical account/ other credits existing (not at this bank),radio/television,276.0,A63,1 <= ... < 4 years,1.0,male : single,none,1.0,real estate,19.0,bank,own,1.0,skilled employee / official,2.0,none,yes,0.09
... < 0 DM,32.0,all credits at this bank paid back duly,others,5587.0,A64,.. >= 7 years,1.0,male : single,guarantor,1.0,unknown / no property,21.0,bank,for free,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.182
no checking account,48.0,no credits taken/ all credits paid back duly,business,10126.0,A62,1 <= ... < 4 years,2.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,40.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.052
no checking account,60.0,critical account/ other credits existing (not at this bank),car (new),15746.0,A63,unemployed,3.0,male : married/widowed,none,3.0,real estate,56.0,bank,for free,1.0,skilled employee / official,2.0,none,yes,0.193
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,others,15945.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,75.0,bank,own,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.092
no checking account,5.0,delay in paying off in the past,car (new),276.0,A64,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,22.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.742
... < 0 DM,4.0,existing credits paid back duly till now,education,276.0,A65,1 <= ... < 4 years,3.0,female : divorced/separated/married,guarantor,3.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.786
no checking account,26.0,existing credits paid back duly till now,retraining,4243.0,A63,4 <= ... < 7 years,3.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",31.0,bank,for free,4.0,unskilled - resident,1.0,none,yes,0.819
... < 0 DM,40.0,all credits at this bank paid back duly,furniture/equipment,8905.0,A64,... < 1 year,4.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.796
no checking account,60.0,existing credits paid back duly till now,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.838
