employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,loan_status
0.0,2.0,4080.0,B,3.0,debt,RENT,FL,0.462
0.0,14.0,4080.0,B,3.0,small_business,RENT,FL,0.46
0.0,2.0,139266.8,C,3.0,debt,OTHER,TN,0.383
0.0,2.0,359102.2,B,3.0,small_business,RENT,FL,0.433
0.0,2.0,734930.8,B,3.0,small_business,RENT,FL,0.434
0.0,2.0,4080.0,A,3.0,small_business,OWN,TN,0.481
0.0,2.0,78946.8,C,3.0,debt,OTHER,TN,0.382
0.0,2.0,326871.3,C,3.0,debt,OTHER,TN,0.386
0.0,2.0,656646.3,C,3.0,debt,OTHER,TN,0.391
0.0,2.0,4080.0,B,3.0,small_business,RENT,FL,0.432
0.0,19.0,4080.0,B,3.0,small_business,RENT,FL,0.472
0.0,2.0,266981.2,B,3.0,small_business,RENT,FL,0.432
0.0,2.0,563466.7,B,3.0,small_business,RENT,FL,0.433
0.0,2.0,930928.1,B,3.0,small_business,RENT,FL,0.434
2.0,2.0,326599.0,A,3.0,educational,MORTGAGE,AK,0.996
9.0,8.0,4080.0,C,16.3,debt,RENT,NY,0.84
10.0,29.0,583801.0,C,42.1,debt,RENT,NY,0.878
10.0,11.0,1202992.6,C,19.5,debt,RENT,NY,0.855
10.0,31.0,1913642.0,C,45.3,debt,RENT,NY,0.885
0.0,2.0,4080.0,C,3.0,debt,OTHER,TN,0.381
0.0,32.0,4080.0,C,3.0,debt,OTHER,TN,0.402
0.0,2.0,202068.1,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,440333.4,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,766945.2,C,3.0,debt,OTHER,TN,0.393
0.0,2.0,329306.0,A,3.0,educational,MORTGAGE,TX,0.997
0.0,2.0,4080.0,B,35.4,debt,OWN,TX,0.875
0.0,23.0,603774.2,B,57.1,debt,OWN,TX,0.91
3.0,4.0,1201579.8,B,37.4,debt,OWN,TX,0.889
5.0,25.0,1937346.2,B,51.3,debt,OWN,TX,0.915
0.0,2.0,335356.2,A,3.0,educational,MORTGAGE,AK,0.995
6.0,13.0,4080.0,C,11.3,debt,RENT,WA,0.793
10.0,32.0,587972.6,C,35.8,debt,RENT,WA,0.863
6.0,14.0,1202638.1,C,13.1,debt,RENT,WA,0.79
9.0,34.0,1901959.6,C,38.9,debt,RENT,WA,0.858
0.0,31.0,4080.0,C,3.0,debt,OTHER,TN,0.401
0.0,2.0,200481.7,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,444832.1,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,767519.6,C,3.0,debt,OTHER,TN,0.393
0.0,2.0,203607.1,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,443007.4,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,764404.0,C,3.0,debt,OTHER,TN,0.393
0.0,2.0,298203.8,A,3.0,small_business,OWN,TN,0.486
0.0,2.0,176125.1,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,473859.4,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,810601.2,C,3.0,debt,OTHER,TN,0.394
0.0,2.0,202335.1,C,3.0,debt,OTHER,TN,0.384
0.0,2.0,442795.4,C,3.0,debt,OTHER,TN,0.388
0.0,2.0,766125.7,C,3.0,debt,OTHER,TN,0.393
0.0,3.0,330651.9,A,3.0,debt,MORTGAGE,AK,0.953
8.0,2.0,4080.0,D,17.6,purchase,RENT,MO,0.937
10.0,21.0,659938.9,D,34.3,purchase,RENT,MO,0.952
4.0,4.0,1243466.9,D,3.0,purchase,RENT,MO,0.906
9.0,24.0,1904341.2,D,37.7,purchase,RENT,MO,0.949
0.0,2.0,266943.9,B,3.0,small_business,RENT,FL,0.432
0.0,2.0,560919.0,B,3.0,small_business,RENT,FL,0.433
0.0,2.0,929064.2,B,3.0,small_business,RENT,FL,0.434
0.0,4.0,331498.5,B,3.0,educational,MORTGAGE,AK,0.995
10.0,2.0,4080.0,A,15.1,debt,RENT,NY,0.852
10.0,24.0,641956.2,A,33.7,debt,RENT,NY,0.866
10.0,6.0,1237939.8,A,3.0,debt,RENT,NY,0.837
10.0,26.0,1917725.4,A,36.8,debt,RENT,NY,0.864
