age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
77,Other/Unknown,Some-college,Separated,White-Collar,Other,Male,35,0.776
