dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
adult-income,sklearn,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.7777777777777778,1.3733333333333335,-0.8400000000000001,0.6
adult-income,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.7999999999999999,3.9266666666666667,-2.5177777777777774,0.2333333333333333
adult-income,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.888888888888889,0.3066666666666667,-0.24,0.7000000000000001
adult-income,sklearn,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7555555555555555,1.392222222222222,-0.7527777777777778,0.5833333333333334
adult-income,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.8222222222222222,2.651111111111111,-1.4733333333333336,0.4166666666666667
adult-income,sklearn,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.8666666666666668,1.6155555555555559,-1.488888888888889,0.4666666666666667
adult-income,sklearn,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.7555555555555555,0.13111111111111112,-0.07222222222222222,0.8
adult-income,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.888888888888889,0.9111111111111111,-0.5922222222222222,0.6333333333333334
adult-income,sklearn,DiCE-Ext,0.23612399244412613,6.0970252974914345,1.1986281799901182,0.7777777777777778,3.826666666666667,-2.9844444444444447,0.2666666666666667
adult-income,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,0.7148510793512985,0.8666666666666666,1.4666666666666666,-0.9233333333333335,0.5333333333333334
adult-income,sklearn,DiCE-Ext,4.325432427964557,5.265761277157429,0.10325337616482036,0.9555555555555555,0.8133333333333332,-0.4166666666666667,0.6666666666666667
adult-income,sklearn,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.8222222222222222,3.766666666666667,-2.516666666666667,0.16666666666666669
adult-income,sklearn,DiCE-Ext,0.17367237151593162,0.20513382630874505,0.11851515660043109,0.6888888888888889,0.19999999999999998,-0.11777777777777779,0.7
adult-income,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,1.0968217207529523,0.888888888888889,3.486666666666667,-2.6977777777777776,0.13333333333333336
adult-income,sklearn,DiCE-Ext,1.05073840241814,0.6836314065022723,0.12675278269816292,0.8222222222222222,1.1622222222222223,-0.6677777777777777,0.5666666666666668
adult-income,sklearn,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.8,1.4177777777777778,-0.8099999999999999,0.5
adult-income,sklearn,DiCE-Ext,2.2093834415066285,3.336101309469785,2.3359635026261603,0.9333333333333333,1.308888888888889,-1.4377777777777776,0.23333333333333334
adult-income,sklearn,DiCE-Ext,2.2653156413948867,0.10793832090127276,3.244160088734161,0.8444444444444444,3.1066666666666665,-2.07,0.36666666666666664
adult-income,sklearn,DiCE-Ext,1.9513967655934459,5.948746813219773,0.27810936979265544,0.8666666666666666,1.6133333333333333,-1.0222222222222226,0.4666666666666667
adult-income,sklearn,DiCE-Ext,0.4253162363790871,0.22321987366901574,2.4092145436664776,0.888888888888889,3.1399999999999997,-2.0244444444444443,0.33333333333333337
adult-income,sklearn,DiCE-Ext,0.5935682912014686,7.472397689332939,0.14063366777718173,0.7777777777777778,1.5822222222222222,-0.8911111111111112,0.6000000000000001
adult-income,sklearn,DiCE-Ext,1.3260331922696553,0.4809862951501386,1.8742210985555698,0.888888888888889,2.062222222222222,-1.2044444444444444,0.33333333333333337
adult-income,sklearn,DiCE-Ext,0.5170191786366992,1.2894414393074187,1.1463075602214001,0.9111111111111111,2.6022222222222227,-1.6666666666666667,0.4
adult-income,sklearn,DiCE-Ext,3.6287002255540686,0.6618595597183481,3.244160088734161,0.8444444444444443,4.093333333333334,-2.962222222222222,0.2
adult-income,sklearn,DiCE-Ext,1.923372012887718,0.147326180595002,0.14096175149815865,0.888888888888889,0.6955555555555556,-0.45444444444444443,0.7
adult-income,sklearn,DiCE-Ext,1.3260331922696553,4.02155452669029,0.10432637161302089,0.8444444444444444,0.27999999999999997,-0.15,0.8
adult-income,sklearn,DiCE-Ext,0.28089151398126255,0.6836314065022723,0.12675278269816292,0.8666666666666666,0.8511111111111112,-0.5322222222222222,0.6333333333333334
adult-income,sklearn,DiCE-Ext,0.37126241790405323,2.656797431288617,0.14096175149815865,0.888888888888889,0.24888888888888894,-0.14777777777777779,0.6666666666666667
adult-income,sklearn,DiCE-Ext,0.29819350171149356,0.1883830778761975,0.4475065500006153,0.711111111111111,3.253333333333333,-2.1399999999999997,0.13333333333333333
adult-income,sklearn,DiCE-Ext,0.15393931002140857,1.5304852121831465,0.14096175149815865,0.888888888888889,1.9977777777777779,-1.718888888888889,0.4333333333333334
adult-income,sklearn,DiCE-Ext,0.4187594718900627,1.5304852121831465,2.878805718308924,0.9111111111111111,3.266666666666667,-2.6222222222222222,0.16666666666666669
adult-income,sklearn,DiCE-Ext,0.4430021806767983,0.10793832090127276,3.244160088734161,0.9555555555555555,2.993333333333333,-1.78,0.33333333333333337
adult-income,sklearn,DiCE-Ext,1.0572705046816888,0.38234752246751863,1.8742210985555698,0.9333333333333332,1.6888888888888889,-1.7577777777777779,0.2333333333333333
adult-income,sklearn,DiCE-Ext,1.829267641174572,0.47340227734041923,0.14063366777718173,0.8444444444444443,0.45777777777777773,-0.24222222222222217,0.6000000000000001
adult-income,sklearn,DiCE-Ext,1.0122183035228776,1.424976719890158,0.9661295989662239,0.8444444444444444,2.8822222222222225,-1.7711111111111113,0.4
adult-income,sklearn,DiCE-Ext,1.05073840241814,0.36437177217846695,0.12675278269816292,0.888888888888889,0.6599999999999999,-0.33999999999999997,0.7
adult-income,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.8666666666666666,0.08666666666666667,-0.05333333333333333,0.8
adult-income,sklearn,DiCE-Ext,0.3880590213919321,1.090388452320111,0.1515582353959761,0.888888888888889,0.9355555555555555,-0.5833333333333333,0.5
adult-income,sklearn,DiCE-Ext,2.2653156413948867,0.11557352816269865,0.10432637161302089,0.9111111111111111,0.6000000000000001,-0.3966666666666667,0.7333333333333334
adult-income,sklearn,DiCE-Ext,0.5891087281171028,0.1883830778761975,0.4475065500006153,0.8666666666666668,3.322222222222223,-2.186666666666667,0.33333333333333337
adult-income,sklearn,DiCE-Ext,1.3260331922696553,0.147326180595002,0.14096175149815865,0.8666666666666666,1.551111111111111,-0.8633333333333335,0.5
adult-income,sklearn,DiCE-Ext,1.0677482709481354,0.6836314065022723,0.12675278269816292,0.8666666666666666,0.4066666666666666,-0.21333333333333332,0.7333333333333334
adult-income,sklearn,DiCE-Ext,1.1103647313054623,0.19061980918553992,0.15353434324857035,0.8666666666666666,1.708888888888889,-1.0277777777777777,0.5
adult-income,sklearn,DiCE-Ext,1.088076184591764,6.0970252974914345,1.8742210985555698,0.7999999999999999,3.3977777777777773,-2.647777777777778,0.2666666666666667
adult-income,sklearn,DiCE-Ext,5.685205190332095,3.0306601291651867,0.1349283426801325,0.888888888888889,1.3466666666666667,-0.8477777777777777,0.6333333333333334
adult-income,sklearn,DiCE-Ext,0.5235791002299297,0.6836314065022723,0.12675278269816292,0.888888888888889,1.077777777777778,-0.6022222222222223,0.7000000000000001
adult-income,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,1.0968217207529523,0.8222222222222222,2.2377777777777776,-1.2233333333333334,0.5333333333333334
adult-income,sklearn,DiCE-Ext,0.24658447214487378,0.6618595597183481,0.14096175149815865,0.7333333333333333,0.48888888888888893,-0.2544444444444444,0.7333333333333334
adult-income,sklearn,DiCE-Ext,4.156447611486068,4.170871302599373,5.42181428097565,0.9333333333333332,1.6333333333333333,-1.411111111111111,0.2666666666666667
adult-income,sklearn,DiCE-Ext,1.0677482709481354,0.10793832090127276,6.7062710903674665,0.8666666666666666,3.4844444444444442,-2.566666666666667,0.13333333333333336
adult-income,sklearn,DiCE-Ext,1.05073840241814,1.0070072316456573,0.12675278269816292,0.9111111111111111,1.3333333333333335,-0.6933333333333334,0.6
adult-income,sklearn,DiCE-Ext,0.15393931002140857,3.949938719735898,0.14096175149815865,0.7777777777777777,0.7844444444444445,-0.4022222222222222,0.6666666666666667
adult-income,sklearn,DiCE-Ext,1.994930919631834,0.6618595597183481,2.5347419619497633,0.8666666666666666,2.38,-1.4777777777777776,0.4
adult-income,sklearn,DiCE-Ext,0.5170191786366992,0.5638530127559434,0.1541572234890904,0.8666666666666666,1.6,-0.9766666666666668,0.6
adult-income,sklearn,DiCE-Ext,1.3260331922696553,0.6836314065022723,0.10432637161302089,0.8444444444444443,0.32666666666666666,-0.17666666666666667,0.7666666666666667
