dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
adult-income,sklearn,DiCE,0.10994335574766201,8.706020878304859,0.0,0.8666666666666668,0.26666666666666666,-0.13333333333333333,0.9333333333333333
adult-income,sklearn,DiCE,0.23102018878452935,0.2327067708383781,0.0,0.9555555555555555,0.013333333333333332,-0.010000000000000002,0.9333333333333333
adult-income,sklearn,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.9222222222222222,0.0,0.0,1.0
adult-income,sklearn,DiCE,1.6738085788752133,0.19010245319870356,0.0,0.9333333333333332,0.006666666666666666,-0.003333333333333333,0.9666666666666668
adult-income,sklearn,DiCE,0.1349283426801325,7.902619549708233,0.0,0.8666666666666666,0.2733333333333333,-0.13666666666666666,0.9
adult-income,sklearn,DiCE,0.4066563313514795,0.1567993391672301,0.0,0.888888888888889,0.23666666666666666,-0.11833333333333333,0.9166666666666667
adult-income,sklearn,DiCE,0.17541893487450796,0.978033701665941,0.0,0.9555555555555555,0.23333333333333334,-0.11666666666666667,0.9333333333333333
adult-income,sklearn,DiCE,0.3292759134423616,2.113705944064573,0.0,0.8666666666666666,0.21333333333333332,-0.10666666666666666,0.9666666666666668
adult-income,sklearn,DiCE,0.12315571723666023,0.4473636174621265,0.0,0.8444444444444443,0.36666666666666664,-0.18666666666666668,0.8833333333333334
adult-income,sklearn,DiCE,0.3646439558980721,1.2172847081122433,0.0,0.8444444444444444,0.25333333333333335,-0.13,0.8666666666666666
adult-income,sklearn,DiCE,6.533305220227734,0.31519872951938893,0.0,0.9333333333333332,0.006666666666666666,-0.003333333333333333,0.9666666666666668
adult-income,sklearn,DiCE,3.244160088734161,1.0968217207529523,0.0,0.8666666666666666,0.09333333333333334,-0.04666666666666667,0.9333333333333333
adult-income,sklearn,DiCE,7.234279845665419,4.132765459466365,0.0,0.9111111111111111,0.15333333333333335,-0.08,0.9
adult-income,sklearn,DiCE,1.5930522616241019,0.1659983797444922,0.0,1.0,0.01,-0.005,0.95
adult-income,sklearn,DiCE,0.7148510793512985,4.325432427964557,0.0,0.9555555555555555,0.026666666666666665,-0.016666666666666666,0.9333333333333333
adult-income,sklearn,DiCE,0.3646439558980721,0.6836314065022723,0.0,0.9333333333333332,0.039999999999999994,-0.019999999999999997,0.9666666666666668
adult-income,sklearn,DiCE,3.3233042062267937,2.113705944064573,0.0,0.9333333333333333,0.22666666666666666,-0.11333333333333333,0.9666666666666668
adult-income,sklearn,DiCE,0.17541893487450796,0.978033701665941,0.0,0.9111111111111111,0.1511111111111111,-0.07555555555555556,0.9333333333333333
adult-income,sklearn,DiCE,0.31883397351001874,0.9874088417386248,0.0,0.9333333333333332,0.2733333333333333,-0.13999999999999999,0.9
adult-income,sklearn,DiCE,0.39972068191218074,0.37126241790405323,0.0,0.8444444444444443,0.24666666666666667,-0.12666666666666665,0.9
adult-income,sklearn,DiCE,0.1349283426801325,7.902619549708233,0.0,0.9444444444444444,0.31,-0.15833333333333333,0.8833333333333334
adult-income,sklearn,DiCE,0.19489008462344254,0.9525889086580772,0.0,0.9555555555555555,0.24,-0.15666666666666668,0.8666666666666668
adult-income,sklearn,DiCE,5.265761277157429,9.360540102485377,0.0,0.9222222222222222,0.0,0.0,1.0
adult-income,sklearn,DiCE,3.3233042062267937,1.3260331922696553,0.0,0.9111111111111111,0.2533333333333333,-0.13,0.9
adult-income,sklearn,DiCE,2.9106359131330697,4.683871708118729,0.0,0.9111111111111111,0.020000000000000004,-0.013333333333333332,0.9333333333333333
adult-income,sklearn,DiCE,0.28681134821030074,0.4380867619725788,0.0,0.8444444444444444,0.24,-0.12,0.9333333333333333
adult-income,sklearn,DiCE,1.519798062003422,4.132765459466365,0.0,0.9777777777777779,0.02,-0.013333333333333336,0.9
adult-income,sklearn,DiCE,1.9513967655934459,4.274869455295218,0.0,0.8222222222222222,0.08444444444444445,-0.042222222222222223,0.9333333333333333
adult-income,sklearn,DiCE,0.3280071082578535,2.089142634385645,0.0,0.9111111111111111,0.2533333333333333,-0.13,0.9
adult-income,sklearn,DiCE,4.309673808203455,1.2894414393074187,0.0,0.8444444444444443,0.04666666666666666,-0.02333333333333333,0.9333333333333333
adult-income,sklearn,DiCE,6.229189113188561,0.1659983797444922,0.0,0.888888888888889,0.06,-0.03,0.95
adult-income,sklearn,DiCE,5.945287330479987,0.17050539260269293,0.0,0.7999999999999999,0.013333333333333332,-0.006666666666666666,0.9666666666666668
adult-income,sklearn,DiCE,1.2516058337570368,0.9874088417386248,0.0,0.9111111111111111,0.2533333333333333,-0.13,0.9
adult-income,sklearn,DiCE,0.28089151398126255,2.113705944064573,0.0,0.9111111111111111,0.013333333333333332,-0.006666666666666666,0.9333333333333333
adult-income,sklearn,DiCE,0.420167205437253,2.0664542018650076,0.0,0.8555555555555555,0.01666666666666667,-0.008333333333333335,0.9166666666666666
adult-income,sklearn,DiCE,0.4430021806767983,0.9718319944817401,0.0,0.9333333333333332,0.3088888888888889,-0.15444444444444444,0.9
adult-income,sklearn,DiCE,7.06947619721799,0.36437177217846695,0.0,0.9111111111111111,0.2533333333333333,-0.13,0.9
adult-income,sklearn,DiCE,0.5499426480345608,0.31519872951938893,0.0,0.9111111111111111,0.24,-0.12333333333333334,0.9
