dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.9111111111111111,2.4764285714285714,-3.448690476190476,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.9111111111111111,2.5757142857142856,-3.5416666666666665,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.9111111111111111,3.466428571428571,-3.694166666666667,0.0
compas-recidivism,PYT,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.9111111111111111,2.440238095238095,-3.456309523809524,0.0
compas-recidivism,PYT,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.9111111111111111,2.558095238095238,-3.5252380952380946,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.9111111111111111,2.6028571428571428,-3.5840476190476194,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.9111111111111111,2.4771428571428573,-3.4352380952380956,0.0
compas-recidivism,PYT,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.9111111111111111,2.4557142857142855,-3.453809523809524,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.9111111111111111,2.446190476190476,-3.522619047619048,0.0
compas-recidivism,PYT,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.9111111111111111,2.4285714285714284,-3.418333333333333,0.05
compas-recidivism,PYT,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.9111111111111111,3.4233333333333333,-3.8038095238095244,0.0
compas-recidivism,PYT,DiCE-Ext,0.4066563313514795,0.1567993391672301,2.3359635026261603,0.8444444444444444,2.6214285714285714,-3.4607142857142863,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.7591104805282696,0.17541893487450796,0.978033701665941,0.9111111111111111,2.5154761904761904,-3.572976190476191,0.0
compas-recidivism,PYT,DiCE-Ext,0.1171593739230706,6.586289317583113,0.3292759134423616,0.9111111111111111,2.402619047619048,-3.4420238095238096,0.0
compas-recidivism,PYT,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.9111111111111111,2.553571428571428,-3.5667857142857144,0.0
compas-recidivism,PYT,DiCE-Ext,1.2399967836846095,0.23426581058204046,8.692991511139551,0.9111111111111111,3.4580952380952383,-3.69,0.0
compas-recidivism,PYT,DiCE-Ext,3.5503048581283085,7.56829206016762,6.161049539380966,0.9333333333333332,3.406666666666667,-3.7714285714285714,0.0
compas-recidivism,PYT,DiCE-Ext,1.5696396388661147,6.978281265126034,0.15030900645056822,0.9111111111111111,2.4642857142857144,-3.470238095238095,0.0
compas-recidivism,PYT,DiCE-Ext,0.24658447214487378,0.12315571723666023,0.4473636174621265,0.9111111111111111,2.4371428571428573,-3.4804761904761903,0.0
compas-recidivism,PYT,DiCE-Ext,0.59890036722543,0.34889766548903667,4.544383960336017,0.9111111111111111,3.3771428571428563,-3.7385714285714284,0.0
compas-recidivism,PYT,DiCE-Ext,0.5170191786366992,0.3646439558980721,1.2172847081122433,0.9111111111111111,2.512142857142857,-3.5370238095238102,0.0
compas-recidivism,PYT,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.9111111111111111,2.4523809523809526,-3.445952380952381,0.0
compas-recidivism,PYT,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.9111111111111111,2.621904761904762,-3.5707142857142857,0.0
compas-recidivism,PYT,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.9111111111111111,2.3902380952380953,-3.424166666666667,0.0
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.9333333333333332,3.396190476190476,-3.7061904761904763,0.05
compas-recidivism,PYT,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.9111111111111111,2.418571428571428,-3.4711904761904764,0.0
compas-recidivism,PYT,DiCE-Ext,0.4187594718900627,0.447060854677849,2.878805718308924,0.9111111111111111,2.579047619047619,-3.6214285714285714,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,1.8841476921545086,5.948746813219773,0.8798929749689022,0.9111111111111111,2.5609523809523806,-3.519761904761905,0.0
compas-recidivism,PYT,DiCE-Ext,0.17345566642360938,2.6698666742744606,3.3233042062267937,0.9111111111111111,3.785476190476191,-3.4174999999999995,0.0
compas-recidivism,PYT,DiCE-Ext,1.3260331922696553,3.482846706526884,0.9718319944817401,0.9111111111111111,2.5228571428571427,-3.5333333333333337,0.0
compas-recidivism,PYT,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.9111111111111111,2.434761904761905,-3.447380952380952,0.05
compas-recidivism,PYT,DiCE-Ext,0.16435497475111327,0.11557352816269865,1.8742210985555698,0.9111111111111111,2.6090476190476193,-3.5116666666666667,0.0
compas-recidivism,PYT,DiCE-Ext,0.4253162363790871,1.0402587615883845,6.533305220227734,0.9111111111111111,3.388809523809524,-3.7186904761904755,0.0
compas-recidivism,PYT,DiCE-Ext,0.31519872951938893,0.6618595597183481,3.244160088734161,0.9111111111111111,3.8561904761904757,-3.4173809523809524,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,0.28681134821030074,0.14254757044027438,0.3797544798678416,0.9111111111111111,2.421904761904762,-3.4330952380952384,0.0
compas-recidivism,PYT,DiCE-Ext,0.21010799310103556,7.234279845665419,4.132765459466365,0.9111111111111111,3.93547619047619,-3.5010714285714286,0.0
compas-recidivism,PYT,DiCE-Ext,1.8484491720988625,5.532496914298507,4.048966222584674,0.9111111111111111,3.345,-3.774642857142857,0.0
compas-recidivism,PYT,DiCE-Ext,0.23612399244412613,6.0970252974914345,1.1986281799901182,0.9111111111111111,2.5533333333333332,-3.5342857142857143,0.0
compas-recidivism,PYT,DiCE-Ext,4.119839624605188,6.197015748809146,0.432520752538653,0.9111111111111111,2.4604761904761907,-3.4178571428571423,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.1659983797444922,0.28567374298471887,0.7148510793512985,0.9111111111111111,2.536904761904762,-3.5491666666666672,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,4.325432427964557,5.265761277157429,0.10325337616482036,0.9111111111111111,2.454761904761905,-3.453333333333334,0.0
compas-recidivism,PYT,DiCE-Ext,1.05073840241814,0.6836314065022723,0.27810936979265544,0.9111111111111111,2.4176190476190476,-3.4647619047619047,0.0
compas-recidivism,PYT,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.9111111111111111,3.341428571428571,-3.731666666666667,0.0
compas-recidivism,PYT,DiCE-Ext,0.4430021806767983,1.090388452320111,2.5470526233391175,0.9111111111111111,3.7509523809523806,-3.4850000000000003,0.0
compas-recidivism,PYT,DiCE-Ext,0.5336533066379611,8.781408196485978,8.411909465645724,0.9111111111111111,3.4542857142857146,-3.7323809523809524,0.0
compas-recidivism,PYT,DiCE-Ext,0.31883397351001874,0.9874088417386248,0.39972068191218074,0.9111111111111111,2.485952380952381,-3.45845238095238,0.0
compas-recidivism,PYT,DiCE-Ext,0.37126241790405323,0.7162786999897341,0.11241862095793062,0.9111111111111111,2.434761904761905,-3.447380952380952,0.05
compas-recidivism,PYT,DiCE-Ext,0.17367237151593162,0.20513382630874505,0.11851515660043109,0.9111111111111111,2.440714285714286,-3.467738095238096,0.05
compas-recidivism,PYT,DiCE-Ext,0.1659983797444922,0.28567374298471887,1.0968217207529523,0.9111111111111111,2.553571428571428,-3.5667857142857144,0.0
compas-recidivism,PYT,DiCE-Ext,0.59890036722543,1.6562605893335958,1.0124137770478638,0.9111111111111111,2.544761904761905,-3.5057142857142862,0.0
compas-recidivism,PYT,DiCE-Ext,1.05073840241814,0.6836314065022723,0.12675278269816292,0.9111111111111111,2.4259523809523813,-3.425119047619048,0.0
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,0.36082193273637864,6.554382343546285,0.9111111111111111,3.5552380952380958,-3.7942857142857136,0.0
compas-recidivism,PYT,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
