dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.9777777777777779,1.3090476190476192,-1.3316666666666666,0.2666666666666667
compas-recidivism,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.8444444444444443,1.2476190476190474,-0.7442857142857143,0.5333333333333334
compas-recidivism,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.9666666666666668,1.4461904761904762,-0.8811904761904762,0.6000000000000001
compas-recidivism,sklearn,DiCE-Ext,0.16435497475111327,0.11557352816269865,1.8742210985555698,0.9333333333333332,2.1704761904761907,-2.8588095238095237,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,1.8484491720988625,5.532496914298507,4.048966222584674,0.8222222222222222,3.655,-3.1127380952380954,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,4.325432427964557,5.265761277157429,0.10325337616482036,0.8777777777777779,1.6880952380952376,-1.2166666666666666,0.5333333333333334
compas-recidivism,sklearn,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.7638888888888888,3.1985119047619044,-3.5897321428571427,0.04166666666666666
compas-recidivism,sklearn,DiCE-Ext,0.37126241790405323,1.5304852121831465,0.1238513729886093,0.8333333333333333,1.8890476190476193,-1.3728571428571428,0.3666666666666667
compas-recidivism,sklearn,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.9444444444444444,1.7904761904761906,-1.888988095238095,0.08333333333333334
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,1.179096548677631,0.1515582353959761,0.9166666666666666,2.945833333333333,-1.7041666666666666,0.2916666666666667
compas-recidivism,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.9555555555555555,1.9785714285714284,-2.5816666666666666,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.8111111111111111,3.1211904761904763,-3.083690476190476,0.0
compas-recidivism,sklearn,DiCE-Ext,0.2105025824748385,1.5304852121831465,6.267702540388488,0.8666666666666668,3.22,-3.9035714285714285,0.0
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,0.17050539260269293,0.10432637161302089,0.9222222222222222,1.0745238095238094,-0.7091666666666667,0.5
compas-recidivism,sklearn,DiCE-Ext,0.30138649046798016,2.8308141496998047,0.10235832435175114,0.8333333333333333,1.1657738095238095,-0.5947916666666667,0.5833333333333334
compas-recidivism,sklearn,DiCE-Ext,0.1171593739230706,0.26587543983272705,0.3292759134423616,1.0,1.0004761904761907,-2.045238095238095,0.0
compas-recidivism,sklearn,DiCE-Ext,4.622589001020832,0.26587543983272705,0.14096175149815865,0.9722222222222222,1.3869047619047619,-1.0714285714285716,0.25
compas-recidivism,sklearn,DiCE-Ext,0.37126241790405323,0.2097085333143114,1.2516058337570368,0.9777777777777779,1.930952380952381,-2.567142857142857,0.0
compas-recidivism,sklearn,DiCE-Ext,4.993980255757076,0.2193048555664369,0.1349283426801325,0.9,1.7995238095238097,-1.311904761904762,0.5000000000000001
compas-recidivism,sklearn,DiCE-Ext,0.17367237151593162,3.887072196612055,1.6738085788752133,0.8444444444444444,3.277142857142857,-5.067619047619047,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,0.24574572727813157,0.9111111111111111,1.997142857142857,-1.6173809523809524,0.13333333333333333
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,0.5499426480345608,0.10432637161302089,0.8472222222222222,1.8199404761904763,-1.1811011904761903,0.45833333333333337
compas-recidivism,sklearn,DiCE-Ext,0.10737748632897971,1.090388452320111,0.11851515660043109,0.9166666666666666,1.5553571428571427,-1.2199404761904762,0.4166666666666667
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,0.1883830778761975,0.1515582353959761,0.9166666666666666,1.6297619047619047,-1.1845238095238093,0.2916666666666667
compas-recidivism,sklearn,DiCE-Ext,0.1171593739230706,2.8308141496998047,0.10235832435175114,0.9722222222222222,1.3041666666666667,-0.8297619047619049,0.45833333333333337
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,0.1883830778761975,0.14063366777718173,0.9722222222222222,1.6547619047619047,-1.3720238095238095,0.375
compas-recidivism,sklearn,DiCE-Ext,1.1103647313054623,2.4663777473099753,0.11241862095793062,0.9333333333333333,1.705238095238095,-1.280238095238095,0.4666666666666668
compas-recidivism,sklearn,DiCE-Ext,0.1659983797444922,0.38653042880321525,0.10432637161302089,0.888888888888889,1.5578571428571428,-1.215357142857143,0.4666666666666667
compas-recidivism,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.10235832435175114,0.8333333333333334,0.5973809523809523,-0.5105952380952381,0.5
compas-recidivism,sklearn,DiCE-Ext,0.37126241790405323,1.0070072316456573,0.1238513729886093,0.9722222222222222,1.5761904761904764,-1.2357142857142858,0.33333333333333337
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,2.4663777473099753,0.10432637161302089,0.861111111111111,1.5220238095238092,-1.04375,0.5
