dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,sklearn,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.888888888888889,1.4142857142857144,-2.8778571428571427,0.0
compas-recidivism,sklearn,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.8444444444444443,1.0257142857142858,-1.8064285714285713,0.1
compas-recidivism,sklearn,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.7666666666666666,0.9173809523809524,-2.2582142857142857,0.06666666666666668
compas-recidivism,sklearn,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.8777777777777779,0.9695238095238097,-2.315952380952381,0.05
compas-recidivism,sklearn,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.8222222222222222,1.2492857142857143,-1.6720238095238096,0.13333333333333336
compas-recidivism,sklearn,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.861111111111111,0.9029761904761905,-2.0809523809523807,0.0
compas-recidivism,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.8111111111111111,0.9433333333333334,-2.599285714285714,0.0
compas-recidivism,sklearn,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.9777777777777779,1.2980952380952382,-2.3666666666666663,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.9111111111111111,0.7261904761904763,-1.9904761904761905,0.0
compas-recidivism,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.9222222222222222,0.8333333333333334,-1.221190476190476,0.2666666666666667
compas-recidivism,sklearn,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.9166666666666666,1.2619047619047619,-1.4764880952380952,0.33333333333333337
compas-recidivism,sklearn,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.8333333333333333,0.5761904761904763,-2.037797619047619,0.04166666666666666
compas-recidivism,sklearn,DiCE-Ext,0.4066563313514795,0.1567993391672301,2.3359635026261603,0.7333333333333332,2.146190476190476,-3.206666666666666,0.0
compas-recidivism,sklearn,DiCE-Ext,0.7591104805282696,0.17541893487450796,0.978033701665941,0.7999999999999999,0.7154761904761905,-2.0134523809523808,0.0
compas-recidivism,sklearn,DiCE-Ext,0.1171593739230706,6.586289317583113,0.3292759134423616,0.8222222222222222,1.7080952380952383,-2.4057142857142857,0.0
compas-recidivism,sklearn,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.8222222222222223,1.6342857142857141,-2.1726190476190474,0.1
compas-recidivism,sklearn,DiCE-Ext,1.2399967836846095,0.23426581058204046,8.692991511139551,0.875,0.7386904761904762,-2.3976190476190475,0.0
compas-recidivism,sklearn,DiCE-Ext,3.5503048581283085,7.56829206016762,6.161049539380966,0.8666666666666666,2.652142857142857,-2.7996428571428567,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,1.5696396388661147,6.978281265126034,0.15030900645056822,0.9111111111111111,0.6523809523809524,-1.825,0.06666666666666668
compas-recidivism,sklearn,DiCE-Ext,0.24658447214487378,0.12315571723666023,0.4473636174621265,0.8444444444444444,1.4304761904761905,-2.301428571428571,0.0
compas-recidivism,sklearn,DiCE-Ext,0.59890036722543,0.34889766548903667,4.544383960336017,0.7638888888888888,0.16666666666666663,-1.7291666666666667,0.04166666666666666
compas-recidivism,sklearn,DiCE-Ext,0.5170191786366992,0.3646439558980721,1.2172847081122433,0.8555555555555555,2.075,-2.8560714285714286,0.0
compas-recidivism,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.9777777777777779,1.3090476190476192,-1.3316666666666666,0.2666666666666667
compas-recidivism,sklearn,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.861111111111111,1.0178571428571428,-2.216369047619048,0.08333333333333331
compas-recidivism,sklearn,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.9111111111111111,2.4107142857142856,-2.9984523809523806,0.0
compas-recidivism,sklearn,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.888888888888889,1.689047619047619,-1.44,0.2666666666666667
compas-recidivism,sklearn,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.9,1.834047619047619,-2.5855952380952383,0.0
compas-recidivism,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.8444444444444443,1.2476190476190474,-0.7442857142857143,0.5333333333333334
compas-recidivism,sklearn,DiCE-Ext,0.4187594718900627,0.447060854677849,2.878805718308924,0.8888888888888888,1.2428571428571429,-2.2011904761904764,0.0
compas-recidivism,sklearn,DiCE-Ext,1.8841476921545086,5.948746813219773,0.8798929749689022,0.861111111111111,0.8321428571428571,-2.6949404761904763,0.125
compas-recidivism,sklearn,DiCE-Ext,0.17345566642360938,2.6698666742744606,3.3233042062267937,0.8666666666666666,0.6938095238095239,-2.9366666666666665,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,1.3260331922696553,3.482846706526884,0.9718319944817401,0.9111111111111111,2.5771428571428574,-2.5045238095238096,0.06666666666666668
compas-recidivism,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.9666666666666668,1.4461904761904762,-0.8811904761904762,0.6000000000000001
compas-recidivism,sklearn,DiCE-Ext,0.16435497475111327,0.11557352816269865,1.8742210985555698,0.9333333333333332,2.1704761904761907,-2.8588095238095237,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,1.0402587615883845,6.533305220227734,0.9305555555555556,0.4077380952380951,-1.8717261904761904,0.0
compas-recidivism,sklearn,DiCE-Ext,0.31519872951938893,0.6618595597183481,3.244160088734161,0.8444444444444444,0.7704761904761905,-2.2973809523809523,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.28681134821030074,0.14254757044027438,0.3797544798678416,0.888888888888889,1.4166666666666667,-2.125,0.1
compas-recidivism,sklearn,DiCE-Ext,0.21010799310103556,7.234279845665419,4.132765459466365,0.861111111111111,0.9720238095238094,-2.025297619047619,0.0
compas-recidivism,sklearn,DiCE-Ext,1.8484491720988625,5.532496914298507,4.048966222584674,0.8222222222222222,3.655,-3.1127380952380954,0.033333333333333326
compas-recidivism,sklearn,DiCE-Ext,0.23612399244412613,6.0970252974914345,1.1986281799901182,0.8666666666666666,0.16285714285714287,-2.4452380952380954,0.0
compas-recidivism,sklearn,DiCE-Ext,4.119839624605188,6.197015748809146,0.432520752538653,0.8444444444444444,1.763809523809524,-2.2600000000000002,0.1
compas-recidivism,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,0.7148510793512985,0.9555555555555555,1.7485714285714284,-2.9745238095238093,0.0
compas-recidivism,sklearn,DiCE-Ext,4.325432427964557,5.265761277157429,0.10325337616482036,0.8777777777777779,1.6880952380952376,-1.2166666666666666,0.5333333333333334
compas-recidivism,sklearn,DiCE-Ext,1.05073840241814,0.6836314065022723,0.27810936979265544,0.8444444444444444,1.1233333333333333,-1.809761904761905,0.1
compas-recidivism,sklearn,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.7638888888888888,3.1985119047619044,-3.5897321428571427,0.04166666666666666
compas-recidivism,sklearn,DiCE-Ext,0.4430021806767983,1.090388452320111,2.5470526233391175,0.8555555555555555,2.490952380952381,-2.8061904761904763,0.06666666666666668
compas-recidivism,sklearn,DiCE-Ext,0.5336533066379611,8.781408196485978,8.411909465645724,0.8444444444444444,2.757142857142857,-3.9938095238095235,0.0
compas-recidivism,sklearn,DiCE-Ext,0.31883397351001874,0.9874088417386248,0.39972068191218074,0.888888888888889,1.1771428571428575,-2.443095238095238,0.0
compas-recidivism,sklearn,DiCE-Ext,0.37126241790405323,1.5304852121831465,0.1238513729886093,0.8333333333333333,1.8890476190476193,-1.3728571428571428,0.3666666666666667
compas-recidivism,sklearn,DiCE-Ext,0.17367237151593162,0.20513382630874505,0.11851515660043109,0.8666666666666666,1.7504761904761907,-1.325952380952381,0.3666666666666667
compas-recidivism,sklearn,DiCE-Ext,0.1659983797444922,0.28567374298471887,1.0968217207529523,0.9305555555555556,1.40625,-3.047172619047619,0.0
compas-recidivism,sklearn,DiCE-Ext,0.59890036722543,1.6562605893335958,1.0124137770478638,0.8194444444444444,2.199702380952381,-3.0438988095238093,0.0
compas-recidivism,sklearn,DiCE-Ext,1.05073840241814,0.6836314065022723,0.12675278269816292,0.9166666666666666,1.3714285714285714,-0.9684523809523808,0.45833333333333337
compas-recidivism,sklearn,DiCE-Ext,0.17367237151593162,0.36082193273637864,6.554382343546285,0.8444444444444443,0.9019047619047619,-1.9345238095238095,0.0
compas-recidivism,sklearn,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.9444444444444444,1.7904761904761906,-1.888988095238095,0.08333333333333334
compas-recidivism,sklearn,DiCE-Ext,0.8168455894760165,4.274869455295218,2.5924756604751593,0.8777777777777779,2.017857142857143,-2.8622619047619047,0.0
compas-recidivism,sklearn,DiCE-Ext,0.9525889086580772,6.197015748809146,0.7148510793512985,0.861111111111111,1.5357142857142858,-2.637202380952381,0.0
compas-recidivism,sklearn,DiCE-Ext,0.5211124595788266,6.0970252974914345,9.360540102485377,0.788888888888889,1.3128571428571427,-2.2919047619047617,0.0
compas-recidivism,sklearn,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.9166666666666666,0.29166666666666674,-2.2148809523809527,0.0
compas-recidivism,sklearn,DiCE-Ext,0.4430021806767983,4.02155452669029,2.5470526233391175,0.8444444444444444,0.7733333333333334,-1.938809523809524,0.06666666666666665
compas-recidivism,sklearn,DiCE-Ext,1.764396768338155,0.47340227734041923,0.3048670883458068,0.9555555555555555,0.6814285714285713,-1.846428571428571,0.0
