dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,sklearn,DiCE,2.9106359131330697,1.5751320499779735,0.0,0.8444444444444444,0.14857142857142858,-0.07428571428571429,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.7777777777777778,0.08571428571428572,-0.04285714285714286,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.8444444444444444,0.4923809523809524,-0.2461904761904762,0.8666666666666668
compas-recidivism,sklearn,DiCE,1.6738085788752133,0.19010245319870356,0.0,0.7888888888888889,0.28952380952380957,-0.14952380952380953,0.8666666666666666
compas-recidivism,sklearn,DiCE,0.3839629299804172,0.5404103854647329,0.0,0.8333333333333334,0.4538095238095238,-0.2269047619047619,0.7500000000000002
compas-recidivism,sklearn,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.8333333333333334,0.5704761904761904,-0.29,0.8000000000000002
compas-recidivism,sklearn,DiCE,1.5304852121831465,0.1238513729886093,0.0,0.7666666666666666,0.25999999999999995,-0.1395238095238095,0.8333333333333334
compas-recidivism,sklearn,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.8333333333333334,0.30333333333333334,-0.15166666666666667,0.7500000000000002
compas-recidivism,sklearn,DiCE,0.1349283426801325,7.902619549708233,0.0,0.7555555555555555,0.4519047619047619,-0.22595238095238096,0.8166666666666667
compas-recidivism,sklearn,DiCE,8.536189862866832,4.138040112561017,0.0,0.7888888888888889,0.4404761904761904,-0.2202380952380952,0.85
compas-recidivism,sklearn,DiCE,0.1171593739230706,6.586289317583113,0.0,0.7444444444444444,0.44761904761904764,-0.22666666666666666,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.420167205437253,1.0968217207529523,0.0,0.8111111111111111,0.3642857142857143,-0.18214285714285716,0.7833333333333334
compas-recidivism,sklearn,DiCE,1.2399967836846095,0.23426581058204046,0.0,0.8,0.07619047619047618,-0.03809523809523809,0.7833333333333334
compas-recidivism,sklearn,DiCE,8.692991511139551,3.5503048581283085,0.0,0.7888888888888889,0.22666666666666666,-0.1180952380952381,0.8666666666666668
compas-recidivism,sklearn,DiCE,0.59890036722543,0.34889766548903667,0.0,0.8444444444444444,0.06190476190476191,-0.030952380952380953,0.8666666666666666
compas-recidivism,sklearn,DiCE,4.544383960336017,0.5170191786366992,0.0,0.8333333333333334,0.45809523809523806,-0.23380952380952377,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.19135880487692303,4.02155452669029,0.0,0.8444444444444444,0.3547619047619048,-0.18404761904761907,0.7500000000000002
compas-recidivism,sklearn,DiCE,0.14096175149815865,9.413993046829944,0.0,0.8,0.2519047619047619,-0.12595238095238095,0.8166666666666668
compas-recidivism,sklearn,DiCE,3.5033984911586877,0.24970737145052724,0.0,0.8,0.09761904761904762,-0.04880952380952381,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.1025756397418565,4.274869455295218,0.0,0.7777777777777778,0.29380952380952374,-0.14690476190476187,0.8166666666666667
compas-recidivism,sklearn,DiCE,2.5924756604751593,2.8708753481954687,0.0,0.8444444444444444,0.24380952380952384,-0.13142857142857145,0.8000000000000002
compas-recidivism,sklearn,DiCE,3.487712624545931,0.14063366777718173,0.0,0.8333333333333334,0.25523809523809515,-0.13714285714285712,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.5211124595788266,0.17050539260269293,0.0,0.8666666666666666,0.6666666666666666,-0.37523809523809526,0.8000000000000002
compas-recidivism,sklearn,DiCE,5.323617594751501,1.764396768338155,0.0,0.7777777777777778,0.20428571428571426,-0.10214285714285713,0.8166666666666668
compas-recidivism,sklearn,DiCE,0.458982418149565,0.13400367243354802,0.0,0.8111111111111111,0.11428571428571428,-0.06190476190476191,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.4187594718900627,0.447060854677849,0.0,0.7777777777777778,0.4004761904761905,-0.205,0.85
compas-recidivism,sklearn,DiCE,1.1103647313054623,0.7162786999897341,0.0,0.9,0.3123809523809524,-0.1561904761904762,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.3646439558980721,0.16435497475111327,0.0,0.8444444444444444,0.3538095238095239,-0.17690476190476195,0.7500000000000002
compas-recidivism,sklearn,DiCE,1.8742210985555698,0.4253162363790871,0.0,0.8,0.2995238095238095,-0.14976190476190476,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.15030900645056822,0.24658447214487378,0.0,0.7777777777777778,0.35523809523809524,-0.17761904761904762,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.23102018878452935,0.5404103854647329,0.0,0.8,0.3547619047619048,-0.1773809523809524,0.8166666666666667
compas-recidivism,sklearn,DiCE,3.244160088734161,1.0968217207529523,0.0,0.8111111111111111,0.3238095238095239,-0.16190476190476194,0.8333333333333334
compas-recidivism,sklearn,DiCE,4.544383960336017,0.13400367243354802,0.0,0.8,0.3547619047619048,-0.1773809523809524,0.8166666666666667
compas-recidivism,sklearn,DiCE,0.3797544798678416,0.21010799310103556,0.0,0.8666666666666666,0.11333333333333333,-0.06142857142857142,0.8333333333333334
compas-recidivism,sklearn,DiCE,7.234279845665419,4.132765459466365,0.0,0.8111111111111111,0.47523809523809535,-0.23761904761904767,0.8333333333333334
compas-recidivism,sklearn,DiCE,1.8484491720988625,5.532496914298507,0.0,0.7888888888888889,0.37047619047619046,-0.18523809523809523,0.8333333333333334
compas-recidivism,sklearn,DiCE,6.0970252974914345,1.1986281799901182,0.0,0.8333333333333334,0.7828571428571429,-0.39619047619047626,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.4066563313514795,0.432520752538653,0.0,0.7888888888888889,0.32047619047619047,-0.16023809523809524,0.8166666666666667
compas-recidivism,sklearn,DiCE,4.622589001020832,4.02155452669029,0.0,0.8111111111111111,0.5623809523809523,-0.2907142857142857,0.8166666666666668
compas-recidivism,sklearn,DiCE,0.7148510793512985,4.325432427964557,0.0,0.8444444444444444,0.6761904761904762,-0.3380952380952381,0.8333333333333334
compas-recidivism,sklearn,DiCE,5.265761277157429,0.7591104805282696,0.0,0.8222222222222222,0.41904761904761906,-0.20952380952380953,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.10325337616482036,1.05073840241814,0.0,0.8,0.3761904761904762,-0.1880952380952381,0.7833333333333334
compas-recidivism,sklearn,DiCE,3.5033984911586877,0.24970737145052724,0.0,0.8,0.48238095238095235,-0.24119047619047618,0.7833333333333334
compas-recidivism,sklearn,DiCE,3.3233042062267937,7.688106801474955,0.0,0.8333333333333334,0.08761904761904764,-0.048571428571428585,0.8000000000000002
compas-recidivism,sklearn,DiCE,4.544383960336017,2.113705944064573,0.0,0.7777777777777778,0.31571428571428567,-0.15785714285714283,0.85
compas-recidivism,sklearn,DiCE,0.4430021806767983,0.9718319944817401,0.0,0.8111111111111111,0.07619047619047618,-0.04285714285714286,0.7833333333333334
compas-recidivism,sklearn,DiCE,2.3359635026261603,0.7591104805282696,0.0,0.7777777777777778,0.45952380952380956,-0.22976190476190478,0.7833333333333334
compas-recidivism,sklearn,DiCE,1.090388452320111,4.02155452669029,0.0,0.7444444444444444,0.5638095238095238,-0.4109523809523809,0.8666666666666668
compas-recidivism,sklearn,DiCE,2.5470526233391175,0.5336533066379611,0.0,0.8111111111111111,0.17809523809523814,-0.09380952380952383,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.31883397351001874,0.9874088417386248,0.0,0.8222222222222222,0.5266666666666666,-0.2633333333333333,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.39972068191218074,0.37126241790405323,0.0,0.7888888888888889,0.2952380952380953,-0.15238095238095242,0.8666666666666668
compas-recidivism,sklearn,DiCE,0.11851515660043109,4.02155452669029,0.0,0.8111111111111111,0.10714285714285714,-0.05357142857142857,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.7148510793512985,0.17050539260269293,0.0,0.8333333333333334,0.0314285714285714,-0.02047619047619046,0.8666666666666668
compas-recidivism,sklearn,DiCE,1.1103647313054623,0.7591104805282696,0.0,0.8333333333333334,0.25999999999999995,-0.13476190476190472,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.3646439558980721,0.13400367243354802,0.0,0.8333333333333334,0.44857142857142857,-0.22428571428571428,0.8166666666666668
compas-recidivism,sklearn,DiCE,0.27810936979265544,9.360540102485377,0.0,0.8111111111111111,0.4028571428571429,-0.20142857142857146,0.8333333333333334
compas-recidivism,sklearn,DiCE,0.3048670883458068,2.2093834415066285,0.0,0.8333333333333334,0.4428571428571429,-0.22142857142857145,0.8000000000000002
compas-recidivism,sklearn,DiCE,3.336101309469785,1.05073840241814,0.0,0.8,0.15857142857142856,-0.08404761904761904,0.7500000000000002
compas-recidivism,sklearn,DiCE,3.487712624545931,0.2987274199563841,0.0,0.8,0.4595238095238095,-0.2345238095238095,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.59890036722543,1.8391267498289012,0.0,0.7777777777777778,0.47095238095238096,-0.23547619047619048,0.7833333333333334
compas-recidivism,sklearn,DiCE,1.1103647313054623,0.7162786999897341,0.0,0.8,0.5404761904761904,-0.275,0.7500000000000002
compas-recidivism,sklearn,DiCE,2.9106359131330697,4.683871708118729,0.0,0.8,0.3642857142857144,-0.1821428571428572,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.8,0.3233333333333334,-0.1616666666666667,0.7833333333333334
compas-recidivism,sklearn,DiCE,7.234279845665419,0.4380867619725788,0.0,0.8666666666666666,0.047619047619047616,-0.023809523809523808,0.8333333333333334
compas-recidivism,sklearn,DiCE,7.234279845665419,4.132765459466365,0.0,0.7666666666666666,0.12095238095238099,-0.07,0.8000000000000002
compas-recidivism,sklearn,DiCE,0.23606794572813067,1.0677482709481354,0.0,0.8777777777777779,0.29523809523809524,-0.15238095238095242,0.8666666666666668
compas-recidivism,sklearn,DiCE,0.12065637774378937,0.16435497475111327,0.0,0.7888888888888889,0.5523809523809524,-0.2761904761904762,0.8333333333333334
compas-recidivism,sklearn,DiCE,1.519798062003422,1.1986281799901182,0.0,0.8333333333333334,0.24095238095238095,-0.12523809523809523,0.9
compas-recidivism,sklearn,DiCE,2.2653156413948867,4.132765459466365,0.0,0.7888888888888889,0.7166666666666668,-0.3583333333333334,0.8166666666666668
compas-recidivism,sklearn,DiCE,0.28378638146176255,0.24658447214487378,0.0,0.7777777777777778,0.08809523809523809,-0.044047619047619044,0.8166666666666667
compas-recidivism,sklearn,DiCE,0.22321987366901574,0.9874088417386248,0.0,0.8333333333333334,0.2257142857142857,-0.12238095238095237,0.8000000000000002
compas-recidivism,sklearn,DiCE,7.472397689332939,0.1883830778761975,0.0,0.7777777777777778,0.46523809523809534,-0.23261904761904767,0.7833333333333334
compas-recidivism,sklearn,DiCE,0.3280071082578535,2.089142634385645,0.0,0.8333333333333334,0.3238095238095238,-0.17142857142857143,0.8000000000000002
compas-recidivism,sklearn,DiCE,4.309673808203455,1.2894414393074187,0.0,0.8111111111111111,0.20285714285714285,-0.11095238095238094,0.8333333333333334
