dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,TF2,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7555555555555554,1.6002006208709756,-0.8717906600757235,0.44761904761904764
german-credit,TF2,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.9111111111111111,2.5070668753454304,-1.3667796837793584,0.4
german-credit,TF2,DiCE,1.5930522616241019,2.607024758370768,0.0,0.8444444444444443,0.358538422202594,-0.19170801502073873,0.6476190476190476
german-credit,TF2,DiCE,0.10994335574766201,8.706020878304859,0.0,0.8666666666666666,2.870473091286629,-1.5488906450963074,0.39047619047619053
german-credit,TF2,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.888888888888889,0.46534517223745986,-0.23833842116953083,0.6095238095238095
german-credit,TF2,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.9111111111111111,0.29702074907411713,-0.18622554868568536,0.6285714285714287
german-credit,TF2,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.8222222222222222,0.7722899395141505,-0.43872581986477205,0.5523809523809524
german-credit,TF2,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.888888888888889,0.6795576423431939,-0.3739119520245456,0.5428571428571429
german-credit,TF2,DiCE,0.1349283426801325,7.902619549708233,0.0,0.888888888888889,2.704195579522622,-1.4695992231364832,0.39047619047619053
german-credit,TF2,DiCE,0.17541893487450796,0.978033701665941,0.0,0.9111111111111111,0.9181954452244071,-0.4934658753402652,0.5333333333333334
german-credit,TF2,DiCE,0.1171593739230706,6.586289317583113,0.0,0.888888888888889,2.7003926673174967,-1.455687167805619,0.4
german-credit,TF2,DiCE,0.3292759134423616,2.113705944064573,0.0,0.8444444444444443,0.9760961575214748,-0.5110259867044767,0.5047619047619047
german-credit,TF2,DiCE,0.420167205437253,1.0968217207529523,0.0,0.888888888888889,0.4881064468308204,-0.25589398705571825,0.6095238095238095
german-credit,TF2,DiCE,1.5696396388661147,6.978281265126034,0.0,0.8444444444444443,0.80479403302703,-0.45276618164350024,0.5047619047619047
german-credit,TF2,DiCE,0.15030900645056822,0.24658447214487378,0.0,0.9333333333333332,0.452294691604812,-0.2960074173936849,0.6
german-credit,TF2,DiCE,0.12315571723666023,0.4473636174621265,0.0,0.9555555555555555,0.563107040842153,-0.33186266457987906,0.5619047619047619
german-credit,TF2,DiCE,0.3646439558980721,1.2172847081122433,0.0,0.888888888888889,0.604034111746445,-0.3225051782292264,0.5619047619047619
german-credit,TF2,DiCE,0.19135880487692303,4.02155452669029,0.0,0.888888888888889,2.014200279960124,-1.0890258730675262,0.42857142857142855
german-credit,TF2,DiCE,0.14096175149815865,9.413993046829944,0.0,0.888888888888889,2.801583066028234,-1.5120456200703516,0.39047619047619053
