dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,TF2,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7555555555555554,1.6002006208709756,-0.8717906600757235,0.44761904761904764
german-credit,TF2,DiCE,2.9106359131330697,1.5751320499779735,0.0,0.888888888888889,0.2766462636687173,-0.18102552182604248,0.6666666666666667
german-credit,TF2,DiCE,0.20513382630874505,0.2051110418843398,0.0,0.8666666666666666,0.3051819482538649,-0.25930712452027127,0.5428571428571429
german-credit,TF2,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.9111111111111111,2.5070668753454304,-1.3667796837793584,0.4
german-credit,TF2,DiCE,1.5930522616241019,2.607024758370768,0.0,0.8444444444444443,0.358538422202594,-0.19170801502073873,0.6476190476190476
german-credit,TF2,DiCE,0.10994335574766201,8.706020878304859,0.0,0.8666666666666666,2.870473091286629,-1.5488906450963074,0.39047619047619053
german-credit,TF2,DiCE,4.622589001020832,0.26587543983272705,0.0,0.888888888888889,0.17350006973176516,-0.17521133890154392,0.6190476190476191
german-credit,TF2,DiCE,0.23102018878452935,0.2327067708383781,0.0,0.9333333333333332,0.3219756300394113,-0.25573231266690427,0.5523809523809524
german-credit,TF2,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.888888888888889,0.46534517223745986,-0.23833842116953083,0.6095238095238095
german-credit,TF2,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.9111111111111111,0.29702074907411713,-0.18622554868568536,0.6285714285714287
german-credit,TF2,DiCE,1.6738085788752133,0.19010245319870356,0.0,0.888888888888889,0.2175777767447146,-0.1725831228467089,0.6095238095238095
german-credit,TF2,DiCE,0.3839629299804172,0.5404103854647329,0.0,0.9111111111111111,0.3500175104210249,-0.22557554532823004,0.5714285714285714
german-credit,TF2,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.8222222222222222,0.7722899395141505,-0.43872581986477205,0.5523809523809524
german-credit,TF2,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.888888888888889,0.6795576423431939,-0.3739119520245456,0.5428571428571429
german-credit,TF2,DiCE,1.5304852121831465,0.1238513729886093,0.0,0.8444444444444443,0.13253973419284187,-0.1655778180672421,0.6476190476190476
german-credit,TF2,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.8666666666666666,0.23496608970087657,-0.18385642487822768,0.6190476190476192
german-credit,TF2,DiCE,0.1349283426801325,7.902619549708233,0.0,0.888888888888889,2.704195579522622,-1.4695992231364832,0.39047619047619053
german-credit,TF2,DiCE,8.536189862866832,4.138040112561017,0.0,0.8666666666666666,0.2794398731398406,-0.17486040733681477,0.6761904761904762
german-credit,TF2,DiCE,0.4066563313514795,0.1567993391672301,0.0,0.888888888888889,0.2728251695514956,-0.24751646444454772,0.5904761904761905
german-credit,TF2,DiCE,2.3359635026261603,0.7591104805282696,0.0,0.9333333333333332,0.2675732829198498,-0.1871749337548231,0.5714285714285714
german-credit,TF2,DiCE,0.17541893487450796,0.978033701665941,0.0,0.9111111111111111,0.9181954452244071,-0.4934658753402652,0.5333333333333334
german-credit,TF2,DiCE,0.1171593739230706,6.586289317583113,0.0,0.888888888888889,2.7003926673174967,-1.455687167805619,0.4
german-credit,TF2,DiCE,0.3292759134423616,2.113705944064573,0.0,0.8444444444444443,0.9760961575214748,-0.5110259867044767,0.5047619047619047
german-credit,TF2,DiCE,0.420167205437253,1.0968217207529523,0.0,0.888888888888889,0.4881064468308204,-0.25589398705571825,0.6095238095238095
german-credit,TF2,DiCE,1.2399967836846095,0.23426581058204046,0.0,0.888888888888889,0.25660111880743186,-0.19019695349666063,0.6095238095238097
german-credit,TF2,DiCE,8.692991511139551,3.5503048581283085,0.0,0.888888888888889,0.2819390596025806,-0.2040559093796972,0.6476190476190476
