dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,sklearn,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7999999999999999,0.6698513938605054,-0.8898364144442894,0.45714285714285713
german-credit,sklearn,DiCE,2.9106359131330697,1.5751320499779735,0.0,0.6,0.8659900102789786,-0.9043687209128146,0.42857142857142866
german-credit,sklearn,DiCE,0.20513382630874505,0.2051110418843398,0.0,0.5777777777777778,0.7408965955402662,-0.9418554847907272,0.45714285714285713
german-credit,sklearn,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.6222222222222222,0.7466282367160988,-0.8749415027970187,0.4761904761904763
german-credit,sklearn,DiCE,1.5930522616241019,2.607024758370768,0.0,0.5333333333333334,0.7150326189701394,-0.9491890970511211,0.44761904761904764
german-credit,sklearn,DiCE,0.10994335574766201,8.706020878304859,0.0,0.7000000000000001,0.8145978026746006,-0.846049721331205,0.4333333333333333
german-credit,sklearn,DiCE,4.622589001020832,0.26587543983272705,0.0,0.6666666666666666,0.7785131121545048,-0.8922647327723802,0.45714285714285713
german-credit,sklearn,DiCE,0.23102018878452935,0.2327067708383781,0.0,0.5777777777777777,0.6826993941084407,-0.8340966637224365,0.47619047619047616
german-credit,sklearn,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.6,1.006989498912701,-0.909842716129732,0.44761904761904764
german-credit,sklearn,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.6666666666666666,0.47875453902137916,-1.0666150135073011,0.4666666666666667
german-credit,sklearn,DiCE,1.6738085788752133,0.19010245319870356,0.0,0.5333333333333334,0.8258864973476102,-0.8898750510074948,0.44761904761904764
german-credit,sklearn,DiCE,0.3839629299804172,0.5404103854647329,0.0,0.5555555555555556,0.6860878413628171,-0.8138583360451243,0.4666666666666666
german-credit,sklearn,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.6222222222222223,0.8033595214851317,-0.8356954323111173,0.42857142857142855
german-credit,sklearn,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.5777777777777777,0.7608483514894189,-0.7714024349299324,0.44761904761904764
german-credit,sklearn,DiCE,1.5304852121831465,0.1238513729886093,0.0,0.48888888888888893,0.7969603148776595,-0.874121457238932,0.45714285714285713
german-credit,sklearn,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.5555555555555556,0.8514155548324112,-0.8931054395942126,0.4571428571428572
german-credit,sklearn,DiCE,0.1349283426801325,7.902619549708233,0.0,0.6444444444444444,0.809171121751662,-0.98568463680081,0.45714285714285713
german-credit,sklearn,DiCE,8.536189862866832,4.138040112561017,0.0,0.5777777777777778,0.7915094602761378,-0.791383839792561,0.43809523809523815
german-credit,sklearn,DiCE,0.4066563313514795,0.1567993391672301,0.0,0.6666666666666666,0.8416531077123333,-0.8247663469336102,0.45714285714285713
german-credit,sklearn,DiCE,2.3359635026261603,0.7591104805282696,0.0,0.6,0.7451774027758409,-0.9393480338224887,0.4666666666666666
german-credit,sklearn,DiCE,0.17541893487450796,0.978033701665941,0.0,0.44444444444444436,0.9139815804833702,-0.9051743035862788,0.4666666666666667
german-credit,sklearn,DiCE,0.1171593739230706,6.586289317583113,0.0,0.7222222222222222,0.589237547714606,-0.8652739941838542,0.4238095238095238
german-credit,sklearn,DiCE,0.3292759134423616,2.113705944064573,0.0,0.5777777777777778,0.9463937313725793,-0.9529385998894624,0.44761904761904764
german-credit,sklearn,DiCE,0.420167205437253,1.0968217207529523,0.0,0.6444444444444445,0.6140424279051028,-0.8307346628856556,0.47619047619047616
german-credit,sklearn,DiCE,1.2399967836846095,0.23426581058204046,0.0,0.6222222222222221,0.8593031988801595,-0.9108956141302382,0.44761904761904764
german-credit,sklearn,DiCE,8.692991511139551,3.5503048581283085,0.0,0.6444444444444445,0.6876045847344252,-0.8592229298705056,0.4095238095238095
german-credit,sklearn,DiCE,7.56829206016762,6.161049539380966,0.0,0.6222222222222223,0.6699340389154902,-0.8475345430503257,0.41904761904761906
german-credit,sklearn,DiCE,1.5696396388661147,6.978281265126034,0.0,0.6,0.7907861094323834,-0.8455604626056953,0.44761904761904764
german-credit,sklearn,DiCE,0.15030900645056822,0.24658447214487378,0.0,0.5555555555555556,0.8839591113590464,-0.9302419950516272,0.45714285714285713
german-credit,sklearn,DiCE,0.12315571723666023,0.4473636174621265,0.0,0.6222222222222221,0.7351492518039866,-0.917274262780283,0.44761904761904764
