dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,PYT,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7777777777777778,3.183931693949655,-2.574164976510944,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.2399967836846095,0.23426581058204046,8.692991511139551,0.7777777777777778,3.565857118831552,-2.5281965897242547,0.10000000000000002
lending-club,PYT,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.7777777777777778,3.463033201628728,-2.625055617266039,0.13333333333333333
lending-club,PYT,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.17345566642360938,2.6698666742744606,3.3233042062267937,0.7777777777777778,3.9438835599296596,-2.676465230715343,0.11666666666666667
lending-club,PYT,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.7777777777777778,3.8804489695393216,-2.6274337572919397,0.13333333333333336
lending-club,PYT,DiCE-Ext,0.28681134821030074,0.14254757044027438,0.3797544798678416,0.7777777777777778,3.674020164305671,-2.784710381852037,0.15
lending-club,PYT,DiCE-Ext,0.5336533066379611,8.781408196485978,8.411909465645724,0.7777777777777778,3.6582887076775905,-2.7751370989905846,0.18333333333333332
lending-club,PYT,DiCE-Ext,1.05073840241814,0.6836314065022723,0.12675278269816292,0.7777777777777778,3.2155530580851974,-2.595403524194388,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.17367237151593162,0.36082193273637864,6.554382343546285,0.7777777777777778,3.4606559169440274,-2.6157431693681317,0.16666666666666666
lending-club,PYT,DiCE-Ext,4.683871708118729,0.6618595597183481,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.9513967655934459,2.6698666742744606,8.692991511139551,0.7777777777777778,3.565857118831552,-2.5281965897242547,0.10000000000000002
lending-club,PYT,DiCE-Ext,2.8708753481954687,0.1883830778761975,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.17345566642360938,0.20513382630874505,3.3233042062267937,0.7777777777777778,3.9438835599296596,-2.676465230715343,0.11666666666666667
lending-club,PYT,DiCE-Ext,0.4253162363790871,6.229189113188561,0.3797544798678416,0.7777777777777778,3.674020164305671,-2.784710381852037,0.15
lending-club,PYT,DiCE-Ext,0.17367237151593162,0.36082193273637864,6.554382343546285,0.7777777777777778,3.4606559169440274,-2.6157431693681317,0.16666666666666666
lending-club,PYT,DiCE-Ext,0.15956700210656624,2.1232617602360486,8.692991511139551,0.7777777777777778,3.565857118831552,-2.5281965897242547,0.10000000000000002
lending-club,PYT,DiCE-Ext,1.6409286730647923,5.3994844097874335,0.1349283426801325,0.7777777777777778,3.183931693949655,-2.574164976510944,0.13333333333333333
lending-club,PYT,DiCE-Ext,4.683871708118729,0.6618595597183481,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.17345566642360938,2.6698666742744606,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.7777777777777778,3.8804489695393216,-2.6274337572919397,0.13333333333333336
lending-club,PYT,DiCE-Ext,0.19010245319870356,0.3839629299804172,6.554382343546285,0.7777777777777778,3.4606559169440274,-2.6157431693681317,0.16666666666666666
lending-club,PYT,DiCE-Ext,3.1115931750282644,8.781408196485978,8.411909465645724,0.7777777777777778,3.6582887076775905,-2.7751370989905846,0.18333333333333332
lending-club,PYT,DiCE-Ext,1.05073840241814,1.3696739838480052,0.12675278269816292,0.7777777777777778,3.2155530580851974,-2.595403524194388,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.15393931002140857,0.2193048555664369,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.9513967655934459,7.969454818643936,8.692991511139551,0.7777777777777778,3.565857118831552,-2.5281965897242547,0.10000000000000002
lending-club,PYT,DiCE-Ext,0.16435497475111327,0.5437904873657087,0.33916008494386146,0.7777777777777778,3.9475559960087923,-2.8369031725856004,0.1
lending-club,PYT,DiCE-Ext,8.83122824824253,0.20513382630874505,3.3233042062267937,0.7777777777777778,3.9438835599296596,-2.676465230715343,0.11666666666666667
lending-club,PYT,DiCE-Ext,1.829267641174572,0.420167205437253,8.692991511139551,0.7777777777777778,3.565857118831552,-2.5281965897242547,0.10000000000000002
lending-club,PYT,DiCE-Ext,0.17345566642360938,0.36437177217846695,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,4.683871708118729,0.6618595597183481,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.6409286730647923,1.3696739838480052,0.1349283426801325,0.7777777777777778,3.183931693949655,-2.574164976510944,0.13333333333333333
lending-club,PYT,DiCE-Ext,2.8708753481954687,4.02155452669029,0.14096175149815865,0.7777777777777778,3.463033201628728,-2.625055617266039,0.13333333333333333
lending-club,PYT,DiCE-Ext,1.6409286730647923,0.5499426480345608,0.1349283426801325,0.7777777777777778,3.183931693949655,-2.574164976510944,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.10737748632897971,3.7183641805732095,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.19010245319870356,0.3839629299804172,6.554382343546285,0.7777777777777778,3.4606559169440274,-2.6157431693681317,0.16666666666666666
lending-club,PYT,DiCE-Ext,2.8708753481954687,7.18848093363432,0.7184032636581681,0.7777777777777778,4.336590804888941,-2.902945992662985,0.1
lending-club,PYT,DiCE-Ext,0.15393931002140857,0.36082193273637864,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
lending-club,PYT,DiCE-Ext,5.081815703555783,0.20513382630874505,3.3233042062267937,0.7777777777777778,3.9438835599296596,-2.676465230715343,0.11666666666666667
lending-club,PYT,DiCE-Ext,0.3880590213919321,8.781408196485978,0.14063366777718173,0.7777777777777778,3.9540467470169363,-2.9560724389948487,0.13333333333333333
