dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,sklearn,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.9111111111111111,0.9714895228653979,-0.9602010581292124,0.3
lending-club,sklearn,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.8222222222222222,0.8355341311021597,-0.7246165358641401,0.3
lending-club,sklearn,DiCE,0.3839629299804172,0.5404103854647329,0.0,0.888888888888889,0.6153143193476608,-0.6749584190902421,0.33333333333333337
lending-club,sklearn,DiCE,8.692991511139551,3.5503048581283085,0.0,0.7555555555555555,0.8319348893603461,-0.7411587916984864,0.3416666666666667
lending-club,sklearn,DiCE,2.5924756604751593,2.8708753481954687,0.0,0.8444444444444443,0.831495673701929,-0.7550973030884942,0.35
lending-club,sklearn,DiCE,0.11557352816269865,0.8798929749689022,0.0,0.9333333333333332,0.8568247377946211,-0.7820170508791693,0.3166666666666667
lending-club,sklearn,DiCE,1.8742210985555698,0.4253162363790871,0.0,0.8444444444444444,0.8329785951091513,-0.6816324426424077,0.3
lending-club,sklearn,DiCE,1.0402587615883845,1.1207606211860568,0.0,0.888888888888889,0.8373290070352626,-0.7305994393390272,0.2833333333333333
lending-club,sklearn,DiCE,0.6618595597183481,2.6698666742744606,0.0,0.888888888888889,0.94433754877697,-0.8379925999138758,0.3
lending-club,sklearn,DiCE,0.3797544798678416,0.21010799310103556,0.0,0.8666666666666666,0.8477563565848063,-0.734573801887313,0.3166666666666667
lending-club,sklearn,DiCE,1.8484491720988625,5.532496914298507,0.0,0.8222222222222222,1.0593517369365588,-0.8390979867864775,0.3333333333333333
lending-club,sklearn,DiCE,4.048966222584674,0.23612399244412613,0.0,0.9111111111111111,0.775485250364332,-0.6951720914196956,0.3166666666666667
lending-club,sklearn,DiCE,0.420167205437253,0.5170191786366992,0.0,0.8444444444444444,1.0333717369365587,-0.8449028561987314,0.3
lending-club,sklearn,DiCE,0.28567374298471887,0.2051110418843398,0.0,0.8666666666666666,0.8268076428997204,-0.7334669681679047,0.3
lending-club,sklearn,DiCE,5.265761277157429,0.7591104805282696,0.0,0.8666666666666666,0.6925426826251406,-0.7403002868293277,0.35
lending-club,sklearn,DiCE,0.4430021806767983,0.9718319944817401,0.0,0.8666666666666666,0.7915963614754431,-0.732714827026735,0.3
lending-club,sklearn,DiCE,1.090388452320111,4.02155452669029,0.0,0.888888888888889,0.8633992551690568,-0.8047884052334379,0.3166666666666667
lending-club,sklearn,DiCE,1.5930522616241019,2.607024758370768,0.0,0.8444444444444443,1.034935834233822,-0.8426934522948132,0.3166666666666667
lending-club,sklearn,DiCE,1.8742210985555698,0.2051110418843398,0.0,0.9111111111111111,0.8851922527666943,-0.7789327751176789,0.3
lending-club,sklearn,DiCE,0.4430021806767983,0.2051110418843398,0.0,0.8444444444444444,0.8059358489057322,-0.7117008099954183,0.3166666666666667
lending-club,sklearn,DiCE,0.36082193273637864,0.2051110418843398,0.0,0.9333333333333332,0.8344596023162382,-0.7447874725865542,0.33333333333333337
lending-club,sklearn,DiCE,0.30138649046798016,3.7183641805732095,0.0,0.888888888888889,0.8722864572284059,-0.9348547255680291,0.33333333333333337
lending-club,sklearn,DiCE,3.5033984911586877,9.360540102485377,0.0,0.9111111111111111,0.7397221798367033,-0.7696592641352242,0.35
lending-club,sklearn,DiCE,1.9513967655934459,0.17050539260269293,0.0,0.8666666666666666,0.9753632082365498,-0.8017960265548536,0.35
lending-club,sklearn,DiCE,0.3280071082578535,2.089142634385645,0.0,0.888888888888889,0.7645512259970603,-0.7146592673956487,0.3333333333333333
lending-club,sklearn,DiCE,5.948746813219773,0.15353434324857035,0.0,0.888888888888889,0.7865963614754431,-0.7413259381378461,0.33333333333333337
lending-club,sklearn,DiCE,4.048966222584674,2.8308141496998047,0.0,0.8666666666666666,0.9321428480476699,-0.757972177391385,0.3166666666666667
lending-club,sklearn,DiCE,0.3280071082578535,6.2261634823634635,0.0,0.888888888888889,0.9088185706559673,-0.745599438523921,0.3
lending-club,sklearn,DiCE,0.10235832435175114,0.14254757044027438,0.0,0.8666666666666666,1.0494657547829818,-0.8832917459027264,0.3
lending-club,sklearn,DiCE,5.265761277157429,2.419860861453868,0.0,0.9111111111111111,0.7210683290430222,-0.7998088375372024,0.3500000000000001
lending-club,sklearn,DiCE,7.234279845665419,0.8798929749689022,0.0,0.9111111111111111,0.9713826875157773,-0.8824797742596167,0.3166666666666667
lending-club,sklearn,DiCE,0.6112170343513632,6.082653960640118,0.0,0.888888888888889,0.8447649048473627,-0.7659840532815317,0.3166666666666667
lending-club,sklearn,DiCE,0.24574572727813157,2.7855068482535885,0.0,0.888888888888889,0.9577929372797838,-0.9816678075071437,0.33333333333333337
lending-club,sklearn,DiCE,0.5211124595788266,0.17050539260269293,0.0,0.8666666666666666,1.011687965593718,-0.8131208026594632,0.3166666666666667
lending-club,sklearn,DiCE,7.601812767003316,8.088298191148205,0.0,0.888888888888889,0.9517245707418794,-0.8551293533673379,0.3
lending-club,sklearn,DiCE,6.75660889251874,1.0677482709481354,0.0,0.888888888888889,1.030311913770574,-0.8555173030884943,0.3166666666666667
lending-club,sklearn,DiCE,0.5499426480345608,0.4253162363790871,0.0,0.9555555555555555,0.8194146485625072,-0.7505128578289436,0.3166666666666667
