validity_mean,proximity_mean,sparsity_mean,diversity_mean,robustness_mean,fidelity_1nn_0.5_mean,fidelity_1nn_1.0_mean,fidelity_1nn_2.0_mean,validity_sd,proximity_sd,sparsity_sd,diversity_sd,robustness_sd,fidelity_1nn_0.5_sd,fidelity_1nn_1.0_sd,fidelity_1nn_2.0_sd,dataset,backend,method,n
100.0,-0.5087626984126983,0.1349999999999999,1.2094666757265726,0.8222733333333333,0.53386,0.52322,0.51326,0.0,0.6510285327798566,0.1715029600506138,0.7197613996994333,0.0657160003226969,0.1124577036135845,0.0909153654420933,0.0739337292886718,compas-recidivism,sklearn,DiCE-Ext,50
100.0,0.4526666666666666,0.8220000000000001,0.4870444483915965,0.72926,0.51608,0.48074,0.46366,0.0,0.3101537545700888,0.2628649067176398,0.332882814853392,0.0834899016257019,0.1366069648925077,0.1440379499312877,0.1582614228395021,adult-income,sklearn,DiCE,50
93.2,-3.221842857142857,0.0319999999999999,3.7835555589596415,0.9265133333333334,0.6638,0.65596,0.6385400000000001,11.856282240712243,0.8095346718280273,0.084370417487048,0.5087086439841841,0.0628443785741202,0.1519611926829763,0.145102632221304,0.1326897886048508,compas-recidivism,PYT,DiCE,50
88.8,-3.308367782522497,0.0769166666666666,4.339787501785426,0.5726733333333334,0.5695999999999999,0.54346,0.4971799999999999,16.243051889773596,0.8017138608474178,0.0868648391666427,0.9168816644998103,0.0748795098657331,0.0997775075876731,0.0950684415115161,0.087081873274874,lending-club,PYT,DiCE,50
100.0,-0.7959333333333332,0.318,3.233600005443891,0.8736,0.64362,0.6366999999999999,0.62344,0.0,0.1706161835412098,0.104373739757759,0.3254286143905363,0.0669181650699309,0.1513127441116981,0.158599386209791,0.1690611723607759,adult-income,PYT,DiCE-Ext,50
100.0,-0.3280838653285671,0.288,1.4372178566661769,0.57428,0.3709,0.3144,0.25956,0.0,0.4684710964479494,0.1027976018143201,0.3505415761308628,0.0426662606273196,0.1667285769367295,0.1523711901634844,0.1329189042312673,lending-club,sklearn,DiCE,50
100.0,-2.77472540805644,0.1489999999999999,4.424616118821276,0.6044,0.56362,0.52876,0.4611999999999999,0.0,0.691674468997348,0.1061814004236069,0.4533554635532074,0.0372635402044871,0.084718234068431,0.0821508219741008,0.0849109978213682,lending-club,PYT,DiCE-Ext,50
100.0,-13.013371262211528,0.114,15.163681457198605,0.6241600000000002,0.5918599999999999,0.55948,0.52432,0.0,8.208770209401543,0.1078736978780163,8.295739960638096,0.0436981109198004,0.2280213926591189,0.2453189710377499,0.254549336864112,lending-club,sklearn,DiCE-Ext,50
100.0,-5.359809523809523,0.08,7.894785721974712,0.90056,0.8884399999999999,0.8769,0.85834,0.0,0.9497494901959396,0.1228903609577518,0.5641872459246686,0.0167187539814986,0.0438481423989287,0.0384804482556945,0.0380684721446576,compas-recidivism,TF2,DiCE-Ext,50
100.0,0.2885130124876532,0.6108571428571429,1.2772400003482658,0.87816,0.59776,0.59612,0.59198,0.0,0.1054426096368873,0.0482565682214327,0.1600105042065967,0.0409854927046741,0.0634602752169595,0.0606127352416089,0.0535367468689135,german-credit,TF2,DiCE,50
100.0,-0.6551333333333333,0.352,3.035733346009254,0.8592,0.62336,0.6097,0.59526,0.0,0.114426916738923,0.1129204162592543,0.2537742656865872,0.0577510491114177,0.1440250488417815,0.1489846246004833,0.165735935777861,adult-income,PYT,DiCE,50
100.0,-2.2378738229930115,0.2537142857142857,3.754580273150312,0.94328,0.5667800000000001,0.5635600000000001,0.56952,0.0,0.322205692239604,0.0863224295836805,0.1344464108557175,0.0572267384343781,0.0505743703744842,0.0482671815660136,0.054211317441799,german-credit,TF2,DiCE-Ext,50
96.8,-9.138854946572234,0.011,11.83603736235787,0.53204,0.5489200000000001,0.5271399999999999,0.4870799999999999,7.406560798180411,1.398679220915979,0.0497852531235046,0.9168075532136454,0.0384128804928125,0.1107259606747529,0.1184159066121419,0.1176268468592133,lending-club,TF2,DiCE-Ext,50
95.6,-2.8631793650793647,0.0464999999999999,3.7879523785880633,0.9122533333333332,0.64622,0.6362999999999999,0.60548,10.133798771981828,0.6984823939819622,0.0817552969013541,0.4406896042189588,0.0458391924517202,0.2144908817813637,0.1959732645239224,0.16822728066275,compas-recidivism,PYT,DiCE-Ext,50
100.0,-0.0321999999999999,0.5319999999999999,1.2451333410819372,0.7262400000000002,0.48236,0.4404999999999999,0.4100999999999999,0.0,0.5717961555811782,0.2780691442422043,0.7882303799015197,0.0825043128124406,0.1264350700508981,0.1197622219062354,0.1203486855867108,adult-income,sklearn,DiCE-Ext,50
100.0,0.4621825396825397,0.757,0.6117809656926564,0.8466800000000001,0.67392,0.6437599999999999,0.6326200000000001,0.0,0.22926964515473,0.2084955830785518,0.2786652931030797,0.0451665579736122,0.1666046083102267,0.1890847515409587,0.2019264252753705,compas-recidivism,sklearn,DiCE,50
100.0,-6.890999999999999,0.022,11.299733325624468,0.9028,0.58168,0.58066,0.57562,0.0,0.5818596545528585,0.0581693516328638,0.2878395830850779,0.0369644064870352,0.0385541972092401,0.0396219945103674,0.0374775524651158,adult-income,TF2,DiCE-Ext,50
100.0,-2.252095238095238,0.1259999999999999,4.4890190565994805,0.90128,0.90738,0.8997799999999999,0.86982,0.0,0.5385006707262513,0.1562441835652104,0.6661653872621044,0.0201292152386139,0.0601151581957326,0.0539327964286318,0.0423043829446374,compas-recidivism,TF2,DiCE,50
99.2,-2.7393423655743727,0.13,4.804557152623502,0.62192,0.45922,0.4200999999999999,0.37742,3.958973274443148,0.4891800526090612,0.0699854212223765,0.3838390474323306,0.0425492943417348,0.0734436588168656,0.0709441430180915,0.0731693841405693,lending-club,TF2,DiCE,50
100.0,-0.805405280546447,0.4165714285714285,1.8726675450663643,0.7701600000000001,0.5588799999999999,0.5087399999999999,0.46056,0.0,0.5619715575186112,0.0860227685056371,0.4262460718381885,0.0916967851571867,0.1947688991641957,0.2013347106543869,0.2055148994052524,german-credit,sklearn,DiCE-Ext,50
100.0,-0.1261561436591022,0.5394285714285715,1.2013229024542746,0.662,0.4765800000000001,0.4195,0.38548,0.0,0.3956673250894078,0.0686976486529608,0.3816670444754417,0.1409478120237619,0.2183081598407655,0.2339469894603284,0.2476845623953572,german-credit,sklearn,DiCE,50
100.0,0.0884351450184079,0.5457142857142857,1.3999333001561154,0.8895199999999999,0.5320999999999999,0.5223200000000001,0.50106,0.0,0.1096798435925706,0.0709899066568411,0.1073616713903697,0.0370582773259544,0.0904373162099877,0.0948641219463558,0.0993744536629828,german-credit,PYT,DiCE-Ext,50
83.2,0.6024166666666667,0.4196666666666666,0.4755666718920072,0.8016333333333333,0.54056,0.51908,0.51732,22.4917218331636,0.0999570367836597,0.1574920362958033,0.1821276426776838,0.0591970938337968,0.067807097334863,0.0740399340676009,0.0744598069910395,adult-income,TF2,DiCE,50
100.0,0.2981137110283349,0.6108571428571429,1.196121778589938,0.8900000000000001,0.47712,0.47584,0.4529399999999999,0.0,0.075708499837454,0.0525532989401018,0.0854674245896561,0.0348079277857027,0.1138177275385553,0.1136310463468393,0.1171044205234048,german-credit,PYT,DiCE,50
