dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
adult-income,TF2,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7777777777777778,4.626666666666667,-2.3133333333333335,0.33333333333333337
adult-income,TF2,DiCE,0.20513382630874505,0.2051110418843398,0.0,0.7999999999999999,0.49777777777777776,-0.28111111111111114,0.3
adult-income,TF2,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.7555555555555554,8.802222222222223,-4.401111111111112,0.33333333333333337
adult-income,TF2,DiCE,0.10994335574766201,8.706020878304859,0.0,0.7333333333333333,11.03111111111111,-5.522222222222221,0.3
adult-income,TF2,DiCE,4.622589001020832,0.26587543983272705,0.0,0.788888888888889,0.17222222222222222,-0.17722222222222223,0.4333333333333333
adult-income,TF2,DiCE,0.23102018878452935,0.2327067708383781,0.0,0.7999999999999999,0.6022222222222222,-0.3188888888888889,0.3333333333333333
adult-income,TF2,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.711111111111111,1.148888888888889,-0.5888888888888889,0.3333333333333333
adult-income,TF2,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.7555555555555555,0.3622222222222222,-0.20999999999999996,0.4333333333333334
adult-income,TF2,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.7333333333333333,1.8133333333333337,-0.9066666666666666,0.4
adult-income,TF2,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.711111111111111,2.011111111111111,-1.0055555555555555,0.3666666666666667
adult-income,TF2,DiCE,1.5304852121831465,0.1238513729886093,0.0,0.6888888888888889,0.24888888888888888,-0.1388888888888889,0.6
adult-income,TF2,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.6888888888888889,0.3088888888888889,-0.1611111111111111,0.5
adult-income,TF2,DiCE,0.1349283426801325,7.902619549708233,0.0,0.711111111111111,10.235555555555555,-5.1177777777777775,0.33333333333333337
adult-income,TF2,DiCE,0.17541893487450796,0.978033701665941,0.0,0.7333333333333332,2.511111111111111,-1.2666666666666666,0.3666666666666667
adult-income,TF2,DiCE,0.1171593739230706,6.586289317583113,0.0,0.711111111111111,10.108888888888888,-5.054444444444444,0.33333333333333337
adult-income,TF2,DiCE,0.3292759134423616,2.113705944064573,0.0,0.7333333333333332,2.535555555555556,-1.267777777777778,0.4000000000000001
adult-income,TF2,DiCE,8.692991511139551,3.5503048581283085,0.0,0.7777777777777777,0.24222222222222226,-0.14666666666666667,0.5
adult-income,TF2,DiCE,1.5696396388661147,6.978281265126034,0.0,0.7777777777777778,1.4711111111111113,-0.7355555555555556,0.4000000000000001
adult-income,TF2,DiCE,0.15030900645056822,0.24658447214487378,0.0,0.7555555555555555,0.7044444444444443,-0.3522222222222222,0.4000000000000001
