dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.9333333333333332,3.396190476190476,-3.7061904761904763,0.05
compas-recidivism,PYT,DiCE-Ext,0.21010799310103556,7.234279845665419,4.132765459466365,0.9111111111111111,3.93547619047619,-3.5010714285714286,0.0
compas-recidivism,PYT,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,0.19010245319870356,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,6.0970252974914345,9.360540102485377,0.9333333333333332,3.5945238095238095,-3.8132142857142854,0.0
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,1.5696396388661147,6.2261634823634635,5.945287330479987,0.9333333333333332,3.3483333333333336,-3.6610714285714288,0.0
compas-recidivism,PYT,DiCE-Ext,0.19010245319870356,3.7183641805732095,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.19010245319870356,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,2.8708753481954687,3.487712624545931,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,2.419860861453868,1.090388452320111,2.013365020244047,0.9111111111111111,3.853333333333333,-3.41047619047619,0.06666666666666665
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,1.090388452320111,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,1.5751320499779735,0.20513382630874505,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.30138649046798016,1.3696739838480052,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,0.15393931002140857,0.38234752246751863,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.31883397351001874,0.6112170343513632,6.082653960640118,0.9333333333333332,3.5450000000000004,-3.713928571428572,0.033333333333333326
compas-recidivism,PYT,DiCE-Ext,1.829267641174572,0.7162786999897341,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.30138649046798016,3.887072196612055,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,2.7855068482535885,9.360540102485377,0.9333333333333332,3.5945238095238095,-3.8132142857142854,0.0
compas-recidivism,PYT,DiCE-Ext,2.2653156413948867,0.36437177217846695,2.013365020244047,0.9111111111111111,3.853333333333333,-3.41047619047619,0.06666666666666665
compas-recidivism,PYT,DiCE-Ext,2.419860861453868,1.090388452320111,2.013365020244047,0.9111111111111111,3.853333333333333,-3.41047619047619,0.06666666666666665
compas-recidivism,PYT,DiCE-Ext,2.8708753481954687,0.5499426480345608,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,0.3880590213919321,0.10793832090127276,5.945287330479987,0.9333333333333332,3.3483333333333336,-3.6610714285714288,0.0
compas-recidivism,PYT,DiCE-Ext,8.83122824824253,6.229189113188561,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.5891087281171028,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,1.5751320499779735,1.090388452320111,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,0.4066563313514795,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,0.2105025824748385,1.3807731717915699,0.1564418660263193,0.9111111111111111,3.7280952380952384,-3.334285714285714,0.05
compas-recidivism,PYT,DiCE-Ext,1.6983001712559078,6.229189113188561,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,9.552294429449875,0.6618595597183481,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,2.8708753481954687,0.19061980918553992,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,5.685205190332095,3.0306601291651867,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.5211124595788266,0.38653042880321525,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,0.15393931002140857,0.38234752246751863,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,4.156447611486068,4.170871302599373,5.42181428097565,0.9333333333333332,3.3338095238095233,-3.6288095238095237,0.05
compas-recidivism,PYT,DiCE-Ext,0.15393931002140857,3.949938719735898,0.24970737145052724,0.9111111111111111,3.644047619047619,-3.3196428571428576,0.08333333333333333
compas-recidivism,PYT,DiCE-Ext,0.19010245319870356,7.969454818643936,0.19489008462344254,0.9111111111111111,3.649047619047619,-3.3133333333333335,0.0
compas-recidivism,PYT,DiCE-Ext,2.8708753481954687,7.969454818643936,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
compas-recidivism,PYT,DiCE-Ext,1.829267641174572,3.0306601291651867,2.9106359131330697,0.9111111111111111,3.899285714285715,-3.395833333333333,0.05
