dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
compas-recidivism,TF2,DiCE,2.9106359131330697,1.5751320499779735,0.0,1.0,0.700952380952381,-0.360952380952381,0.35000000000000003
compas-recidivism,TF2,DiCE,0.13066739238053282,5.3994844097874335,0.0,1.0,5.33,-3.376904761904762,0.2333333333333333
compas-recidivism,TF2,DiCE,1.5930522616241019,2.607024758370768,0.0,1.0,1.4764285714285714,-0.7727380952380952,0.23333333333333334
compas-recidivism,TF2,DiCE,0.10994335574766201,8.706020878304859,0.0,1.0,6.525714285714287,-4.345238095238095,0.23333333333333334
compas-recidivism,TF2,DiCE,4.622589001020832,0.26587543983272705,0.0,1.0,0.13380952380952385,-0.07952380952380951,0.5
compas-recidivism,TF2,DiCE,1.6738085788752133,0.19010245319870356,0.0,1.0,0.17666666666666667,-0.10238095238095242,0.36666666666666664
compas-recidivism,TF2,DiCE,0.8168455894760165,3.7183641805732095,0.0,1.0,2.263333333333333,-1.2135714285714285,0.23333333333333334
compas-recidivism,TF2,DiCE,0.2508115686045233,1.0677482709481354,0.0,1.0,2.4338095238095234,-1.4421428571428572,0.3
compas-recidivism,TF2,DiCE,1.5304852121831465,0.1238513729886093,0.0,1.0,0.18000000000000005,-0.11214285714285717,0.4
compas-recidivism,TF2,DiCE,1.6409286730647923,0.2193048555664369,0.0,1.0,0.2547619047619048,-0.13738095238095238,0.33333333333333337
compas-recidivism,TF2,DiCE,0.1349283426801325,7.902619549708233,0.0,1.0,5.875238095238095,-3.921666666666667,0.23333333333333334
compas-recidivism,TF2,DiCE,2.3359635026261603,0.7591104805282696,0.0,1.0,0.40547619047619043,-0.22321428571428573,0.3333333333333333
compas-recidivism,TF2,DiCE,0.17541893487450796,0.978033701665941,0.0,1.0,2.543809523809524,-1.395,0.23333333333333334
compas-recidivism,TF2,DiCE,0.1171593739230706,6.586289317583113,0.0,1.0,5.708571428571429,-3.831428571428571,0.2666666666666667
compas-recidivism,TF2,DiCE,0.3292759134423616,2.113705944064573,0.0,1.0,2.9619047619047616,-1.7771428571428571,0.3
compas-recidivism,TF2,DiCE,1.2399967836846095,0.23426581058204046,0.0,1.0,0.31238095238095237,-0.1711904761904762,0.33333333333333337
compas-recidivism,TF2,DiCE,1.5696396388661147,6.978281265126034,0.0,1.0,2.4459523809523804,-1.2284523809523806,0.23333333333333334
compas-recidivism,TF2,DiCE,0.19135880487692303,4.02155452669029,0.0,1.0,4.49,-2.6242857142857146,0.26666666666666666
compas-recidivism,TF2,DiCE,0.14096175149815865,9.413993046829944,0.0,1.0,6.231904761904762,-4.128571428571428,0.23333333333333334
compas-recidivism,TF2,DiCE,3.5033984911586877,0.24970737145052724,0.0,1.0,0.15095238095238092,-0.09523809523809526,0.3
compas-recidivism,TF2,DiCE,2.5924756604751593,2.8708753481954687,0.0,1.0,1.1185714285714283,-0.568095238095238,0.2666666666666667
compas-recidivism,TF2,DiCE,3.487712624545931,0.14063366777718173,0.0,1.0,0.10619047619047625,-0.06785714285714288,0.3
compas-recidivism,TF2,DiCE,0.5211124595788266,0.17050539260269293,0.0,1.0,0.9433333333333331,-0.5966666666666667,0.4333333333333334
compas-recidivism,TF2,DiCE,5.323617594751501,1.764396768338155,0.0,1.0,0.3961904761904761,-0.20904761904761907,0.3333333333333333
compas-recidivism,TF2,DiCE,0.4187594718900627,0.447060854677849,0.0,1.0,1.5133333333333332,-0.912142857142857,0.3
compas-recidivism,TF2,DiCE,2.878805718308924,1.8841476921545086,0.0,1.0,0.7721428571428571,-0.39202380952380955,0.2666666666666667
compas-recidivism,TF2,DiCE,3.3233042062267937,1.3260331922696553,0.0,1.0,0.4792857142857144,-0.24892857142857153,0.33333333333333337
compas-recidivism,TF2,DiCE,3.482846706526884,0.9718319944817401,0.0,1.0,0.42666666666666664,-0.22214285714285711,0.3
compas-recidivism,TF2,DiCE,1.1103647313054623,0.7162786999897341,0.0,1.0,0.9152380952380954,-0.4754761904761905,0.33333333333333337
compas-recidivism,TF2,DiCE,1.8742210985555698,0.4253162363790871,0.0,1.0,0.36476190476190484,-0.20333333333333342,0.2666666666666667
compas-recidivism,TF2,DiCE,1.0402587615883845,1.1207606211860568,0.0,1.0,1.35,-0.7016666666666668,0.2
compas-recidivism,TF2,DiCE,6.533305220227734,0.31519872951938893,0.0,1.0,0.09404761904761896,-0.07500000000000001,0.375
compas-recidivism,TF2,DiCE,5.323617594751501,1.764396768338155,0.0,1.0,0.3961904761904761,-0.20904761904761907,0.3333333333333333
compas-recidivism,TF2,DiCE,3.244160088734161,1.0968217207529523,0.0,1.0,0.4057142857142857,-0.2207142857142857,0.3
compas-recidivism,TF2,DiCE,4.544383960336017,0.13400367243354802,0.0,1.0,0.08630952380952381,-0.051488095238095256,0.375
compas-recidivism,TF2,DiCE,7.234279845665419,4.132765459466365,0.0,1.0,0.36500000000000005,-0.20535714285714285,0.4
compas-recidivism,TF2,DiCE,1.8484491720988625,5.532496914298507,0.0,1.0,2.044761904761905,-1.030952380952381,0.2
compas-recidivism,TF2,DiCE,4.119839624605188,6.197015748809146,0.0,1.0,1.257857142857143,-0.6429761904761906,0.25
compas-recidivism,TF2,DiCE,1.5930522616241019,0.1659983797444922,0.0,1.0,0.21238095238095228,-0.11666666666666665,0.3666666666666666
compas-recidivism,TF2,DiCE,0.59890036722543,0.447060854677849,0.0,1.0,1.3157142857142856,-0.8011904761904762,0.2666666666666667
compas-recidivism,TF2,DiCE,0.7148510793512985,4.325432427964557,0.0,1.0,2.677142857142857,-1.4854761904761906,0.23333333333333334
compas-recidivism,TF2,DiCE,3.5033984911586877,0.24970737145052724,0.0,1.0,0.15095238095238092,-0.09523809523809526,0.3
compas-recidivism,TF2,DiCE,3.3233042062267937,7.688106801474955,0.0,1.0,1.3128571428571427,-0.745952380952381,0.33333333333333337
compas-recidivism,TF2,DiCE,3.3233042062267937,2.113705944064573,0.0,1.0,0.6585714285714286,-0.3457142857142857,0.3833333333333333
compas-recidivism,TF2,DiCE,0.4430021806767983,0.9718319944817401,0.0,1.0,1.900952380952381,-1.099047619047619,0.3
compas-recidivism,TF2,DiCE,2.3359635026261603,0.7591104805282696,0.0,1.0,0.40547619047619043,-0.22321428571428573,0.3333333333333333
compas-recidivism,TF2,DiCE,1.090388452320111,4.02155452669029,0.0,1.0,2.2285714285714286,-1.1369047619047619,0.2666666666666667
compas-recidivism,TF2,DiCE,2.5470526233391175,0.5336533066379611,0.0,1.0,0.320952380952381,-0.18452380952380953,0.4
compas-recidivism,TF2,DiCE,8.781408196485978,1.1207606211860568,0.0,1.0,0.10428571428571431,-0.07500000000000002,0.4
compas-recidivism,TF2,DiCE,1.5930522616241019,2.607024758370768,0.0,1.0,1.4764285714285714,-0.7727380952380952,0.23333333333333334
compas-recidivism,TF2,DiCE,1.2399967836846095,0.23426581058204046,0.0,1.0,0.31238095238095237,-0.1711904761904762,0.33333333333333337
compas-recidivism,TF2,DiCE,1.090388452320111,4.02155452669029,0.0,1.0,2.2285714285714286,-1.1369047619047619,0.2666666666666667
compas-recidivism,TF2,DiCE,1.6562605893335958,1.0124137770478638,0.0,1.0,0.7092857142857143,-0.3644047619047619,0.2666666666666667
compas-recidivism,TF2,DiCE,1.8484491720988625,4.02155452669029,0.0,1.0,1.6623809523809523,-0.8685714285714287,0.2
compas-recidivism,TF2,DiCE,0.47340227734041923,0.5170191786366992,0.0,1.0,1.4947619047619047,-0.8871428571428572,0.3333333333333333
