dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,sklearn,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.7777777777777777,1.9939268281344424,-1.678879849586,0.380952380952381
german-credit,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.7999999999999999,1.0218773857302983,-1.1974935820949488,0.42857142857142866
german-credit,sklearn,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.8222222222222222,1.3164441965092792,-1.1293130646335983,0.41904761904761906
german-credit,sklearn,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.711111111111111,1.1504547027618943,-1.0620864777194097,0.42857142857142866
german-credit,sklearn,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7333333333333333,1.6796894612058946,-1.3615686031436112,0.45714285714285713
german-credit,sklearn,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.7777777777777777,1.751894173007092,-1.4572418245962013,0.41904761904761906
german-credit,sklearn,DiCE-Ext,1.5696396388661147,6.978281265126034,0.15030900645056822,0.6666666666666666,1.0765109323911797,-0.9476415683965309,0.4666666666666667
german-credit,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.6888888888888889,1.022523463447642,-0.9455008548597874,0.44761904761904764
german-credit,sklearn,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.711111111111111,1.451430637554946,-1.2091126503752603,0.45714285714285713
german-credit,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.711111111111111,1.1266008605416349,-0.9927129788893538,0.5238095238095238
german-credit,sklearn,DiCE-Ext,0.28681134821030074,0.14254757044027438,0.3797544798678416,0.7777777777777777,1.1399821280068594,-1.331156875810309,0.42857142857142866
german-credit,sklearn,DiCE-Ext,1.8484491720988625,5.532496914298507,4.048966222584674,0.8222222222222223,1.2874442533277548,-1.5228900975728181,0.34285714285714286
german-credit,sklearn,DiCE-Ext,4.119839624605188,6.197015748809146,0.432520752538653,0.7777777777777779,2.071042102490199,-1.9228430931977958,0.39047619047619053
german-credit,sklearn,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.7999999999999999,1.112499754647493,-1.3982178626955717,0.44761904761904764
