dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,sklearn,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.7555555555555554,1.9858141829244986,-1.744878227676796,0.3523809523809524
german-credit,sklearn,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.6888888888888889,1.388263988966885,-1.1309471639832849,0.39047619047619053
german-credit,sklearn,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.6888888888888889,1.5525204159112391,-1.5642693402341954,0.34285714285714286
german-credit,sklearn,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.7333333333333333,0.9783015408137439,-1.1936064752400581,0.4095238095238095
german-credit,sklearn,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.7777777777777777,1.9939268281344424,-1.678879849586,0.380952380952381
german-credit,sklearn,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.711111111111111,0.9826354474971464,-0.9984277811352331,0.4095238095238095
german-credit,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.7999999999999999,1.0218773857302983,-1.1974935820949488,0.42857142857142866
german-credit,sklearn,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.8222222222222222,1.3164441965092792,-1.1293130646335983,0.41904761904761906
german-credit,sklearn,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.711111111111111,1.1504547027618943,-1.0620864777194097,0.42857142857142866
german-credit,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.6444444444444444,0.849282485963254,-1.232071549956353,0.47619047619047616
german-credit,sklearn,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7333333333333333,1.6796894612058946,-1.3615686031436112,0.45714285714285713
german-credit,sklearn,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.7777777777777777,1.751894173007092,-1.4572418245962013,0.41904761904761906
german-credit,sklearn,DiCE-Ext,0.4066563313514795,0.1567993391672301,2.3359635026261603,0.6888888888888889,1.3230706770179597,-1.3928375663097432,0.4095238095238095
german-credit,sklearn,DiCE-Ext,0.7591104805282696,0.17541893487450796,0.978033701665941,0.6888888888888889,1.6821460854653174,-1.5132982091849647,0.39047619047619053
german-credit,sklearn,DiCE-Ext,0.1171593739230706,6.586289317583113,0.3292759134423616,0.5777777777777778,1.2608622978424475,-1.1938897411660183,0.41904761904761906
german-credit,sklearn,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.6222222222222222,1.0984300538742453,-1.3228324526469664,0.33333333333333337
german-credit,sklearn,DiCE-Ext,1.2399967836846095,0.23426581058204046,8.692991511139551,0.711111111111111,1.2047822561066948,-1.1847328756863411,0.42857142857142866
german-credit,sklearn,DiCE-Ext,3.5503048581283085,7.56829206016762,6.161049539380966,0.7333333333333332,1.1273756579321172,-1.2136934591604294,0.34285714285714286
german-credit,sklearn,DiCE-Ext,1.5696396388661147,6.978281265126034,0.15030900645056822,0.6666666666666666,1.0765109323911797,-0.9476415683965309,0.4666666666666667
german-credit,sklearn,DiCE-Ext,0.24658447214487378,0.12315571723666023,0.4473636174621265,0.711111111111111,1.0971286008708725,-1.4603952499754647,0.36190476190476195
german-credit,sklearn,DiCE-Ext,0.59890036722543,0.34889766548903667,4.544383960336017,0.7333333333333333,1.6744644342171189,-1.473501619326546,0.3238095238095238
german-credit,sklearn,DiCE-Ext,0.5170191786366992,0.3646439558980721,1.2172847081122433,0.7333333333333333,1.7097753604099197,-1.4815462889787656,0.40952380952380957
german-credit,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.6888888888888889,1.022523463447642,-0.9455008548597874,0.44761904761904764
german-credit,sklearn,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.6222222222222221,0.7454552967732272,-0.9957494615158137,0.43809523809523815
german-credit,sklearn,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.7333333333333332,1.693336639135533,-1.2861471391897685,0.38095238095238093
german-credit,sklearn,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.711111111111111,1.451430637554946,-1.2091126503752603,0.45714285714285713
german-credit,sklearn,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.7777777777777777,1.137312279505576,-1.175269706971627,0.36190476190476195
german-credit,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.6888888888888889,1.330581666227615,-1.2214684993207612,0.43809523809523804
german-credit,sklearn,DiCE-Ext,0.4187594718900627,0.447060854677849,2.878805718308924,0.7777777777777777,1.2549176390373917,-1.4654133544078223,0.37142857142857144
