dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
german-credit,sklearn,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7999999999999999,0.6698513938605054,-0.8898364144442894,0.45714285714285713
german-credit,sklearn,DiCE,0.10994335574766201,8.706020878304859,0.0,0.7000000000000001,0.8145978026746006,-0.846049721331205,0.4333333333333333
german-credit,sklearn,DiCE,0.4066563313514795,0.1567993391672301,0.0,0.6666666666666666,0.8416531077123333,-0.8247663469336102,0.45714285714285713
german-credit,sklearn,DiCE,0.17541893487450796,0.978033701665941,0.0,0.44444444444444436,0.9139815804833702,-0.9051743035862788,0.4666666666666667
german-credit,sklearn,DiCE,0.1171593739230706,6.586289317583113,0.0,0.7222222222222222,0.589237547714606,-0.8652739941838542,0.4238095238095238
german-credit,sklearn,DiCE,2.5924756604751593,2.8708753481954687,0.0,0.6888888888888889,0.7161363436794611,-0.9220956719817768,0.4666666666666666
german-credit,sklearn,DiCE,5.948746813219773,0.8798929749689022,0.0,0.6888888888888889,0.7342789993749967,-0.9496464341241431,0.4666666666666666
german-credit,sklearn,DiCE,0.11557352816269865,0.8798929749689022,0.0,0.6444444444444445,0.9291213281060337,-0.9896375497807324,0.47619047619047616
german-credit,sklearn,DiCE,0.6618595597183481,2.6698666742744606,0.0,0.6444444444444445,0.8188992711739213,-0.7351804503122433,0.4761904761904763
german-credit,sklearn,DiCE,0.23102018878452935,0.5404103854647329,0.0,0.6666666666666666,0.6832237769823191,-0.8031308012954611,0.4666666666666667
german-credit,sklearn,DiCE,0.28681134821030074,0.14254757044027438,0.0,0.6666666666666666,0.8517506805303746,-0.9102050113895215,0.4666666666666667
german-credit,sklearn,DiCE,1.8484491720988625,5.532496914298507,0.0,0.5777777777777777,1.0183538138110217,-0.9485045893832098,0.45714285714285713
german-credit,sklearn,DiCE,0.4066563313514795,0.432520752538653,0.0,0.6666666666666666,0.7633708851801919,-0.8688833103476774,0.47619047619047616
german-credit,sklearn,DiCE,0.59890036722543,0.447060854677849,0.0,0.6,0.4943413963915103,-0.8756993579512292,0.5047619047619047
german-credit,sklearn,DiCE,8.536189862866832,4.138040112561017,0.0,0.5777777777777777,0.637713211328571,-0.8444987835680969,0.49523809523809514
