dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,PYT,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.7777777777777778,3.434155581294243,-2.840038299676929,0.11666666666666665
lending-club,PYT,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.7777777777777778,3.3991477182310144,-2.7381786267683625,0.08333333333333334
lending-club,PYT,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.7777777777777778,3.5476268350049116,-2.6724987897885297,0.10000000000000002
lending-club,PYT,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.7777777777777778,3.5034251468453235,-2.690963644035673,0.08333333333333334
lending-club,PYT,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.7777777777777778,3.493719915399727,-2.8240758793637624,0.08333333333333334
lending-club,PYT,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.7777777777777778,3.5404196355197497,-2.7703501989691595,0.06666666666666668
lending-club,PYT,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.7777777777777778,3.7433417158286515,-2.8479516441857546,0.13333333333333333
lending-club,PYT,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.7777777777777778,3.8377370029157154,-2.8605713668370076,0.13333333333333336
lending-club,PYT,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.7777777777777778,3.467096983439081,-2.614770124172963,0.1
lending-club,PYT,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.7777777777777778,3.9898586269826133,-3.017667840689442,0.08333333333333334
lending-club,PYT,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7777777777777778,3.183931693949655,-2.574164976510944,0.13333333333333333
lending-club,PYT,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.7777777777777778,3.0911864709552823,-2.7015379583855714,0.08333333333333333
lending-club,PYT,DiCE-Ext,0.4066563313514795,0.1567993391672301,2.3359635026261603,0.7777777777777778,3.6752114566694467,-2.7768961089219397,0.11666666666666667
lending-club,PYT,DiCE-Ext,0.7591104805282696,0.17541893487450796,0.978033701665941,0.7777777777777778,3.5964641732288825,-2.769920881036931,0.11666666666666665
