dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,TF2,DiCE,0.5611516415334505,7.969454818643936,0.0,0.888888888888889,4.27603393655006,-2.5930727622690184,0.16666666666666669
lending-club,TF2,DiCE,2.9106359131330697,1.5751320499779735,0.0,0.888888888888889,1.1592700169024481,-0.7937366931573512,0.2
lending-club,TF2,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.888888888888889,6.566284697339476,-4.363874322822336,0.08333333333333337
lending-club,TF2,DiCE,1.5930522616241019,2.607024758370768,0.0,0.888888888888889,2.0581678451733203,-1.3336165902614705,0.18333333333333332
lending-club,TF2,DiCE,0.10994335574766201,8.706020878304859,0.0,0.888888888888889,8.38511233723651,-5.88962358899559,0.050000000000000024
lending-club,TF2,DiCE,4.622589001020832,0.26587543983272705,0.0,0.8666666666666666,0.8300965758043406,-0.6159232666022855,0.2833333333333333
lending-club,TF2,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.888888888888889,2.861794181295091,-1.7380548272627283,0.2
lending-club,TF2,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.888888888888889,1.1421345603602802,-0.9278728259973781,0.21666666666666665
lending-club,TF2,DiCE,0.1349283426801325,7.902619549708233,0.0,0.888888888888889,7.426791088630727,-5.12744389114064,0.050000000000000024
lending-club,TF2,DiCE,8.536189862866832,4.138040112561017,0.0,0.7333333333333333,1.2971387693907228,-0.8830172800621433,0.3416666666666667
lending-club,TF2,DiCE,1.2399967836846095,0.23426581058204046,0.0,0.888888888888889,1.208914566023067,-0.9203099210853164,0.13333333333333336
lending-club,TF2,DiCE,7.56829206016762,6.161049539380966,0.0,0.7888888888888889,1.2874390202058292,-0.8605430147575577,0.25
lending-club,TF2,DiCE,1.5696396388661147,6.978281265126034,0.0,0.888888888888889,2.778283311024775,-1.6991943858427152,0.19999999999999998
lending-club,TF2,DiCE,4.544383960336017,0.5170191786366992,0.0,0.888888888888889,0.9207737250106595,-0.645007945023557,0.35
lending-club,TF2,DiCE,0.14096175149815865,9.413993046829944,0.0,0.888888888888889,7.78855875126482,-5.394207713534475,0.050000000000000024
lending-club,TF2,DiCE,2.5924756604751593,2.8708753481954687,0.0,0.8666666666666666,1.5107953626336683,-0.9513892271340723,0.18333333333333335
lending-club,TF2,DiCE,5.323617594751501,1.764396768338155,0.0,0.8444444444444444,1.5900757371083833,-0.9029585577219243,0.2333333333333333
lending-club,TF2,DiCE,5.948746813219773,0.8798929749689022,0.0,0.7777777777777778,0.8907806374087581,-0.5745131003216939,0.3666666666666667
lending-club,TF2,DiCE,0.17345566642360938,2.6698666742744606,0.0,0.888888888888889,4.769843194164965,-3.075023333654709,0.1166666666666667
lending-club,TF2,DiCE,3.482846706526884,0.9718319944817401,0.0,0.8111111111111111,1.02319506218353,-0.6998213295473589,0.3
lending-club,TF2,DiCE,1.1103647313054623,0.7162786999897341,0.0,0.888888888888889,1.2830188392103707,-0.9382407290002781,0.16666666666666669
lending-club,TF2,DiCE,1.0402587615883845,1.1207606211860568,0.0,0.888888888888889,1.5952836270695852,-1.1134840385884082,0.15
lending-club,TF2,DiCE,6.533305220227734,0.31519872951938893,0.0,0.888888888888889,0.8191874326468834,-0.5944690829043022,0.25
lending-club,TF2,DiCE,5.323617594751501,1.764396768338155,0.0,0.8444444444444444,1.5900757371083833,-0.9029585577219243,0.2333333333333333
lending-club,TF2,DiCE,3.244160088734161,1.0968217207529523,0.0,0.8666666666666666,1.1796781142856234,-0.748817267996504,0.2666666666666667
lending-club,TF2,DiCE,4.544383960336017,0.13400367243354802,0.0,0.888888888888889,0.4594329144143858,-0.44754881486484194,0.35
lending-club,TF2,DiCE,7.234279845665419,4.132765459466365,0.0,0.7,1.4090111453238259,-0.8033445692084508,0.3833333333333333
lending-club,TF2,DiCE,1.8484491720988625,5.532496914298507,0.0,0.888888888888889,2.3600776439720335,-1.4422036186183607,0.19999999999999998
lending-club,TF2,DiCE,4.048966222584674,0.23612399244412613,0.0,0.8666666666666666,0.9533030060488616,-0.7026008400042639,0.35
lending-club,TF2,DiCE,6.0970252974914345,1.1986281799901182,0.0,0.7555555555555555,0.9213094273701717,-0.5642214953024007,0.325
lending-club,TF2,DiCE,4.119839624605188,6.197015748809146,0.0,0.6666666666666667,1.7486027661944674,-1.0783302265549597,0.14166666666666666
lending-club,TF2,DiCE,4.622589001020832,4.02155452669029,0.0,0.7333333333333333,1.4473635209779792,-0.8083227596738833,0.225
lending-club,TF2,DiCE,0.7148510793512985,4.325432427964557,0.0,0.888888888888889,3.254300866580331,-1.943342049248957,0.15
lending-club,TF2,DiCE,5.265761277157429,0.7591104805282696,0.0,0.888888888888889,0.893195365293767,-0.6151592087944491,0.25
lending-club,TF2,DiCE,0.10325337616482036,1.05073840241814,0.0,0.888888888888889,4.342990738094783,-2.9590239083008245,0.10000000000000002
lending-club,TF2,DiCE,0.47340227734041923,5.3994844097874335,0.0,0.888888888888889,3.885466517717025,-2.403324971342417,0.15000000000000002
lending-club,TF2,DiCE,3.3233042062267937,7.688106801474955,0.0,0.7,2.171509259158675,-1.2427372631915148,0.175
