dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,sklearn,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.9555555555555555,34.43099903123071,-20.529649719133094,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.9111111111111111,26.494054838866724,-15.403990467030894,0.2
lending-club,sklearn,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.9777777777777779,22.427854319089924,-17.1057210408619,0.15000000000000002
lending-club,sklearn,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.9333333333333332,14.378052602916563,-7.475141677734503,0.2333333333333333
lending-club,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.9555555555555555,9.445015333289847,-7.3948451756323035,0.3166666666666666
lending-club,sklearn,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.9777777777777779,15.592724928484909,-8.34741703824476,0.2666666666666666
lending-club,sklearn,DiCE-Ext,3.5503048581283085,7.56829206016762,6.161049539380966,0.8444444444444443,14.288013972028656,-7.606578672028762,0.25
lending-club,sklearn,DiCE-Ext,0.59890036722543,0.34889766548903667,4.544383960336017,0.888888888888889,38.5834845138987,-30.917850666473107,0.08333333333333334
lending-club,sklearn,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.9555555555555555,9.130147735692422,-5.112709638116209,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.9111111111111111,18.91896340561951,-12.138677419154414,0.3
lending-club,sklearn,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.9555555555555555,18.696264447275308,-13.65368307496749,0.13333333333333333
lending-club,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.9333333333333332,1.9726449850703531,-1.2587797341051654,0.3
lending-club,sklearn,DiCE-Ext,0.17345566642360938,2.6698666742744606,3.3233042062267937,0.9333333333333332,16.635596170011944,-8.712178410960394,0.2833333333333333
lending-club,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.8666666666666666,9.834797466837855,-5.1286722248388354,0.2833333333333333
lending-club,sklearn,DiCE-Ext,0.4253162363790871,1.0402587615883845,6.533305220227734,0.9555555555555555,7.972859892105826,-4.55215908155251,0.18333333333333332
lending-club,sklearn,DiCE-Ext,4.119839624605188,6.197015748809146,0.432520752538653,0.9111111111111111,29.711092690818624,-16.461603926361498,0.16666666666666669
lending-club,sklearn,DiCE-Ext,1.05073840241814,0.6836314065022723,0.27810936979265544,0.888888888888889,31.633658357785457,-17.702927234662535,0.21666666666666662
lending-club,sklearn,DiCE-Ext,0.17367237151593162,0.47340227734041923,7.688106801474955,0.888888888888889,15.293905088330565,-8.338958804868788,0.26666666666666666
lending-club,sklearn,DiCE-Ext,1.05073840241814,0.6836314065022723,0.12675278269816292,0.9111111111111111,15.241064485156267,-7.9485099164518855,0.3166666666666667
lending-club,sklearn,DiCE-Ext,0.30138649046798016,1.090388452320111,0.19489008462344254,0.9333333333333332,8.232610105705001,-4.498740912354612,0.3
lending-club,sklearn,DiCE-Ext,0.4430021806767983,4.02155452669029,2.5470526233391175,0.9555555555555555,24.708972279236168,-13.654415952723843,0.18333333333333332
lending-club,sklearn,DiCE-Ext,1.9513967655934459,5.948746813219773,0.27810936979265544,0.8666666666666666,27.477650778678264,-14.289274085713952,0.18333333333333335
lending-club,sklearn,DiCE-Ext,0.5935682912014686,7.472397689332939,0.14063366777718173,0.8444444444444443,4.866905119046862,-3.6823913256966856,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.888888888888889,1.1801367293858234,-0.8359613881591651,0.3
lending-club,sklearn,DiCE-Ext,1.8484491720988625,0.7162786999897341,0.30458224385894067,0.888888888888889,10.079679090647018,-5.459027549227214,0.2666666666666667
lending-club,sklearn,DiCE-Ext,0.17345566642360938,0.20513382630874505,3.3233042062267937,0.9333333333333332,21.407883102058502,-13.580766397854523,0.13333333333333333
lending-club,sklearn,DiCE-Ext,0.49936620665064235,2.8308141496998047,0.15030900645056822,0.9111111111111111,20.655786655297607,-11.730706204504138,0.26666666666666666
lending-club,sklearn,DiCE-Ext,1.5696396388661147,6.2261634823634635,5.945287330479987,1.0,28.04418887975037,-22.465308144272196,0.2333333333333333
lending-club,sklearn,DiCE-Ext,0.13066739238053282,0.6836314065022723,1.5930522616241019,0.8666666666666666,14.849347197511301,-7.7233640041609135,0.2333333333333333
lending-club,sklearn,DiCE-Ext,0.1659983797444922,2.8308141496998047,0.10235832435175114,0.888888888888889,24.07762556434937,-12.440294714692701,0.3166666666666667
lending-club,sklearn,DiCE-Ext,0.2327067708383781,0.20513382630874505,1.1207606211860568,0.888888888888889,24.764543444400957,-15.578568396889338,0.25
