dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,sklearn,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.888888888888889,22.417994977219454,-14.695195061646846,0.2
lending-club,sklearn,DiCE-Ext,1.5751320499779735,0.20513382630874505,0.2051110418843398,0.9555555555555555,34.43099903123071,-20.529649719133094,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.13066739238053282,5.3994844097874335,1.5930522616241019,0.9111111111111111,26.494054838866724,-15.403990467030894,0.2
lending-club,sklearn,DiCE-Ext,2.607024758370768,0.10994335574766201,8.706020878304859,0.9777777777777779,22.427854319089924,-17.1057210408619,0.15000000000000002
lending-club,sklearn,DiCE-Ext,4.622589001020832,0.26587543983272705,0.23102018878452935,0.9777777777777779,16.7714799341477,-10.687162355447795,0.16666666666666666
lending-club,sklearn,DiCE-Ext,0.2327067708383781,0.4059611610484306,1.1207606211860568,0.9333333333333332,14.378052602916563,-7.475141677734503,0.2333333333333333
lending-club,sklearn,DiCE-Ext,0.7309539835912913,0.38234752246751863,1.6738085788752133,0.8666666666666666,22.94610956984033,-15.997089141676799,0.18333333333333335
lending-club,sklearn,DiCE-Ext,0.19010245319870356,0.3839629299804172,0.5404103854647329,0.888888888888889,9.597758554568095,-9.911869090475722,0.16666666666666666
lending-club,sklearn,DiCE-Ext,0.8168455894760165,3.7183641805732095,0.2508115686045233,0.888888888888889,19.10383525568347,-11.919303965979793,0.2
lending-club,sklearn,DiCE-Ext,1.0677482709481354,1.5304852121831465,0.1238513729886093,0.9555555555555555,9.445015333289847,-7.3948451756323035,0.3166666666666666
lending-club,sklearn,DiCE-Ext,1.6409286730647923,0.2193048555664369,0.1349283426801325,0.7999999999999999,14.390029414928799,-11.2964703075501,0.2
lending-club,sklearn,DiCE-Ext,7.902619549708233,8.536189862866832,4.138040112561017,0.888888888888889,8.522264330673234,-15.893090751715595,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.4066563313514795,0.1567993391672301,2.3359635026261603,0.9333333333333332,30.4479630640492,-22.08348291900433,0.1
lending-club,sklearn,DiCE-Ext,0.7591104805282696,0.17541893487450796,0.978033701665941,0.888888888888889,11.393368942384669,-19.63425988860941,0.13333333333333336
lending-club,sklearn,DiCE-Ext,0.1171593739230706,6.586289317583113,0.3292759134423616,0.9111111111111111,10.128348577219242,-9.398662319754951,0.25
lending-club,sklearn,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.9777777777777779,15.592724928484909,-8.34741703824476,0.2666666666666666
lending-club,sklearn,DiCE-Ext,1.2399967836846095,0.23426581058204046,8.692991511139551,0.8444444444444443,18.33559237443123,-13.020309725138997,0.11666666666666667
lending-club,sklearn,DiCE-Ext,3.5503048581283085,7.56829206016762,6.161049539380966,0.8444444444444443,14.288013972028656,-7.606578672028762,0.25
lending-club,sklearn,DiCE-Ext,1.5696396388661147,6.978281265126034,0.15030900645056822,0.9111111111111111,28.333063454954377,-19.281194626640556,0.2
lending-club,sklearn,DiCE-Ext,0.24658447214487378,0.12315571723666023,0.4473636174621265,0.9111111111111111,16.650427619990836,-15.922884181681166,0.16666666666666669
lending-club,sklearn,DiCE-Ext,0.59890036722543,0.34889766548903667,4.544383960336017,0.888888888888889,38.5834845138987,-30.917850666473107,0.08333333333333334
lending-club,sklearn,DiCE-Ext,0.5170191786366992,0.3646439558980721,1.2172847081122433,0.888888888888889,35.365131921577984,-26.914682294422487,0.2
lending-club,sklearn,DiCE-Ext,0.19135880487692303,4.02155452669029,0.14096175149815865,0.8666666666666668,17.4553776099094,-9.568948163770575,0.21666666666666662
lending-club,sklearn,DiCE-Ext,9.413993046829944,3.5033984911586877,0.24970737145052724,0.9555555555555555,9.130147735692422,-5.112709638116209,0.2166666666666667
lending-club,sklearn,DiCE-Ext,0.1025756397418565,4.274869455295218,2.5924756604751593,0.9111111111111111,18.91896340561951,-12.138677419154414,0.3
lending-club,sklearn,DiCE-Ext,2.8708753481954687,3.487712624545931,0.14063366777718173,0.9555555555555555,20.227493527884373,-15.45244337942899,0.16666666666666666
lending-club,sklearn,DiCE-Ext,0.5211124595788266,0.17050539260269293,5.323617594751501,0.9555555555555555,18.696264447275308,-13.65368307496749,0.13333333333333333
lending-club,sklearn,DiCE-Ext,1.764396768338155,0.458982418149565,0.13400367243354802,0.9333333333333332,1.9726449850703531,-1.2587797341051654,0.3
lending-club,sklearn,DiCE-Ext,0.4187594718900627,0.447060854677849,2.878805718308924,0.8666666666666666,22.59062175757142,-16.030227754160915,0.13333333333333333
lending-club,sklearn,DiCE-Ext,1.8841476921545086,5.948746813219773,0.8798929749689022,0.888888888888889,29.629054956112604,-23.429007963598643,0.15
lending-club,sklearn,DiCE-Ext,0.17345566642360938,2.6698666742744606,3.3233042062267937,0.9333333333333332,16.635596170011944,-8.712178410960394,0.2833333333333333
lending-club,sklearn,DiCE-Ext,1.3260331922696553,3.482846706526884,0.9718319944817401,0.888888888888889,22.646904757185343,-16.46050828496312,0.16666666666666666
lending-club,sklearn,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.8666666666666666,9.834797466837855,-5.1286722248388354,0.2833333333333333
lending-club,sklearn,DiCE-Ext,0.16435497475111327,0.11557352816269865,1.8742210985555698,0.888888888888889,21.783055248476387,-13.012414140089538,0.2
lending-club,sklearn,DiCE-Ext,0.4253162363790871,1.0402587615883845,6.533305220227734,0.9555555555555555,7.972859892105826,-4.55215908155251,0.18333333333333332
lending-club,sklearn,DiCE-Ext,0.31519872951938893,0.6618595597183481,3.244160088734161,0.9111111111111111,23.133755322478684,-15.7664828377085,0.25
lending-club,sklearn,DiCE-Ext,0.28681134821030074,0.14254757044027438,0.3797544798678416,0.888888888888889,13.786006966022219,-11.631949850085173,0.2
lending-club,sklearn,DiCE-Ext,0.21010799310103556,7.234279845665419,4.132765459466365,0.9111111111111111,22.04757276889699,-17.585854838888462,0.2333333333333333
lending-club,sklearn,DiCE-Ext,1.8484491720988625,5.532496914298507,4.048966222584674,0.9555555555555555,22.83278726597916,-21.404321785949524,0.15000000000000002
lending-club,sklearn,DiCE-Ext,0.23612399244412613,6.0970252974914345,1.1986281799901182,0.888888888888889,14.320024090132602,-13.132397872650936,0.1333333333333333
