dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
lending-club,sklearn,DiCE,0.5611516415334505,7.969454818643936,0.0,0.8222222222222222,0.8379548172454612,-0.7465182447015452,0.2833333333333333
lending-club,sklearn,DiCE,2.9106359131330697,1.5751320499779735,0.0,0.8222222222222222,0.8336049048473628,-0.7956421725007481,0.3166666666666667
lending-club,sklearn,DiCE,0.20513382630874505,0.2051110418843398,0.0,0.888888888888889,0.6314676461601451,-0.8183097799653595,0.3
lending-club,sklearn,DiCE,0.13066739238053282,5.3994844097874335,0.0,0.9111111111111111,0.9714895228653979,-0.9602010581292124,0.3
lending-club,sklearn,DiCE,1.5930522616241019,2.607024758370768,0.0,0.8222222222222222,0.8159614839121279,-0.7447447386097272,0.3
lending-club,sklearn,DiCE,0.10994335574766201,8.706020878304859,0.0,0.8444444444444444,0.8262178926637269,-0.7524370451734265,0.3
lending-club,sklearn,DiCE,4.622589001020832,0.26587543983272705,0.0,0.8444444444444443,0.9806537904758272,-0.8352190970824825,0.2833333333333333
lending-club,sklearn,DiCE,0.23102018878452935,0.2327067708383781,0.0,0.8444444444444444,0.8199296948087765,-0.7742746550833565,0.3
lending-club,sklearn,DiCE,0.4059611610484306,1.1207606211860568,0.0,0.8222222222222222,0.8355341311021597,-0.7246165358641401,0.3
lending-club,sklearn,DiCE,0.7309539835912913,0.38234752246751863,0.0,0.8666666666666666,0.828354640411446,-0.7449584109391807,0.3166666666666667
lending-club,sklearn,DiCE,1.6738085788752133,0.19010245319870356,0.0,0.8222222222222222,0.8814334449588579,-0.7635875585582436,0.3166666666666667
lending-club,sklearn,DiCE,0.3839629299804172,0.5404103854647329,0.0,0.888888888888889,0.6153143193476608,-0.6749584190902421,0.33333333333333337
lending-club,sklearn,DiCE,0.8168455894760165,3.7183641805732095,0.0,0.8666666666666666,0.86095532818496,-0.756325931616997,0.3
lending-club,sklearn,DiCE,0.2508115686045233,1.0677482709481354,0.0,0.8666666666666666,1.0196366906902896,-0.9355567004715633,0.3166666666666667
lending-club,sklearn,DiCE,1.5304852121831465,0.1238513729886093,0.0,0.8444444444444444,0.8262178926637269,-0.7524370451734265,0.3
lending-club,sklearn,DiCE,1.6409286730647923,0.2193048555664369,0.0,0.888888888888889,0.8814681603600683,-0.8409413184895985,0.3
lending-club,sklearn,DiCE,0.1349283426801325,7.902619549708233,0.0,0.8222222222222222,0.8484401116255246,-0.7579925990987697,0.3166666666666667
lending-club,sklearn,DiCE,8.536189862866832,4.138040112561017,0.0,0.8666666666666666,0.7746519170309987,-0.7386198675672612,0.3
lending-club,sklearn,DiCE,0.4066563313514795,0.1567993391672301,0.0,0.888888888888889,0.8031409794934785,-0.7827789243239979,0.3166666666666667
lending-club,sklearn,DiCE,2.3359635026261603,0.7591104805282696,0.0,0.8666666666666666,0.775485250364332,-0.7443601230370105,0.3166666666666667
lending-club,sklearn,DiCE,0.17541893487450796,0.978033701665941,0.0,0.8666666666666666,0.9116879688541426,-0.7755139664947364,0.3
lending-club,sklearn,DiCE,0.1171593739230706,6.586289317583113,0.0,0.8444444444444444,0.7994382381806961,-0.7574232836118593,0.3
lending-club,sklearn,DiCE,0.3292759134423616,2.113705944064573,0.0,0.888888888888889,0.7302074725865543,-0.817853711840093,0.3
lending-club,sklearn,DiCE,0.420167205437253,1.0968217207529523,0.0,0.8444444444444444,0.8022715715140294,-0.7577532836118592,0.3
lending-club,sklearn,DiCE,1.2399967836846095,0.23426581058204046,0.0,0.8666666666666666,0.8088185804372408,-0.805471230887697,0.3166666666666667
lending-club,sklearn,DiCE,8.692991511139551,3.5503048581283085,0.0,0.7555555555555555,0.8319348893603461,-0.7411587916984864,0.3416666666666667
lending-club,sklearn,DiCE,7.56829206016762,6.161049539380966,0.0,0.7999999999999999,0.6755621765762787,-0.7986806372369337,0.2833333333333333
lending-club,sklearn,DiCE,1.5696396388661147,6.978281265126034,0.0,0.8444444444444444,0.8262178926637269,-0.7524370451734265,0.3
lending-club,sklearn,DiCE,0.15030900645056822,0.24658447214487378,0.0,0.8444444444444444,0.7994382381806961,-0.7574232836118593,0.3
lending-club,sklearn,DiCE,0.12315571723666023,0.4473636174621265,0.0,0.8666666666666666,0.8339956704415046,-0.770855848090626,0.3166666666666667
lending-club,sklearn,DiCE,0.59890036722543,0.34889766548903667,0.0,0.8666666666666666,0.8569871254393728,-0.7981635398967145,0.2833333333333333
lending-club,sklearn,DiCE,4.544383960336017,0.5170191786366992,0.0,0.8666666666666666,0.9765963533243818,-0.9834626777345037,0.3
lending-club,sklearn,DiCE,0.3646439558980721,1.2172847081122433,0.0,0.8666666666666666,0.7532630281421098,-0.7323515764046663,0.3166666666666667
lending-club,sklearn,DiCE,0.19135880487692303,4.02155452669029,0.0,0.8444444444444444,0.8669382381806962,-0.8123088391674148,0.3
lending-club,sklearn,DiCE,0.14096175149815865,9.413993046829944,0.0,0.9111111111111111,0.7643741441438576,-0.796069528571141,0.3166666666666667
lending-club,sklearn,DiCE,3.5033984911586877,0.24970737145052724,0.0,0.8666666666666666,0.836645250364332,-0.7760267897036772,0.3
lending-club,sklearn,DiCE,0.1025756397418565,4.274869455295218,0.0,0.8444444444444444,0.8262178926637269,-0.7524370451734265,0.3
lending-club,sklearn,DiCE,2.5924756604751593,2.8708753481954687,0.0,0.8444444444444443,0.831495673701929,-0.7550973030884942,0.35
lending-club,sklearn,DiCE,3.487712624545931,0.14063366777718173,0.0,0.8222222222222222,0.7109467962245262,-0.6896198691974733,0.2833333333333333
lending-club,sklearn,DiCE,0.5211124595788266,0.17050539260269293,0.0,0.8666666666666666,0.9537392682107548,-0.8542319129554681,0.2833333333333333
lending-club,sklearn,DiCE,5.323617594751501,1.764396768338155,0.0,0.888888888888889,0.8477563582150186,-0.7901293468464888,0.3166666666666667
lending-club,sklearn,DiCE,0.458982418149565,0.13400367243354802,0.0,0.8666666666666666,0.8088185836976652,-0.8037618326895217,0.33333333333333337
lending-club,sklearn,DiCE,0.4187594718900627,0.447060854677849,0.0,0.8444444444444444,0.8113826826251405,-0.7789755058340814,0.3
lending-club,sklearn,DiCE,2.878805718308924,1.8841476921545086,0.0,0.8666666666666666,0.7824999527238442,-0.7502361952378076,0.2833333333333333
lending-club,sklearn,DiCE,5.948746813219773,0.8798929749689022,0.0,0.8666666666666666,0.9674999510936321,-0.9376079770052037,0.3166666666666667
lending-club,sklearn,DiCE,0.17345566642360938,2.6698666742744606,0.0,0.8444444444444444,0.8262178926637269,-0.7524370451734265,0.3
lending-club,sklearn,DiCE,3.3233042062267937,1.3260331922696553,0.0,0.7222222222222221,0.8318180694977422,-0.7569550849418026,0.3
lending-club,sklearn,DiCE,3.482846706526884,0.9718319944817401,0.0,0.8444444444444444,0.8269443971682886,-0.7852789275844223,0.3
lending-club,sklearn,DiCE,1.1103647313054623,0.7162786999897341,0.0,0.8666666666666666,0.9220298602313057,-0.8174370435432141,0.3
