dataset,backend,method,lambda1,lambda2,lambda3,robustness_keep_rate_mean,div_cont_mad_mean,prox_cont_mad_negmean_mean,sparsity_cont_mean
adult-income,PYT,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.9111111111111111,1.6466666666666665,-0.8233333333333335,0.4666666666666667
adult-income,PYT,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7777777777777778,1.3266666666666667,-0.6977777777777777,0.2666666666666667
adult-income,TF2,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.0,0.0,-1000000000.0,0.0
adult-income,TF2,DiCE,5.265761277157429,0.2327067708383781,0.0,0.8555555555555557,0.14555555555555558,-0.08388888888888889,0.6833333333333333
adult-income,sklearn,DiCE-Ext,1.05073840241814,1.0070072316456573,0.12675278269816292,0.9111111111111111,1.3333333333333335,-0.6933333333333334,0.6
adult-income,sklearn,DiCE,3.3233042062267937,2.113705944064573,0.0,0.9333333333333333,0.22666666666666666,-0.11333333333333333,0.9666666666666668
compas-recidivism,PYT,DiCE-Ext,2.419860861453868,1.090388452320111,2.013365020244047,0.9111111111111111,3.853333333333333,-3.41047619047619,0.06666666666666665
compas-recidivism,PYT,DiCE,0.5611516415334505,7.969454818643936,0.0,0.9222222222222222,3.732857142857143,-3.399047619047619,0.0
compas-recidivism,TF2,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.0,0.0,-1000000000.0,0.0
compas-recidivism,TF2,DiCE,0.28378638146176255,2.1232617602360486,0.0,1.0,3.172857142857143,-1.915952380952381,0.3333333333333333
compas-recidivism,sklearn,DiCE-Ext,0.4253162363790871,1.179096548677631,0.1515582353959761,0.9166666666666666,2.945833333333333,-1.7041666666666666,0.2916666666666667
compas-recidivism,sklearn,DiCE,0.23606794572813067,1.0677482709481354,0.0,0.8777777777777779,0.29523809523809524,-0.15238095238095242,0.8666666666666668
german-credit,PYT,DiCE-Ext,0.4253162363790871,0.22321987366901574,2.4092145436664776,0.9555555555555555,0.6115610101291845,-0.3642163440926864,0.5714285714285714
german-credit,PYT,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7777777777777778,0.4173190977226122,-0.21523468612957714,0.6190476190476192
german-credit,TF2,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.0,0.0,-1000000000.0,0.0
german-credit,TF2,DiCE,1.9918920492197516,4.993980255757076,0.0,0.9333333333333332,0.4353706372450271,-0.22930913899348654,0.6285714285714284
german-credit,sklearn,DiCE-Ext,0.19010245319870356,0.38234752246751863,6.533305220227734,0.8222222222222222,1.7547906755716713,-1.2150244577709595,0.4095238095238095
german-credit,sklearn,DiCE,0.6618595597183481,2.6698666742744606,0.0,0.6444444444444445,0.8188992711739213,-0.7351804503122433,0.4761904761904763
lending-club,PYT,DiCE-Ext,1.1103647313054623,0.7162786999897341,0.11241862095793062,0.7777777777777778,3.8804489695393216,-2.6274337572919397,0.13333333333333336
lending-club,PYT,DiCE,0.5611516415334505,7.969454818643936,0.0,0.7777777777777778,2.9010744869148164,-3.4143327190243773,0.0666666666666667
lending-club,TF2,DiCE-Ext,0.5611516415334505,7.969454818643936,2.9106359131330697,0.0,0.0,-1000000000.0,0.0
lending-club,TF2,DiCE,0.7591104805282696,4.132765459466365,0.0,0.888888888888889,3.0658036317883974,-1.811133518446749,0.2
lending-club,sklearn,DiCE-Ext,2.113705944064573,0.420167205437253,1.0968217207529523,0.9777777777777779,15.592724928484909,-8.34741703824476,0.2666666666666666
lending-club,sklearn,DiCE,0.36082193273637864,0.2051110418843398,0.0,0.9333333333333332,0.8344596023162382,-0.7447874725865542,0.33333333333333337
